expiration,DTE,strike,option_type,openInterest
2026-08-28,3,165.0,CALL,2
2026-08-28,3,170.0,CALL,2
2026-08-28,3,200.0,CALL,2
2026-08-28,3,225.0,CALL,1
2026-08-28,3,230.0,CALL,1
2026-08-28,3,235.0,CALL,3
2026-08-28,3,240.0,CALL,3
2026-08-28,3,260.0,CALL,0
2026-08-28,3,265.0,CALL,3
2026-08-28,3,267.5,CALL,2
2026-08-28,3,270.0,CALL,22
2026-08-28,3,272.5,CALL,10
2026-08-28,3,275.0,CALL,23
2026-08-28,3,277.5,CALL,1
2026-08-28,3,280.0,CALL,6
2026-08-28,3,282.5,CALL,1
2026-08-28,3,285.0,CALL,19
2026-08-28,3,290.0,CALL,23
2026-08-28,3,292.5,CALL,5
2026-08-28,3,295.0,CALL,79
2026-08-28,3,297.5,CALL,27
2026-08-28,3,300.0,CALL,543
2026-08-28,3,302.5,CALL,145
2026-08-28,3,305.0,CALL,717
2026-08-28,3,307.5,CALL,160
2026-08-28,3,310.0,CALL,453
2026-08-28,3,312.5,CALL,88
2026-08-28,3,315.0,CALL,777
2026-08-28,3,317.5,CALL,126
2026-08-28,3,320.0,CALL,893
2026-08-28,3,322.5,CALL,163
2026-08-28,3,325.0,CALL,299
2026-08-28,3,327.5,CALL,141
2026-08-28,3,330.0,CALL,1437
2026-08-28,3,332.5,CALL,89
2026-08-28,3,335.0,CALL,275
2026-08-28,3,337.5,CALL,58
2026-08-28,3,340.0,CALL,891
2026-08-28,3,342.5,CALL,42
2026-08-28,3,345.0,CALL,238
2026-08-28,3,347.5,CALL,151
2026-08-28,3,350.0,CALL,1577
2026-08-28,3,352.5,CALL,158
2026-08-28,3,355.0,CALL,205
2026-08-28,3,357.5,CALL,72
2026-08-28,3,360.0,CALL,301
2026-08-28,3,362.5,CALL,31
2026-08-28,3,365.0,CALL,289
2026-08-28,3,367.5,CALL,22
2026-08-28,3,370.0,CALL,151
2026-08-28,3,375.0,CALL,176
2026-08-28,3,380.0,CALL,105
2026-08-28,3,385.0,CALL,65
2026-08-28,3,390.0,CALL,87
2026-08-28,3,395.0,CALL,156
2026-08-28,3,400.0,CALL,672
2026-08-28,3,405.0,CALL,98
2026-08-28,3,410.0,CALL,37
2026-08-28,3,415.0,CALL,68
2026-08-28,3,420.0,CALL,56
