expiration,strike,option_type,DTE,openInterest
2026-08-28,165.0,CALL,0,3
2026-08-28,165.0,PUT,0,1
2026-08-28,170.0,CALL,0,6
2026-08-28,200.0,CALL,0,15
2026-08-28,200.0,PUT,0,2
2026-08-28,225.0,CALL,0,1
2026-08-28,225.0,PUT,0,1
2026-08-28,230.0,CALL,0,1
2026-08-28,230.0,PUT,0,1
2026-08-28,235.0,CALL,0,3
2026-08-28,235.0,PUT,0,103
2026-08-28,240.0,CALL,0,3
2026-08-28,240.0,PUT,0,23
2026-08-28,245.0,PUT,0,1
2026-08-28,250.0,PUT,0,268
2026-08-28,255.0,PUT,0,399
2026-08-28,260.0,CALL,0,0
2026-08-28,260.0,PUT,0,1027
2026-08-28,262.5,PUT,0,13
2026-08-28,265.0,CALL,0,147
2026-08-28,265.0,PUT,0,193
2026-08-28,267.5,CALL,0,2
2026-08-28,267.5,PUT,0,41
2026-08-28,270.0,CALL,0,22
2026-08-28,270.0,PUT,0,587
2026-08-28,272.5,CALL,0,10
2026-08-28,272.5,PUT,0,149
2026-08-28,275.0,CALL,0,13
2026-08-28,275.0,PUT,0,454
2026-08-28,277.5,CALL,0,2
2026-08-28,277.5,PUT,0,55
2026-08-28,280.0,CALL,0,5
2026-08-28,280.0,PUT,0,840
2026-08-28,282.5,CALL,0,1
2026-08-28,282.5,PUT,0,775
2026-08-28,285.0,CALL,0,11
2026-08-28,285.0,PUT,0,1489
2026-08-28,287.5,PUT,0,479
2026-08-28,290.0,CALL,0,102
2026-08-28,290.0,PUT,0,1484
2026-08-28,292.5,CALL,0,5
2026-08-28,292.5,PUT,0,1010
2026-08-28,295.0,CALL,0,74
2026-08-28,295.0,PUT,0,593
2026-08-28,297.5,CALL,0,27
2026-08-28,297.5,PUT,0,563
2026-08-28,300.0,CALL,0,530
2026-08-28,300.0,PUT,0,1365
2026-08-28,302.5,CALL,0,125
2026-08-28,302.5,PUT,0,309
2026-08-28,305.0,CALL,0,1016
2026-08-28,305.0,PUT,0,334
2026-08-28,307.5,CALL,0,207
2026-08-28,307.5,PUT,0,180
2026-08-28,310.0,CALL,0,581
2026-08-28,310.0,PUT,0,369
2026-08-28,312.5,CALL,0,231
2026-08-28,312.5,PUT,0,71
2026-08-28,315.0,CALL,0,926
2026-08-28,315.0,PUT,0,127
2026-08-28,317.5,CALL,0,248
2026-08-28,317.5,PUT,0,31
2026-08-28,320.0,CALL,0,1237
2026-08-28,320.0,PUT,0,150
2026-08-28,322.5,CALL,0,290
2026-08-28,322.5,PUT,0,27
2026-08-28,325.0,CALL,0,645
2026-08-28,325.0,PUT,0,181
2026-08-28,327.5,CALL,0,286
2026-08-28,327.5,PUT,0,22
2026-08-28,330.0,CALL,0,1905
2026-08-28,330.0,PUT,0,75
2026-08-28,332.5,CALL,0,182
2026-08-28,332.5,PUT,0,2
2026-08-28,335.0,CALL,0,658
2026-08-28,335.0,PUT,0,25
2026-08-28,337.5,CALL,0,64
2026-08-28,337.5,PUT,0,2
2026-08-28,340.0,CALL,0,1172
2026-08-28,340.0,PUT,0,10
2026-08-28,342.5,CALL,0,44
2026-08-28,342.5,PUT,0,0
2026-08-28,345.0,CALL,0,251
2026-08-28,345.0,PUT,0,1
2026-08-28,347.5,CALL,0,119
2026-08-28,350.0,CALL,0,1607
2026-08-28,350.0,PUT,0,13
2026-08-28,352.5,CALL,0,156
2026-08-28,352.5,PUT,0,18
2026-08-28,355.0,CALL,0,198
2026-08-28,355.0,PUT,0,0
2026-08-28,357.5,CALL,0,72
2026-08-28,357.5,PUT,0,1
2026-08-28,360.0,CALL,0,381
2026-08-28,360.0,PUT,0,0
2026-08-28,362.5,CALL,0,30
2026-08-28,362.5,PUT,0,0
2026-08-28,365.0,CALL,0,287
2026-08-28,365.0,PUT,0,0
2026-08-28,367.5,CALL,0,21
2026-08-28,367.5,PUT,0,0
2026-08-28,370.0,CALL,0,148
2026-08-28,370.0,PUT,0,0
2026-08-28,375.0,CALL,0,219
2026-08-28,375.0,PUT,0,0
2026-08-28,380.0,CALL,0,135
2026-08-28,380.0,PUT,0,0
2026-08-28,385.0,CALL,0,65
2026-08-28,385.0,PUT,0,5
2026-08-28,390.0,CALL,0,87
2026-08-28,390.0,PUT,0,0
2026-08-28,395.0,CALL,0,135
2026-08-28,395.0,PUT,0,0
2026-08-28,400.0,CALL,0,720
2026-08-28,400.0,PUT,0,0
2026-08-28,405.0,CALL,0,99
2026-08-28,405.0,PUT,0,0
2026-08-28,410.0,CALL,0,37
2026-08-28,410.0,PUT,0,0
2026-08-28,415.0,CALL,0,68
2026-08-28,415.0,PUT,0,0
2026-08-28,420.0,CALL,0,54
2026-08-28,420.0,PUT,0,0
2026-08-28,425.0,CALL,0,169
2026-08-28,425.0,PUT,0,0
