expiration,strike,option_type,DTE,openInterest
2026-09-11,30.0,PUT,5,3.0
2026-09-11,35.0,PUT,5,54.0
2026-09-11,40.0,CALL,5,35.0
2026-09-11,40.0,PUT,5,213.0
2026-09-11,44.0,CALL,5,2.0
2026-09-11,44.0,PUT,5,463.0
2026-09-11,45.0,CALL,5,2.0
2026-09-11,45.0,PUT,5,1360.0
2026-09-11,46.0,CALL,5,3.0
2026-09-11,46.0,PUT,5,61.0
2026-09-11,46.5,PUT,5,49.0
2026-09-11,47.0,CALL,5,20.0
2026-09-11,47.0,PUT,5,455.0
2026-09-11,47.5,CALL,5,25.0
2026-09-11,47.5,PUT,5,21.0
2026-09-11,48.0,CALL,5,1.0
2026-09-11,48.0,PUT,5,303.0
2026-09-11,48.5,CALL,5,0.0
2026-09-11,48.5,PUT,5,40.0
2026-09-11,49.0,CALL,5,4.0
2026-09-11,49.0,PUT,5,177.0
2026-09-11,49.5,CALL,5,3.0
2026-09-11,49.5,PUT,5,106.0
2026-09-11,50.0,CALL,5,36.0
2026-09-11,50.0,PUT,5,1136.0
2026-09-11,51.0,CALL,5,3.0
2026-09-11,51.0,PUT,5,350.0
2026-09-11,52.0,CALL,5,11.0
2026-09-11,52.0,PUT,5,338.0
2026-09-11,53.0,CALL,5,82.0
2026-09-11,53.0,PUT,5,581.0
2026-09-11,54.0,CALL,5,15.0
2026-09-11,54.0,PUT,5,307.0
2026-09-11,55.0,CALL,5,33.0
2026-09-11,55.0,PUT,5,1362.0
2026-09-11,56.0,CALL,5,59.0
2026-09-11,56.0,PUT,5,518.0
2026-09-11,57.0,CALL,5,98.0
2026-09-11,57.0,PUT,5,615.0
2026-09-11,58.0,CALL,5,196.0
2026-09-11,58.0,PUT,5,374.0
2026-09-11,59.0,CALL,5,269.0
2026-09-11,59.0,PUT,5,363.0
2026-09-11,60.0,CALL,5,810.0
2026-09-11,60.0,PUT,5,1179.0
2026-09-11,61.0,CALL,5,369.0
2026-09-11,61.0,PUT,5,270.0
2026-09-11,62.0,CALL,5,393.0
2026-09-11,62.0,PUT,5,218.0
2026-09-11,63.0,CALL,5,457.0
2026-09-11,63.0,PUT,5,960.0
2026-09-11,64.0,CALL,5,571.0
2026-09-11,64.0,PUT,5,212.0
2026-09-11,65.0,CALL,5,2001.0
2026-09-11,65.0,PUT,5,507.0
2026-09-11,66.0,CALL,5,491.0
2026-09-11,66.0,PUT,5,130.0
2026-09-11,67.0,CALL,5,520.0
2026-09-11,67.0,PUT,5,122.0
2026-09-11,68.0,CALL,5,472.0
2026-09-11,68.0,PUT,5,190.0
2026-09-11,69.0,CALL,5,409.0
2026-09-11,69.0,PUT,5,289.0
2026-09-11,70.0,CALL,5,1823.0
2026-09-11,70.0,PUT,5,204.0
2026-09-11,71.0,CALL,5,388.0
2026-09-11,71.0,PUT,5,72.0
2026-09-11,72.0,CALL,5,1589.0
2026-09-11,72.0,PUT,5,125.0
2026-09-11,73.0,CALL,5,378.0
2026-09-11,73.0,PUT,5,140.0
2026-09-11,74.0,CALL,5,241.0
2026-09-11,74.0,PUT,5,71.0
2026-09-11,75.0,CALL,5,989.0
2026-09-11,75.0,PUT,5,276.0
2026-09-11,76.0,CALL,5,304.0
2026-09-11,76.0,PUT,5,46.0
2026-09-11,77.0,CALL,5,375.0
2026-09-11,77.0,PUT,5,11.0
2026-09-11,78.0,CALL,5,77.0
2026-09-11,78.0,PUT,5,30.0
2026-09-11,79.0,CALL,5,92.0
2026-09-11,79.0,PUT,5,10.0
2026-09-11,80.0,CALL,5,834.0
2026-09-11,80.0,PUT,5,63.0
2026-09-11,81.0,CALL,5,164.0
2026-09-11,81.0,PUT,5,19.0
2026-09-11,82.0,CALL,5,120.0
2026-09-11,82.0,PUT,5,8.0
