expiration,DTE,strike,option_type,openInterest
2026-09-16,0,295.0,CALL,20.0
2026-09-16,0,300.0,CALL,27.0
2026-09-16,0,302.5,CALL,35.0
2026-09-16,0,305.0,CALL,33.0
2026-09-16,0,310.0,CALL,44.0
2026-09-16,0,312.5,CALL,12.0
2026-09-16,0,315.0,CALL,62.0
2026-09-16,0,320.0,CALL,20.0
2026-09-16,0,322.5,CALL,0.0
2026-09-16,0,325.0,CALL,41.0
2026-09-16,0,330.0,CALL,32.0
2026-09-16,0,332.5,CALL,15.0
2026-09-16,0,335.0,CALL,283.0
2026-09-16,0,340.0,CALL,1068.0
2026-09-16,0,342.5,CALL,672.0
2026-09-16,0,345.0,CALL,2912.0
2026-09-16,0,347.5,CALL,1261.0
2026-09-16,0,350.0,CALL,3392.0
2026-09-16,0,355.0,CALL,3598.0
2026-09-16,0,357.5,CALL,904.0
2026-09-16,0,360.0,CALL,2006.0
2026-09-16,0,362.5,CALL,380.0
2026-09-16,0,365.0,CALL,913.0
2026-09-16,0,367.5,CALL,364.0
2026-09-16,0,370.0,CALL,1044.0
2026-09-16,0,372.5,CALL,153.0
2026-09-16,0,375.0,CALL,761.0
2026-09-16,0,377.5,CALL,132.0
2026-09-16,0,380.0,CALL,853.0
2026-09-16,0,382.5,CALL,106.0
2026-09-16,0,385.0,CALL,352.0
2026-09-16,0,387.5,CALL,87.0
2026-09-16,0,390.0,CALL,1526.0
2026-09-16,0,392.5,CALL,44.0
2026-09-16,0,395.0,CALL,251.0
2026-09-16,0,400.0,CALL,1817.0
2026-09-16,0,405.0,CALL,94.0
2026-09-16,0,407.5,CALL,87.0
2026-09-16,0,410.0,CALL,153.0
2026-09-16,0,412.5,CALL,143.0
2026-09-16,0,415.0,CALL,338.0
2026-09-16,0,420.0,CALL,385.0
2026-09-16,0,425.0,CALL,49.0
2026-09-16,0,430.0,CALL,64.0
2026-09-16,0,435.0,CALL,21.0
2026-09-16,0,440.0,CALL,216.0
2026-09-16,0,295.0,PUT,7.0
2026-09-16,0,300.0,PUT,148.0
2026-09-16,0,302.5,PUT,4.0
2026-09-16,0,305.0,PUT,90.0
2026-09-16,0,307.5,PUT,49.0
2026-09-16,0,310.0,PUT,258.0
2026-09-16,0,312.5,PUT,61.0
2026-09-16,0,315.0,PUT,198.0
2026-09-16,0,317.5,PUT,133.0
2026-09-16,0,320.0,PUT,818.0
2026-09-16,0,322.5,PUT,701.0
2026-09-16,0,325.0,PUT,749.0
2026-09-16,0,327.5,PUT,1353.0
2026-09-16,0,330.0,PUT,1312.0
2026-09-16,0,332.5,PUT,659.0
2026-09-16,0,335.0,PUT,1224.0
2026-09-16,0,337.5,PUT,1904.0
2026-09-16,0,340.0,PUT,1568.0
2026-09-16,0,342.5,PUT,928.0
2026-09-16,0,345.0,PUT,656.0
2026-09-16,0,347.5,PUT,260.0
2026-09-16,0,350.0,PUT,477.0
2026-09-16,0,352.5,PUT,112.0
2026-09-16,0,355.0,PUT,256.0
2026-09-16,0,357.5,PUT,49.0
2026-09-16,0,360.0,PUT,423.0
2026-09-16,0,362.5,PUT,24.0
2026-09-16,0,365.0,PUT,15.0
2026-09-16,0,367.5,PUT,7.0
2026-09-16,0,370.0,PUT,12.0
2026-09-16,0,375.0,PUT,0.0
2026-09-16,0,380.0,PUT,1.0
2026-09-16,0,382.5,PUT,0.0
2026-09-16,0,385.0,PUT,0.0
2026-09-16,0,390.0,PUT,0.0
2026-09-16,0,400.0,PUT,0.0
2026-09-16,0,402.5,PUT,5.0
2026-09-16,0,405.0,PUT,0.0
2026-09-16,0,410.0,PUT,0.0
2026-09-18,2,70.0,CALL,64.0
2026-09-18,2,75.0,CALL,1.0
2026-09-18,2,80.0,CALL,4.0
2026-09-18,2,85.0,CALL,9.0
2026-09-18,2,90.0,CALL,1.0
2026-09-18,2,95.0,CALL,18.0
2026-09-18,2,100.0,CALL,471.0
2026-09-18,2,105.0,CALL,52.0
2026-09-18,2,110.0,CALL,15.0
2026-09-18,2,115.0,CALL,26.0
2026-09-18,2,120.0,CALL,67.0
2026-09-18,2,125.0,CALL,14.0
2026-09-18,2,130.0,CALL,8.0
2026-09-18,2,135.0,CALL,12.0
2026-09-18,2,140.0,CALL,25.0
2026-09-18,2,145.0,CALL,5.0
2026-09-18,2,150.0,CALL,35.0
2026-09-18,2,155.0,CALL,14.0
2026-09-18,2,160.0,CALL,13.0
2026-09-18,2,165.0,CALL,29.0
2026-09-18,2,170.0,CALL,69.0
2026-09-18,2,175.0,CALL,207.0
2026-09-18,2,180.0,CALL,45.0
2026-09-18,2,185.0,CALL,46.0
2026-09-18,2,190.0,CALL,173.0
2026-09-18,2,195.0,CALL,116.0
2026-09-18,2,200.0,CALL,157.0
2026-09-18,2,210.0,CALL,220.0
2026-09-18,2,220.0,CALL,542.0
2026-09-18,2,230.0,CALL,366.0
2026-09-18,2,240.0,CALL,415.0
2026-09-18,2,250.0,CALL,516.0
2026-09-18,2,260.0,CALL,440.0
2026-09-18,2,270.0,CALL,372.0
2026-09-18,2,280.0,CALL,314.0
2026-09-18,2,290.0,CALL,488.0
2026-09-18,2,300.0,CALL,798.0
2026-09-18,2,310.0,CALL,1316.0
2026-09-18,2,320.0,CALL,897.0
2026-09-18,2,325.0,CALL,98.0
2026-09-18,2,330.0,CALL,1412.0
2026-09-18,2,332.5,CALL,24.0
2026-09-18,2,335.0,CALL,104.0
2026-09-18,2,337.5,CALL,626.0
2026-09-18,2,340.0,CALL,2596.0
2026-09-18,2,342.5,CALL,404.0
2026-09-18,2,345.0,CALL,1089.0
2026-09-18,2,347.5,CALL,2325.0
2026-09-18,2,350.0,CALL,5756.0
2026-09-18,2,352.5,CALL,1495.0
2026-09-18,2,355.0,CALL,2508.0
2026-09-18,2,357.5,CALL,2654.0
2026-09-18,2,360.0,CALL,9773.0
2026-09-18,2,362.5,CALL,3619.0
2026-09-18,2,365.0,CALL,11040.0
2026-09-18,2,367.5,CALL,2488.0
2026-09-18,2,370.0,CALL,10635.0
2026-09-18,2,372.5,CALL,870.0
2026-09-18,2,375.0,CALL,3801.0
2026-09-18,2,377.5,CALL,1883.0
2026-09-18,2,380.0,CALL,13573.0
2026-09-18,2,382.5,CALL,2476.0
2026-09-18,2,385.0,CALL,2351.0
2026-09-18,2,387.5,CALL,1318.0
2026-09-18,2,390.0,CALL,8814.0
2026-09-18,2,392.5,CALL,1102.0
2026-09-18,2,395.0,CALL,1266.0
2026-09-18,2,397.5,CALL,71.0
2026-09-18,2,400.0,CALL,12941.0
2026-09-18,2,402.5,CALL,31.0
2026-09-18,2,405.0,CALL,936.0
2026-09-18,2,407.5,CALL,34.0
2026-09-18,2,410.0,CALL,11110.0
2026-09-18,2,412.5,CALL,15.0
2026-09-18,2,415.0,CALL,1134.0
2026-09-18,2,417.5,CALL,30.0
2026-09-18,2,420.0,CALL,10778.0
2026-09-18,2,422.5,CALL,53.0
2026-09-18,2,425.0,CALL,87.0
2026-09-18,2,427.5,CALL,43.0
2026-09-18,2,430.0,CALL,6946.0
2026-09-18,2,432.5,CALL,7.0
2026-09-18,2,435.0,CALL,6.0
2026-09-18,2,440.0,CALL,5194.0
2026-09-18,2,445.0,CALL,133.0
2026-09-18,2,450.0,CALL,16761.0
2026-09-18,2,455.0,CALL,177.0
2026-09-18,2,460.0,CALL,3805.0
2026-09-18,2,465.0,CALL,74.0
2026-09-18,2,470.0,CALL,4140.0
2026-09-18,2,475.0,CALL,156.0
2026-09-18,2,480.0,CALL,4438.0
2026-09-18,2,490.0,CALL,5016.0
2026-09-18,2,500.0,CALL,15551.0
2026-09-18,2,510.0,CALL,2193.0
2026-09-18,2,520.0,CALL,4287.0
2026-09-18,2,530.0,CALL,1953.0
2026-09-18,2,540.0,CALL,4123.0
2026-09-18,2,550.0,CALL,866.0
2026-09-18,2,560.0,CALL,2543.0
2026-09-18,2,570.0,CALL,1716.0
2026-09-18,2,580.0,CALL,1437.0
2026-09-18,2,590.0,CALL,969.0
2026-09-18,2,600.0,CALL,20519.0
2026-09-18,2,610.0,CALL,665.0
2026-09-18,2,620.0,CALL,746.0
2026-09-18,2,630.0,CALL,554.0
2026-09-18,2,640.0,CALL,1354.0
2026-09-18,2,650.0,CALL,1605.0
2026-09-18,2,660.0,CALL,514.0
2026-09-18,2,670.0,CALL,957.0
2026-09-18,2,680.0,CALL,1245.0
2026-09-18,2,690.0,CALL,1950.0
2026-09-18,2,700.0,CALL,2091.0
2026-09-18,2,710.0,CALL,362.0
2026-09-18,2,720.0,CALL,430.0
2026-09-18,2,730.0,CALL,412.0
2026-09-18,2,740.0,CALL,868.0
2026-09-18,2,70.0,PUT,2235.0
2026-09-18,2,75.0,PUT,1981.0
2026-09-18,2,80.0,PUT,2434.0
2026-09-18,2,85.0,PUT,3066.0
2026-09-18,2,90.0,PUT,1924.0
2026-09-18,2,95.0,PUT,2642.0
2026-09-18,2,100.0,PUT,1611.0
2026-09-18,2,105.0,PUT,1842.0
2026-09-18,2,110.0,PUT,2889.0
2026-09-18,2,115.0,PUT,269.0
2026-09-18,2,120.0,PUT,550.0
2026-09-18,2,125.0,PUT,1391.0
2026-09-18,2,130.0,PUT,736.0
2026-09-18,2,135.0,PUT,631.0
2026-09-18,2,140.0,PUT,384.0
2026-09-18,2,145.0,PUT,588.0
2026-09-18,2,150.0,PUT,3428.0
2026-09-18,2,155.0,PUT,384.0
2026-09-18,2,160.0,PUT,572.0
2026-09-18,2,165.0,PUT,479.0
2026-09-18,2,170.0,PUT,607.0
2026-09-18,2,175.0,PUT,684.0
2026-09-18,2,180.0,PUT,1084.0
2026-09-18,2,185.0,PUT,802.0
2026-09-18,2,190.0,PUT,1220.0
2026-09-18,2,195.0,PUT,1874.0
2026-09-18,2,200.0,PUT,2713.0
2026-09-18,2,210.0,PUT,4888.0
2026-09-18,2,220.0,PUT,6132.0
2026-09-18,2,230.0,PUT,3685.0
2026-09-18,2,240.0,PUT,6287.0
2026-09-18,2,250.0,PUT,13622.0
2026-09-18,2,260.0,PUT,4666.0
2026-09-18,2,270.0,PUT,4402.0
2026-09-18,2,280.0,PUT,8100.0
2026-09-18,2,290.0,PUT,4404.0
2026-09-18,2,300.0,PUT,10034.0
2026-09-18,2,310.0,PUT,8183.0
2026-09-18,2,320.0,PUT,14591.0
2026-09-18,2,322.5,PUT,708.0
2026-09-18,2,325.0,PUT,2984.0
2026-09-18,2,327.5,PUT,552.0
2026-09-18,2,330.0,PUT,10227.0
2026-09-18,2,332.5,PUT,837.0
2026-09-18,2,335.0,PUT,3889.0
2026-09-18,2,337.5,PUT,1744.0
2026-09-18,2,340.0,PUT,10568.0
2026-09-18,2,342.5,PUT,718.0
2026-09-18,2,345.0,PUT,4000.0
2026-09-18,2,347.5,PUT,1239.0
2026-09-18,2,350.0,PUT,11407.0
2026-09-18,2,352.5,PUT,480.0
2026-09-18,2,355.0,PUT,1254.0
2026-09-18,2,357.5,PUT,950.0
2026-09-18,2,360.0,PUT,9028.0
2026-09-18,2,362.5,PUT,606.0
2026-09-18,2,365.0,PUT,907.0
2026-09-18,2,367.5,PUT,502.0
2026-09-18,2,370.0,PUT,5634.0
2026-09-18,2,372.5,PUT,92.0
2026-09-18,2,375.0,PUT,210.0
2026-09-18,2,377.5,PUT,20.0
2026-09-18,2,380.0,PUT,2115.0
2026-09-18,2,382.5,PUT,14.0
2026-09-18,2,385.0,PUT,3.0
2026-09-18,2,387.5,PUT,0.0
2026-09-18,2,390.0,PUT,839.0
2026-09-18,2,392.5,PUT,1.0
2026-09-18,2,395.0,PUT,2.0
2026-09-18,2,400.0,PUT,973.0
2026-09-18,2,405.0,PUT,0.0
2026-09-18,2,407.5,PUT,0.0
2026-09-18,2,410.0,PUT,1031.0
2026-09-18,2,415.0,PUT,0.0
2026-09-18,2,420.0,PUT,1051.0
2026-09-18,2,430.0,PUT,131.0
2026-09-18,2,440.0,PUT,69.0
2026-09-18,2,450.0,PUT,18.0
2026-09-18,2,460.0,PUT,31.0
2026-09-18,2,470.0,PUT,25.0
2026-09-18,2,480.0,PUT,39.0
2026-09-18,2,490.0,PUT,164.0
