expiration,strike,option_type,DTE,openInterest
2026-09-11,95.0,PUT,2,103
2026-09-11,100.0,CALL,2,6
2026-09-11,100.0,PUT,2,364
2026-09-11,105.0,CALL,2,11
2026-09-11,105.0,PUT,2,27
2026-09-11,110.0,PUT,2,357
2026-09-11,115.0,PUT,2,76
2026-09-11,120.0,PUT,2,199
2026-09-11,125.0,CALL,2,10
2026-09-11,125.0,PUT,2,2563
2026-09-11,130.0,CALL,2,20
2026-09-11,130.0,PUT,2,494
2026-09-11,135.0,CALL,2,2
2026-09-11,135.0,PUT,2,1330
2026-09-11,140.0,CALL,2,14
2026-09-11,140.0,PUT,2,1110
2026-09-11,145.0,CALL,2,2
2026-09-11,145.0,PUT,2,309
2026-09-11,150.0,CALL,2,7
2026-09-11,150.0,PUT,2,660
2026-09-11,155.0,CALL,2,0
2026-09-11,155.0,PUT,2,1051
2026-09-11,157.5,PUT,2,58
2026-09-11,160.0,CALL,2,25
2026-09-11,160.0,PUT,2,897
2026-09-11,162.5,CALL,2,3
2026-09-11,162.5,PUT,2,36
2026-09-11,165.0,CALL,2,4
2026-09-11,165.0,PUT,2,768
2026-09-11,167.5,CALL,2,6
2026-09-11,167.5,PUT,2,749
2026-09-11,170.0,CALL,2,24
2026-09-11,170.0,PUT,2,1004
2026-09-11,172.5,PUT,2,384
2026-09-11,175.0,CALL,2,10
2026-09-11,175.0,PUT,2,1331
2026-09-11,177.5,CALL,2,7
2026-09-11,177.5,PUT,2,343
2026-09-11,180.0,CALL,2,33
2026-09-11,180.0,PUT,2,1133
2026-09-11,182.5,CALL,2,3
2026-09-11,182.5,PUT,2,1165
2026-09-11,185.0,CALL,2,44
2026-09-11,185.0,PUT,2,1176
2026-09-11,187.5,CALL,2,53
2026-09-11,187.5,PUT,2,646
2026-09-11,190.0,CALL,2,43
2026-09-11,190.0,PUT,2,2621
2026-09-11,192.5,CALL,2,45
2026-09-11,192.5,PUT,2,498
2026-09-11,195.0,CALL,2,164
2026-09-11,195.0,PUT,2,1175
2026-09-11,197.5,CALL,2,47
2026-09-11,197.5,PUT,2,819
2026-09-11,200.0,CALL,2,1196
2026-09-11,200.0,PUT,2,2259
