expiration,strike,option_type,DTE,openInterest
2026-09-04,105.0,PUT,4,6.0
2026-09-04,110.0,CALL,4,0.0
2026-09-04,110.0,PUT,4,3.0
2026-09-04,120.0,PUT,4,27.0
2026-09-04,125.0,PUT,4,15.0
2026-09-04,130.0,PUT,4,17.0
2026-09-04,135.0,PUT,4,56.0
2026-09-04,140.0,PUT,4,61.0
2026-09-04,145.0,CALL,4,6.0
2026-09-04,145.0,PUT,4,259.0
2026-09-04,148.0,PUT,4,10.0
2026-09-04,149.0,PUT,4,23.0
2026-09-04,150.0,CALL,4,2.0
2026-09-04,150.0,PUT,4,135.0
2026-09-04,152.5,PUT,4,137.0
2026-09-04,155.0,CALL,4,1.0
2026-09-04,155.0,PUT,4,536.0
2026-09-04,157.5,PUT,4,173.0
2026-09-04,160.0,CALL,4,5.0
2026-09-04,160.0,PUT,4,774.0
2026-09-04,162.5,CALL,4,2.0
2026-09-04,162.5,PUT,4,289.0
2026-09-04,165.0,CALL,4,3.0
2026-09-04,165.0,PUT,4,607.0
2026-09-04,167.5,PUT,4,348.0
2026-09-04,170.0,CALL,4,321.0
2026-09-04,170.0,PUT,4,638.0
2026-09-04,172.5,CALL,4,414.0
2026-09-04,172.5,PUT,4,380.0
2026-09-04,175.0,CALL,4,465.0
2026-09-04,175.0,PUT,4,720.0
2026-09-04,177.5,CALL,4,371.0
2026-09-04,177.5,PUT,4,152.0
2026-09-04,180.0,CALL,4,4167.0
2026-09-04,180.0,PUT,4,642.0
2026-09-04,182.5,CALL,4,1372.0
2026-09-04,182.5,PUT,4,128.0
2026-09-04,185.0,CALL,4,1897.0
2026-09-04,185.0,PUT,4,408.0
2026-09-04,187.5,CALL,4,183.0
2026-09-04,187.5,PUT,4,74.0
2026-09-04,190.0,CALL,4,870.0
2026-09-04,190.0,PUT,4,415.0
2026-09-04,192.5,CALL,4,140.0
2026-09-04,192.5,PUT,4,53.0
2026-09-04,195.0,CALL,4,277.0
2026-09-04,195.0,PUT,4,178.0
2026-09-04,197.5,CALL,4,95.0
2026-09-04,197.5,PUT,4,83.0
2026-09-04,200.0,CALL,4,975.0
2026-09-04,200.0,PUT,4,555.0
2026-09-04,202.5,CALL,4,50.0
2026-09-04,202.5,PUT,4,82.0
2026-09-04,205.0,CALL,4,142.0
2026-09-04,205.0,PUT,4,137.0
2026-09-04,207.5,CALL,4,84.0
2026-09-04,207.5,PUT,4,53.0
2026-09-04,210.0,CALL,4,243.0
2026-09-04,210.0,PUT,4,160.0
2026-09-04,212.5,CALL,4,41.0
2026-09-04,212.5,PUT,4,19.0
2026-09-04,215.0,CALL,4,85.0
2026-09-04,215.0,PUT,4,91.0
2026-09-04,217.5,CALL,4,54.0
2026-09-04,217.5,PUT,4,38.0
2026-09-04,220.0,CALL,4,598.0
2026-09-04,220.0,PUT,4,136.0
2026-09-04,222.5,CALL,4,62.0
2026-09-04,222.5,PUT,4,13.0
2026-09-04,225.0,CALL,4,319.0
2026-09-04,225.0,PUT,4,18.0
2026-09-04,227.5,CALL,4,82.0
2026-09-04,227.5,PUT,4,16.0
2026-09-04,230.0,CALL,4,444.0
2026-09-04,230.0,PUT,4,56.0
2026-09-04,232.5,CALL,4,40.0
2026-09-04,232.5,PUT,4,60.0
2026-09-04,235.0,CALL,4,92.0
2026-09-04,235.0,PUT,4,36.0
2026-09-04,237.5,CALL,4,26.0
2026-09-04,237.5,PUT,4,21.0
2026-09-04,240.0,CALL,4,53.0
2026-09-04,240.0,PUT,4,49.0
2026-09-04,242.5,CALL,4,35.0
2026-09-04,242.5,PUT,4,21.0
2026-09-04,245.0,CALL,4,158.0
2026-09-04,245.0,PUT,4,31.0
2026-09-04,247.5,CALL,4,73.0
2026-09-04,247.5,PUT,4,2.0
2026-09-04,250.0,CALL,4,596.0
2026-09-04,250.0,PUT,4,5.0
2026-09-04,252.5,CALL,4,18.0
2026-09-04,252.5,PUT,4,1.0
2026-09-04,255.0,CALL,4,57.0
2026-09-04,255.0,PUT,4,5.0
2026-09-04,257.5,CALL,4,44.0
2026-09-04,260.0,CALL,4,820.0
2026-09-04,260.0,PUT,4,8.0
2026-09-04,262.5,CALL,4,17.0
2026-09-04,265.0,CALL,4,57.0
2026-09-04,267.5,CALL,4,0.0
2026-09-04,267.5,PUT,4,0.0
2026-09-04,270.0,CALL,4,49.0
2026-09-04,275.0,CALL,4,325.0
2026-09-04,277.5,CALL,4,1.0
2026-09-04,280.0,CALL,4,58.0
2026-09-04,280.0,PUT,4,0.0
2026-09-04,282.5,CALL,4,40.0
2026-09-04,285.0,CALL,4,9.0
2026-09-04,290.0,CALL,4,21.0
2026-09-04,295.0,CALL,4,129.0
2026-09-04,300.0,CALL,4,273.0
2026-09-04,305.0,CALL,4,163.0
2026-09-04,310.0,CALL,4,96.0
2026-09-04,315.0,CALL,4,5.0
2026-09-04,315.0,PUT,4,0.0
2026-09-04,320.0,CALL,4,71.0
2026-09-04,325.0,CALL,4,15.0
2026-09-04,325.0,PUT,4,0.0
2026-09-04,330.0,CALL,4,129.0
2026-09-04,335.0,CALL,4,17.0
2026-09-04,340.0,CALL,4,31.0
2026-09-04,345.0,CALL,4,603.0
2026-09-04,350.0,CALL,4,41.0
2026-09-04,355.0,CALL,4,20.0
2026-09-04,360.0,CALL,4,2.0
2026-09-04,380.0,CALL,4,15.0
2026-09-04,395.0,CALL,4,98.0
2026-09-11,105.0,CALL,11,1.0
2026-09-11,105.0,PUT,11,3.0
2026-09-11,120.0,PUT,11,13.0
2026-09-11,125.0,PUT,11,11.0
2026-09-11,130.0,PUT,11,51.0
2026-09-11,135.0,PUT,11,28.0
2026-09-11,139.0,PUT,11,10.0
2026-09-11,140.0,CALL,11,3.0
2026-09-11,140.0,PUT,11,259.0
2026-09-11,143.0,PUT,11,1.0
2026-09-11,145.0,PUT,11,33.0
2026-09-11,146.0,PUT,11,1.0
2026-09-11,147.0,PUT,11,1.0
2026-09-11,149.0,PUT,11,15.0
2026-09-11,150.0,CALL,11,2.0
2026-09-11,150.0,PUT,11,107.0
