expiration,strike,option_type,DTE,openInterest
2026-09-11,170.0,PUT,5,33
2026-09-11,180.0,PUT,5,21
2026-09-11,190.0,PUT,5,154
2026-09-11,195.0,PUT,5,80
2026-09-11,200.0,PUT,5,3
2026-09-11,205.0,PUT,5,1
2026-09-11,210.0,PUT,5,1
2026-09-11,215.0,PUT,5,1
2026-09-11,220.0,PUT,5,14
2026-09-11,225.0,PUT,5,7
2026-09-11,230.0,PUT,5,14
2026-09-11,235.0,PUT,5,31
2026-09-11,240.0,PUT,5,32
2026-09-11,245.0,PUT,5,36
2026-09-11,250.0,CALL,5,1
2026-09-11,250.0,PUT,5,46
2026-09-11,252.5,PUT,5,6
2026-09-11,255.0,CALL,5,2
2026-09-11,255.0,PUT,5,116
2026-09-11,257.5,PUT,5,4
2026-09-11,260.0,CALL,5,3
2026-09-11,260.0,PUT,5,151
2026-09-11,262.5,CALL,5,0
2026-09-11,262.5,PUT,5,74
2026-09-11,265.0,CALL,5,38
2026-09-11,265.0,PUT,5,260
2026-09-11,267.5,CALL,5,0
2026-09-11,267.5,PUT,5,57
2026-09-11,270.0,CALL,5,26
2026-09-11,270.0,PUT,5,82
2026-09-11,272.5,CALL,5,110
2026-09-11,272.5,PUT,5,18
2026-09-11,275.0,CALL,5,21
2026-09-11,275.0,PUT,5,98
2026-09-11,277.5,CALL,5,30
2026-09-11,277.5,PUT,5,15
2026-09-11,280.0,CALL,5,45
2026-09-11,280.0,PUT,5,31
2026-09-11,282.5,CALL,5,24
2026-09-11,282.5,PUT,5,26
2026-09-11,285.0,CALL,5,94
2026-09-11,285.0,PUT,5,62
2026-09-11,287.5,CALL,5,77
2026-09-11,287.5,PUT,5,28
2026-09-11,290.0,CALL,5,139
2026-09-11,290.0,PUT,5,113
2026-09-11,292.5,CALL,5,39
2026-09-11,292.5,PUT,5,2
2026-09-11,295.0,CALL,5,171
2026-09-11,295.0,PUT,5,4
2026-09-11,297.5,CALL,5,34
2026-09-11,297.5,PUT,5,2
2026-09-11,300.0,CALL,5,245
2026-09-11,300.0,PUT,5,6
2026-09-11,302.5,CALL,5,24
2026-09-11,302.5,PUT,5,10
2026-09-11,305.0,CALL,5,110
2026-09-11,305.0,PUT,5,0
2026-09-11,307.5,CALL,5,5
2026-09-11,310.0,CALL,5,221
2026-09-11,310.0,PUT,5,0
2026-09-11,312.5,CALL,5,3
2026-09-11,315.0,CALL,5,60
2026-09-11,320.0,CALL,5,129
2026-09-11,320.0,PUT,5,0
2026-09-11,325.0,CALL,5,47
2026-09-11,325.0,PUT,5,0
2026-09-11,330.0,CALL,5,4
2026-09-11,335.0,CALL,5,2
2026-09-11,335.0,PUT,5,0
2026-09-11,340.0,CALL,5,12
2026-09-11,350.0,CALL,5,16
2026-09-11,350.0,PUT,5,0
2026-09-11,365.0,CALL,5,10
2026-09-18,125.0,PUT,12,60
2026-09-18,130.0,CALL,12,0
2026-09-18,130.0,PUT,12,9
2026-09-18,140.0,PUT,12,150
2026-09-18,145.0,CALL,12,3
2026-09-18,145.0,PUT,12,64
2026-09-18,150.0,CALL,12,4
2026-09-18,150.0,PUT,12,99
2026-09-18,155.0,PUT,12,8
2026-09-18,160.0,CALL,12,4
2026-09-18,160.0,PUT,12,35
2026-09-18,165.0,CALL,12,7
2026-09-18,165.0,PUT,12,47
2026-09-18,170.0,CALL,12,5
2026-09-18,170.0,PUT,12,24
2026-09-18,175.0,CALL,12,11
2026-09-18,175.0,PUT,12,123
2026-09-18,180.0,CALL,12,3
2026-09-18,180.0,PUT,12,178
2026-09-18,185.0,CALL,12,8
2026-09-18,185.0,PUT,12,153
2026-09-18,190.0,CALL,12,21
2026-09-18,190.0,PUT,12,628
2026-09-18,195.0,CALL,12,17
2026-09-18,195.0,PUT,12,901
2026-09-18,200.0,CALL,12,23
2026-09-18,200.0,PUT,12,1272
2026-09-18,210.0,CALL,12,11
2026-09-18,210.0,PUT,12,1893
2026-09-18,220.0,CALL,12,44
2026-09-18,220.0,PUT,12,2735
2026-09-18,230.0,CALL,12,103
2026-09-18,230.0,PUT,12,1488
2026-09-18,235.0,PUT,12,9
2026-09-18,240.0,CALL,12,571
2026-09-18,240.0,PUT,12,2620
2026-09-18,245.0,CALL,12,1
2026-09-18,245.0,PUT,12,16
2026-09-18,250.0,CALL,12,618
2026-09-18,250.0,PUT,12,2879
2026-09-18,252.5,PUT,12,36
2026-09-18,255.0,CALL,12,1
2026-09-18,255.0,PUT,12,32
2026-09-18,257.5,PUT,12,14
2026-09-18,260.0,CALL,12,524
2026-09-18,260.0,PUT,12,3784
2026-09-18,262.5,CALL,12,3
2026-09-18,262.5,PUT,12,26
2026-09-18,265.0,CALL,12,1
