expiration,DTE,strike,option_type,openInterest
2026-09-11,4,250.0,CALL,1
2026-09-11,4,255.0,CALL,2
2026-09-11,4,260.0,CALL,3
2026-09-11,4,262.5,CALL,0
2026-09-11,4,265.0,CALL,38
2026-09-11,4,267.5,CALL,0
2026-09-11,4,270.0,CALL,26
2026-09-11,4,272.5,CALL,110
2026-09-11,4,275.0,CALL,21
2026-09-11,4,277.5,CALL,30
2026-09-11,4,280.0,CALL,45
2026-09-11,4,282.5,CALL,24
2026-09-11,4,285.0,CALL,94
2026-09-11,4,287.5,CALL,77
2026-09-11,4,290.0,CALL,139
2026-09-11,4,292.5,CALL,39
2026-09-11,4,295.0,CALL,171
2026-09-11,4,297.5,CALL,34
2026-09-11,4,300.0,CALL,245
2026-09-11,4,302.5,CALL,24
2026-09-11,4,305.0,CALL,110
2026-09-11,4,307.5,CALL,5
2026-09-11,4,310.0,CALL,221
2026-09-11,4,312.5,CALL,3
2026-09-11,4,315.0,CALL,60
2026-09-11,4,320.0,CALL,129
2026-09-11,4,325.0,CALL,47
2026-09-11,4,330.0,CALL,4
2026-09-11,4,335.0,CALL,2
2026-09-11,4,340.0,CALL,12
2026-09-11,4,350.0,CALL,16
2026-09-11,4,365.0,CALL,10
2026-09-11,4,170.0,PUT,33
2026-09-11,4,180.0,PUT,21
2026-09-11,4,190.0,PUT,154
2026-09-11,4,195.0,PUT,80
2026-09-11,4,200.0,PUT,3
2026-09-11,4,205.0,PUT,1
2026-09-11,4,210.0,PUT,1
2026-09-11,4,215.0,PUT,1
2026-09-11,4,220.0,PUT,14
2026-09-11,4,225.0,PUT,7
2026-09-11,4,230.0,PUT,14
2026-09-11,4,235.0,PUT,31
2026-09-11,4,240.0,PUT,32
2026-09-11,4,245.0,PUT,36
2026-09-11,4,250.0,PUT,46
2026-09-11,4,252.5,PUT,6
2026-09-11,4,255.0,PUT,116
2026-09-11,4,257.5,PUT,4
2026-09-11,4,260.0,PUT,151
2026-09-11,4,262.5,PUT,74
2026-09-11,4,265.0,PUT,260
2026-09-11,4,267.5,PUT,57
2026-09-11,4,270.0,PUT,82
2026-09-11,4,272.5,PUT,18
2026-09-11,4,275.0,PUT,98
2026-09-11,4,277.5,PUT,15
2026-09-11,4,280.0,PUT,31
2026-09-11,4,282.5,PUT,26
2026-09-11,4,285.0,PUT,62
2026-09-11,4,287.5,PUT,28
2026-09-11,4,290.0,PUT,113
2026-09-11,4,292.5,PUT,2
2026-09-11,4,295.0,PUT,4
2026-09-11,4,297.5,PUT,2
2026-09-11,4,300.0,PUT,6
2026-09-11,4,302.5,PUT,10
2026-09-11,4,305.0,PUT,0
2026-09-11,4,310.0,PUT,0
2026-09-11,4,320.0,PUT,0
2026-09-11,4,325.0,PUT,0
2026-09-11,4,335.0,PUT,0
2026-09-11,4,350.0,PUT,0
2026-09-18,11,130.0,CALL,0
2026-09-18,11,145.0,CALL,3
2026-09-18,11,150.0,CALL,4
2026-09-18,11,160.0,CALL,4
2026-09-18,11,165.0,CALL,7
2026-09-18,11,170.0,CALL,5
2026-09-18,11,175.0,CALL,11
2026-09-18,11,180.0,CALL,3
2026-09-18,11,185.0,CALL,8
2026-09-18,11,190.0,CALL,21
2026-09-18,11,195.0,CALL,17
2026-09-18,11,200.0,CALL,23
2026-09-18,11,210.0,CALL,11
2026-09-18,11,220.0,CALL,44
2026-09-18,11,230.0,CALL,103
2026-09-18,11,240.0,CALL,571
2026-09-18,11,245.0,CALL,1
2026-09-18,11,250.0,CALL,618
2026-09-18,11,255.0,CALL,1
2026-09-18,11,260.0,CALL,524
2026-09-18,11,262.5,CALL,3
2026-09-18,11,265.0,CALL,1
2026-09-18,11,270.0,CALL,1333
2026-09-18,11,272.5,CALL,2
2026-09-18,11,275.0,CALL,24
2026-09-18,11,277.5,CALL,49
2026-09-18,11,280.0,CALL,3190
2026-09-18,11,282.5,CALL,62
2026-09-18,11,285.0,CALL,107
2026-09-18,11,287.5,CALL,53
2026-09-18,11,290.0,CALL,1533
2026-09-18,11,292.5,CALL,21
2026-09-18,11,295.0,CALL,94
2026-09-18,11,297.5,CALL,19
2026-09-18,11,300.0,CALL,1805
2026-09-18,11,302.5,CALL,31
2026-09-18,11,305.0,CALL,76
2026-09-18,11,310.0,CALL,1313
2026-09-18,11,315.0,CALL,73
2026-09-18,11,320.0,CALL,2907
2026-09-18,11,330.0,CALL,2436
2026-09-18,11,340.0,CALL,344
2026-09-18,11,350.0,CALL,1293
2026-09-18,11,360.0,CALL,487
2026-09-18,11,370.0,CALL,686
2026-09-18,11,380.0,CALL,3216
2026-09-18,11,390.0,CALL,341
2026-09-18,11,400.0,CALL,645
2026-09-18,11,410.0,CALL,106
2026-09-18,11,420.0,CALL,272
2026-09-18,11,430.0,CALL,160
2026-09-18,11,440.0,CALL,32
2026-09-18,11,450.0,CALL,536
2026-09-18,11,460.0,CALL,83
2026-09-18,11,470.0,CALL,15
2026-09-18,11,480.0,CALL,0
2026-09-18,11,490.0,CALL,28
2026-09-18,11,500.0,CALL,72
2026-09-18,11,510.0,CALL,26
2026-09-18,11,520.0,CALL,26
2026-09-18,11,530.0,CALL,0
2026-09-18,11,540.0,CALL,14
2026-09-18,11,550.0,CALL,14
2026-09-18,11,560.0,CALL,0
2026-09-18,11,570.0,CALL,32
2026-09-18,11,580.0,CALL,139
2026-09-18,11,600.0,CALL,183
2026-09-18,11,125.0,PUT,60
2026-09-18,11,130.0,PUT,9
2026-09-18,11,140.0,PUT,150
2026-09-18,11,145.0,PUT,64
2026-09-18,11,150.0,PUT,99
2026-09-18,11,155.0,PUT,8
2026-09-18,11,160.0,PUT,35
2026-09-18,11,165.0,PUT,47
2026-09-18,11,170.0,PUT,24
2026-09-18,11,175.0,PUT,123
2026-09-18,11,180.0,PUT,178
2026-09-18,11,185.0,PUT,153
2026-09-18,11,190.0,PUT,628
2026-09-18,11,195.0,PUT,901
2026-09-18,11,200.0,PUT,1272
2026-09-18,11,210.0,PUT,1893
2026-09-18,11,220.0,PUT,2735
2026-09-18,11,230.0,PUT,1488
2026-09-18,11,235.0,PUT,9
2026-09-18,11,240.0,PUT,2620
2026-09-18,11,245.0,PUT,16
2026-09-18,11,250.0,PUT,2879
2026-09-18,11,252.5,PUT,36
2026-09-18,11,255.0,PUT,32
2026-09-18,11,257.5,PUT,14
2026-09-18,11,260.0,PUT,3784
2026-09-18,11,262.5,PUT,26
2026-09-18,11,265.0,PUT,53
2026-09-18,11,267.5,PUT,30
2026-09-18,11,270.0,PUT,1800
2026-09-18,11,272.5,PUT,57
2026-09-18,11,275.0,PUT,178
2026-09-18,11,277.5,PUT,141
2026-09-18,11,280.0,PUT,2281
2026-09-18,11,282.5,PUT,13
2026-09-18,11,285.0,PUT,45
2026-09-18,11,287.5,PUT,3
2026-09-18,11,290.0,PUT,858
2026-09-18,11,292.5,PUT,1
2026-09-18,11,295.0,PUT,13
2026-09-18,11,297.5,PUT,0
2026-09-18,11,300.0,PUT,821
2026-09-18,11,302.5,PUT,2
2026-09-18,11,310.0,PUT,468
2026-09-18,11,320.0,PUT,590
2026-09-18,11,330.0,PUT,501
