expiration,strike,option_type,DTE,openInterest
2026-08-28,35.0,PUT,4,1023
2026-08-28,40.0,CALL,4,1
2026-08-28,40.0,PUT,4,733
2026-08-28,45.0,CALL,4,4
2026-08-28,45.0,PUT,4,304
2026-08-28,50.0,CALL,4,27
2026-08-28,50.0,PUT,4,503
2026-08-28,51.0,CALL,4,18
2026-08-28,51.0,PUT,4,92
2026-08-28,52.0,CALL,4,165
2026-08-28,52.0,PUT,4,134
2026-08-28,53.0,CALL,4,100
2026-08-28,53.0,PUT,4,254
2026-08-28,54.0,CALL,4,41
2026-08-28,54.0,PUT,4,245
2026-08-28,55.0,CALL,4,27
2026-08-28,55.0,PUT,4,685
2026-08-28,56.0,CALL,4,27
2026-08-28,56.0,PUT,4,294
2026-08-28,57.0,CALL,4,41
2026-08-28,57.0,PUT,4,67
2026-08-28,58.0,CALL,4,32
2026-08-28,58.0,PUT,4,212
2026-08-28,59.0,CALL,4,52
2026-08-28,59.0,PUT,4,372
2026-08-28,60.0,CALL,4,77
2026-08-28,60.0,PUT,4,6039
2026-08-28,61.0,CALL,4,329
2026-08-28,61.0,PUT,4,206
2026-08-28,62.0,CALL,4,365
2026-08-28,62.0,PUT,4,340
2026-08-28,63.0,CALL,4,67
2026-08-28,63.0,PUT,4,277
2026-08-28,64.0,CALL,4,43
2026-08-28,64.0,PUT,4,215
2026-08-28,65.0,CALL,4,311
2026-08-28,65.0,PUT,4,1073
2026-08-28,66.0,CALL,4,165
2026-08-28,66.0,PUT,4,191
2026-08-28,67.0,CALL,4,407
2026-08-28,67.0,PUT,4,320
2026-08-28,68.0,CALL,4,336
2026-08-28,68.0,PUT,4,205
2026-08-28,69.0,CALL,4,138
2026-08-28,69.0,PUT,4,130
2026-08-28,70.0,CALL,4,1007
2026-08-28,70.0,PUT,4,2384
2026-08-28,71.0,CALL,4,189
2026-08-28,71.0,PUT,4,482
2026-08-28,72.0,CALL,4,361
2026-08-28,72.0,PUT,4,411
2026-08-28,73.0,CALL,4,393
2026-08-28,73.0,PUT,4,423
2026-08-28,74.0,CALL,4,513
2026-08-28,74.0,PUT,4,703
2026-08-28,75.0,CALL,4,1976
