expiration,DTE,strike,option_type,openInterest
2026-09-25,3,35.0,CALL,2
2026-09-25,3,50.0,CALL,16
2026-09-25,3,51.0,CALL,1
2026-09-25,3,54.0,CALL,1
2026-09-25,3,55.0,CALL,2
2026-09-25,3,60.0,CALL,9
2026-09-25,3,61.0,CALL,6
2026-09-25,3,62.0,CALL,22
2026-09-25,3,63.0,CALL,72
2026-09-25,3,64.0,CALL,80
2026-09-25,3,65.0,CALL,171
2026-09-25,3,66.0,CALL,8
2026-09-25,3,67.0,CALL,78
2026-09-25,3,68.0,CALL,18
2026-09-25,3,69.0,CALL,51
2026-09-25,3,70.0,CALL,111
2026-09-25,3,71.0,CALL,74
2026-09-25,3,72.0,CALL,298
2026-09-25,3,73.0,CALL,315
2026-09-25,3,74.0,CALL,491
2026-09-25,3,75.0,CALL,262
2026-09-25,3,76.0,CALL,140
2026-09-25,3,77.0,CALL,107
2026-09-25,3,78.0,CALL,241
2026-09-25,3,79.0,CALL,347
2026-09-25,3,80.0,CALL,466
2026-09-25,3,81.0,CALL,191
2026-09-25,3,82.0,CALL,188
2026-09-25,3,83.0,CALL,734
2026-09-25,3,84.0,CALL,472
2026-09-25,3,85.0,CALL,263
2026-09-25,3,86.0,CALL,140
2026-09-25,3,87.0,CALL,185
2026-09-25,3,88.0,CALL,4466
2026-09-25,3,89.0,CALL,359
2026-09-25,3,90.0,CALL,1253
2026-09-25,3,91.0,CALL,222
2026-09-25,3,91.5,CALL,85
2026-09-25,3,92.0,CALL,482
2026-09-25,3,92.5,CALL,104
2026-09-25,3,93.0,CALL,4284
2026-09-25,3,93.5,CALL,508
2026-09-25,3,94.0,CALL,2860
2026-09-25,3,95.0,CALL,1785
2026-09-25,3,96.0,CALL,892
2026-09-25,3,97.0,CALL,1004
2026-09-25,3,98.0,CALL,713
2026-09-25,3,99.0,CALL,1900
2026-09-25,3,100.0,CALL,6134
2026-09-25,3,101.0,CALL,222
2026-09-25,3,102.0,CALL,620
2026-09-25,3,103.0,CALL,320
2026-09-25,3,104.0,CALL,144
2026-09-25,3,105.0,CALL,2718
2026-09-25,3,106.0,CALL,322
2026-09-25,3,107.0,CALL,1268
2026-09-25,3,108.0,CALL,266
2026-09-25,3,109.0,CALL,39
2026-09-25,3,110.0,CALL,655
2026-09-25,3,111.0,CALL,149
2026-09-25,3,112.0,CALL,111
2026-09-25,3,113.0,CALL,86
2026-09-25,3,114.0,CALL,25
2026-09-25,3,115.0,CALL,423
2026-09-25,3,116.0,CALL,42
2026-09-25,3,117.0,CALL,36
2026-09-25,3,118.0,CALL,41
2026-09-25,3,119.0,CALL,11
2026-09-25,3,120.0,CALL,890
2026-09-25,3,121.0,CALL,2
2026-09-25,3,122.0,CALL,9
2026-09-25,3,123.0,CALL,14
2026-09-25,3,124.0,CALL,6
2026-09-25,3,125.0,CALL,849
2026-09-25,3,126.0,CALL,10
2026-09-25,3,127.0,CALL,41
2026-09-25,3,128.0,CALL,52
2026-09-25,3,129.0,CALL,78
2026-09-25,3,130.0,CALL,121
2026-09-25,3,131.0,CALL,17
2026-09-25,3,132.0,CALL,63
2026-09-25,3,135.0,CALL,98
2026-09-25,3,140.0,CALL,118
2026-09-25,3,145.0,CALL,10
2026-09-25,3,150.0,CALL,62
2026-09-25,3,35.0,PUT,8
2026-09-25,3,40.0,PUT,4
2026-09-25,3,45.0,PUT,89
2026-09-25,3,50.0,PUT,193
2026-09-25,3,51.0,PUT,14
2026-09-25,3,52.0,PUT,40
2026-09-25,3,53.0,PUT,172
2026-09-25,3,54.0,PUT,231
2026-09-25,3,55.0,PUT,1811
2026-09-25,3,56.0,PUT,151
2026-09-25,3,57.0,PUT,1287
2026-09-25,3,58.0,PUT,57
2026-09-25,3,59.0,PUT,206
2026-09-25,3,60.0,PUT,291
2026-09-25,3,61.0,PUT,47
2026-09-25,3,62.0,PUT,131
2026-09-25,3,63.0,PUT,5331
2026-09-25,3,64.0,PUT,394
2026-09-25,3,65.0,PUT,495
2026-09-25,3,66.0,PUT,221
2026-09-25,3,67.0,PUT,309
2026-09-25,3,68.0,PUT,259
2026-09-25,3,69.0,PUT,474
2026-09-25,3,70.0,PUT,1422
