expiration,strike,option_type,DTE,openInterest
2026-09-25,85.0,CALL,3,1
2026-09-25,85.0,PUT,3,28
2026-09-25,100.0,PUT,3,6
2026-09-25,105.0,CALL,3,19
2026-09-25,110.0,CALL,3,9
2026-09-25,110.0,PUT,3,11
2026-09-25,115.0,CALL,3,25
2026-09-25,115.0,PUT,3,65
2026-09-25,120.0,CALL,3,10
2026-09-25,120.0,PUT,3,98
2026-09-25,122.0,PUT,3,10
2026-09-25,123.0,PUT,3,4
2026-09-25,124.0,PUT,3,1
2026-09-25,125.0,CALL,3,3
2026-09-25,125.0,PUT,3,101
2026-09-25,126.0,PUT,3,6
2026-09-25,127.0,PUT,3,3
2026-09-25,128.0,PUT,3,3
2026-09-25,129.0,PUT,3,0
2026-09-25,130.0,CALL,3,6
2026-09-25,130.0,PUT,3,118
2026-09-25,131.0,PUT,3,5
2026-09-25,132.0,PUT,3,14
2026-09-25,133.0,PUT,3,18
2026-09-25,134.0,PUT,3,3
2026-09-25,135.0,CALL,3,1
2026-09-25,135.0,PUT,3,238
2026-09-25,136.0,PUT,3,23
2026-09-25,137.0,PUT,3,39
2026-09-25,138.0,PUT,3,32
2026-09-25,139.0,PUT,3,15
2026-09-25,140.0,CALL,3,74
2026-09-25,140.0,PUT,3,343
2026-09-25,141.0,PUT,3,13
2026-09-25,142.0,PUT,3,412
2026-09-25,143.0,PUT,3,15
2026-09-25,144.0,PUT,3,8
2026-09-25,145.0,CALL,3,62
2026-09-25,145.0,PUT,3,393
2026-09-25,146.0,CALL,3,20
2026-09-25,146.0,PUT,3,58
2026-09-25,147.0,CALL,3,20
2026-09-25,147.0,PUT,3,53
2026-09-25,148.0,PUT,3,32
2026-09-25,149.0,CALL,3,22
2026-09-25,149.0,PUT,3,93
2026-09-25,150.0,CALL,3,73
2026-09-25,150.0,PUT,3,625
2026-09-25,152.5,CALL,3,71
2026-09-25,152.5,PUT,3,127
2026-09-25,155.0,CALL,3,72
2026-09-25,155.0,PUT,3,569
2026-09-25,157.5,CALL,3,39
2026-09-25,157.5,PUT,3,106
2026-09-25,160.0,CALL,3,223
2026-09-25,160.0,PUT,3,735
2026-09-25,162.5,CALL,3,80
2026-09-25,162.5,PUT,3,158
2026-09-25,165.0,CALL,3,494
2026-09-25,165.0,PUT,3,1309
2026-09-25,167.5,CALL,3,81
2026-09-25,167.5,PUT,3,162
2026-09-25,170.0,CALL,3,430
2026-09-25,170.0,PUT,3,572
2026-09-25,172.5,CALL,3,237
2026-09-25,172.5,PUT,3,115
2026-09-25,175.0,CALL,3,942
2026-09-25,175.0,PUT,3,280
2026-09-25,177.5,CALL,3,234
2026-09-25,177.5,PUT,3,51
2026-09-25,180.0,CALL,3,1167
2026-09-25,180.0,PUT,3,197
2026-09-25,182.5,CALL,3,202
2026-09-25,182.5,PUT,3,24
2026-09-25,185.0,CALL,3,604
2026-09-25,185.0,PUT,3,143
2026-09-25,187.5,CALL,3,164
2026-09-25,187.5,PUT,3,1
2026-09-25,190.0,CALL,3,511
2026-09-25,190.0,PUT,3,180
2026-09-25,192.5,CALL,3,110
2026-09-25,192.5,PUT,3,0
2026-09-25,195.0,CALL,3,408
2026-09-25,195.0,PUT,3,90
2026-09-25,197.5,CALL,3,47
2026-09-25,197.5,PUT,3,2
2026-09-25,200.0,CALL,3,817
2026-09-25,200.0,PUT,3,295
2026-09-25,202.5,CALL,3,26
2026-09-25,205.0,CALL,3,71
2026-09-25,205.0,PUT,3,51
2026-09-25,207.5,CALL,3,2
2026-09-25,207.5,PUT,3,5
2026-09-25,210.0,CALL,3,345
2026-09-25,210.0,PUT,3,44
2026-09-25,212.5,CALL,3,32
2026-09-25,215.0,CALL,3,268
2026-09-25,215.0,PUT,3,0
2026-09-25,220.0,CALL,3,320
2026-09-25,220.0,PUT,3,0
2026-09-25,225.0,CALL,3,577
2026-09-25,225.0,PUT,3,0
2026-09-25,230.0,CALL,3,490
2026-09-25,230.0,PUT,3,0
2026-09-25,235.0,CALL,3,327
2026-09-25,235.0,PUT,3,1
2026-09-25,240.0,CALL,3,157
2026-09-25,240.0,PUT,3,0
2026-09-25,245.0,CALL,3,132
2026-09-25,245.0,PUT,3,0
2026-09-25,250.0,CALL,3,198
2026-09-25,250.0,PUT,3,0
2026-09-25,255.0,CALL,3,33
2026-09-25,255.0,PUT,3,0
2026-09-25,260.0,CALL,3,287
2026-09-25,260.0,PUT,3,0
2026-09-25,265.0,CALL,3,23
2026-09-25,265.0,PUT,3,0
2026-09-25,270.0,CALL,3,35
2026-09-25,270.0,PUT,3,0
2026-09-25,275.0,CALL,3,73
2026-09-25,275.0,PUT,3,0
2026-09-25,280.0,CALL,3,223
2026-09-25,280.0,PUT,3,0
2026-09-25,285.0,CALL,3,40
2026-09-25,285.0,PUT,3,0
2026-09-25,290.0,CALL,3,11
2026-09-25,290.0,PUT,3,0
2026-09-25,295.0,CALL,3,5
2026-09-25,295.0,PUT,3,0
2026-09-25,300.0,CALL,3,284
2026-09-25,300.0,PUT,3,0
