expiration,DTE,strike,option_type,openInterest
2026-08-28,4,40.0,CALL,5
2026-08-28,4,45.0,CALL,30
2026-08-28,4,50.0,CALL,74
2026-08-28,4,52.0,CALL,40
2026-08-28,4,55.0,CALL,8
2026-08-28,4,56.0,CALL,70
2026-08-28,4,57.0,CALL,1
2026-08-28,4,60.0,CALL,71
2026-08-28,4,62.0,CALL,10
2026-08-28,4,64.0,CALL,50
2026-08-28,4,65.0,CALL,118
2026-08-28,4,66.0,CALL,1
2026-08-28,4,67.0,CALL,2
2026-08-28,4,68.0,CALL,12
2026-08-28,4,69.0,CALL,20
2026-08-28,4,70.0,CALL,340
2026-08-28,4,71.0,CALL,69
2026-08-28,4,72.0,CALL,47
2026-08-28,4,73.0,CALL,100
2026-08-28,4,74.0,CALL,56
2026-08-28,4,75.0,CALL,229
2026-08-28,4,76.0,CALL,81
2026-08-28,4,77.0,CALL,71
2026-08-28,4,78.0,CALL,65
2026-08-28,4,79.0,CALL,93
2026-08-28,4,80.0,CALL,462
2026-08-28,4,81.0,CALL,158
2026-08-28,4,82.0,CALL,134
2026-08-28,4,83.0,CALL,97
2026-08-28,4,84.0,CALL,187
2026-08-28,4,85.0,CALL,377
2026-08-28,4,86.0,CALL,72
2026-08-28,4,87.0,CALL,179
2026-08-28,4,88.0,CALL,329
2026-08-28,4,89.0,CALL,1298
2026-08-28,4,90.0,CALL,1663
2026-08-28,4,91.0,CALL,1227
2026-08-28,4,92.0,CALL,1191
2026-08-28,4,93.0,CALL,885
2026-08-28,4,94.0,CALL,1042
2026-08-28,4,95.0,CALL,4074
2026-08-28,4,96.0,CALL,915
2026-08-28,4,97.0,CALL,1204
2026-08-28,4,98.0,CALL,985
2026-08-28,4,99.0,CALL,1044
2026-08-28,4,100.0,CALL,6507
2026-08-28,4,101.0,CALL,635
2026-08-28,4,102.0,CALL,905
2026-08-28,4,103.0,CALL,460
2026-08-28,4,104.0,CALL,518
2026-08-28,4,105.0,CALL,2374
2026-08-28,4,106.0,CALL,285
2026-08-28,4,107.0,CALL,475
2026-08-28,4,108.0,CALL,364
2026-08-28,4,109.0,CALL,129
2026-08-28,4,110.0,CALL,3984
2026-08-28,4,111.0,CALL,101
2026-08-28,4,112.0,CALL,302
2026-08-28,4,113.0,CALL,92
2026-08-28,4,114.0,CALL,51
2026-08-28,4,115.0,CALL,2219
2026-08-28,4,116.0,CALL,121
2026-08-28,4,117.0,CALL,221
2026-08-28,4,118.0,CALL,273
2026-08-28,4,119.0,CALL,263
2026-08-28,4,120.0,CALL,2236
2026-08-28,4,121.0,CALL,54
2026-08-28,4,122.0,CALL,75
2026-08-28,4,125.0,CALL,1775
2026-08-28,4,130.0,CALL,2549
2026-08-28,4,135.0,CALL,189
2026-08-28,4,140.0,CALL,256
2026-08-28,4,145.0,CALL,344
2026-08-28,4,150.0,CALL,294
2026-08-28,4,155.0,CALL,226
2026-08-28,4,160.0,CALL,8
2026-08-28,4,165.0,CALL,65
2026-08-28,4,40.0,PUT,373
2026-08-28,4,45.0,PUT,83
2026-08-28,4,50.0,PUT,276
2026-08-28,4,52.0,PUT,10
2026-08-28,4,53.0,PUT,1037
2026-08-28,4,54.0,PUT,55
2026-08-28,4,55.0,PUT,325
2026-08-28,4,56.0,PUT,1016
2026-08-28,4,57.0,PUT,45
2026-08-28,4,58.0,PUT,299
2026-08-28,4,59.0,PUT,34
2026-08-28,4,60.0,PUT,426
2026-08-28,4,61.0,PUT,66
2026-08-28,4,62.0,PUT,218
2026-08-28,4,63.0,PUT,244
2026-08-28,4,64.0,PUT,58
2026-08-28,4,65.0,PUT,681
2026-08-28,4,66.0,PUT,40
2026-08-28,4,67.0,PUT,81
2026-08-28,4,68.0,PUT,1158
2026-08-28,4,69.0,PUT,181
2026-08-28,4,70.0,PUT,731
2026-08-28,4,71.0,PUT,84
2026-08-28,4,72.0,PUT,230
2026-08-28,4,73.0,PUT,351
2026-08-28,4,74.0,PUT,205
2026-08-28,4,75.0,PUT,1926
2026-08-28,4,76.0,PUT,244
2026-08-28,4,77.0,PUT,387
2026-08-28,4,78.0,PUT,356
2026-08-28,4,79.0,PUT,389
2026-08-28,4,80.0,PUT,2791
2026-08-28,4,81.0,PUT,668
2026-08-28,4,82.0,PUT,1569
2026-08-28,4,83.0,PUT,726
2026-08-28,4,84.0,PUT,544
2026-08-28,4,85.0,PUT,2396
2026-08-28,4,86.0,PUT,1532
2026-08-28,4,87.0,PUT,1722
2026-08-28,4,88.0,PUT,1976
2026-08-28,4,89.0,PUT,3381
2026-08-28,4,90.0,PUT,3807
2026-08-28,4,91.0,PUT,3388
2026-08-28,4,92.0,PUT,1908
2026-08-28,4,93.0,PUT,662
2026-08-28,4,94.0,PUT,465
2026-08-28,4,95.0,PUT,1453
2026-08-28,4,96.0,PUT,625
2026-08-28,4,97.0,PUT,366
2026-08-28,4,98.0,PUT,515
2026-08-28,4,99.0,PUT,244
2026-08-28,4,100.0,PUT,1632
2026-08-28,4,101.0,PUT,174
2026-08-28,4,102.0,PUT,96
2026-08-28,4,103.0,PUT,62
2026-08-28,4,104.0,PUT,36
2026-08-28,4,105.0,PUT,332
2026-08-28,4,106.0,PUT,140
2026-08-28,4,107.0,PUT,33
2026-08-28,4,108.0,PUT,203
2026-08-28,4,109.0,PUT,120
2026-08-28,4,110.0,PUT,334
2026-08-28,4,111.0,PUT,6
2026-08-28,4,112.0,PUT,22
2026-08-28,4,113.0,PUT,17
2026-08-28,4,114.0,PUT,11
2026-08-28,4,115.0,PUT,150
2026-08-28,4,116.0,PUT,2
2026-08-28,4,117.0,PUT,4
2026-08-28,4,118.0,PUT,1
2026-08-28,4,119.0,PUT,2
2026-08-28,4,120.0,PUT,353
2026-08-28,4,122.0,PUT,0
2026-08-28,4,125.0,PUT,0
2026-08-28,4,130.0,PUT,0
2026-08-28,4,135.0,PUT,1
2026-08-28,4,140.0,PUT,0
2026-08-28,4,150.0,PUT,0
2026-08-28,4,165.0,PUT,0
2026-09-04,11,40.0,CALL,41
2026-09-04,11,45.0,CALL,41
2026-09-04,11,50.0,CALL,25
2026-09-04,11,52.0,CALL,1
2026-09-04,11,54.0,CALL,37
2026-09-04,11,55.0,CALL,5
2026-09-04,11,57.0,CALL,0
2026-09-04,11,58.0,CALL,0
2026-09-04,11,59.0,CALL,40
2026-09-04,11,60.0,CALL,103
2026-09-04,11,61.0,CALL,1
2026-09-04,11,62.0,CALL,0
2026-09-04,11,63.0,CALL,2
2026-09-04,11,64.0,CALL,1
2026-09-04,11,65.0,CALL,86
2026-09-04,11,66.0,CALL,1
2026-09-04,11,67.0,CALL,2
2026-09-04,11,68.0,CALL,4
2026-09-04,11,69.0,CALL,15
2026-09-04,11,70.0,CALL,100
2026-09-04,11,71.0,CALL,22
2026-09-04,11,72.0,CALL,80
2026-09-04,11,73.0,CALL,118
2026-09-04,11,74.0,CALL,39
2026-09-04,11,75.0,CALL,113
2026-09-04,11,76.0,CALL,42
2026-09-04,11,77.0,CALL,15
2026-09-04,11,78.0,CALL,52
2026-09-04,11,79.0,CALL,47
2026-09-04,11,80.0,CALL,297
2026-09-04,11,81.0,CALL,396
2026-09-04,11,82.0,CALL,91
2026-09-04,11,83.0,CALL,40
2026-09-04,11,84.0,CALL,59
2026-09-04,11,85.0,CALL,198
2026-09-04,11,86.0,CALL,170
2026-09-04,11,87.0,CALL,89
2026-09-04,11,88.0,CALL,76
2026-09-04,11,89.0,CALL,268
2026-09-04,11,90.0,CALL,530
2026-09-04,11,91.0,CALL,256
2026-09-04,11,92.0,CALL,233
2026-09-04,11,93.0,CALL,189
2026-09-04,11,94.0,CALL,323
2026-09-04,11,95.0,CALL,893
2026-09-04,11,96.0,CALL,98
2026-09-04,11,97.0,CALL,171
2026-09-04,11,98.0,CALL,237
2026-09-04,11,99.0,CALL,116
2026-09-04,11,100.0,CALL,1055
2026-09-04,11,101.0,CALL,184
2026-09-04,11,102.0,CALL,128
2026-09-04,11,103.0,CALL,128
2026-09-04,11,104.0,CALL,301
2026-09-04,11,105.0,CALL,754
2026-09-04,11,106.0,CALL,118
2026-09-04,11,107.0,CALL,353
2026-09-04,11,108.0,CALL,201
2026-09-04,11,109.0,CALL,112
2026-09-04,11,110.0,CALL,847
2026-09-04,11,111.0,CALL,139
2026-09-04,11,112.0,CALL,78
2026-09-04,11,113.0,CALL,147
2026-09-04,11,114.0,CALL,52
2026-09-04,11,115.0,CALL,602
2026-09-04,11,116.0,CALL,66
2026-09-04,11,117.0,CALL,149
2026-09-04,11,118.0,CALL,44
2026-09-04,11,119.0,CALL,35
2026-09-04,11,120.0,CALL,1498
2026-09-04,11,121.0,CALL,14
2026-09-04,11,122.0,CALL,281
2026-09-04,11,123.0,CALL,4
2026-09-04,11,125.0,CALL,1060
2026-09-04,11,130.0,CALL,145
2026-09-04,11,135.0,CALL,444
2026-09-04,11,140.0,CALL,102
2026-09-04,11,145.0,CALL,32
2026-09-04,11,150.0,CALL,65
2026-09-04,11,155.0,CALL,7
2026-09-04,11,160.0,CALL,38
2026-09-04,11,165.0,CALL,45
2026-09-04,11,40.0,PUT,275
2026-09-04,11,45.0,PUT,26
2026-09-04,11,50.0,PUT,512
2026-09-04,11,52.0,PUT,28
2026-09-04,11,53.0,PUT,203
2026-09-04,11,54.0,PUT,17
2026-09-04,11,55.0,PUT,333
2026-09-04,11,56.0,PUT,12950
2026-09-04,11,57.0,PUT,258
2026-09-04,11,58.0,PUT,52
2026-09-04,11,59.0,PUT,99
2026-09-04,11,60.0,PUT,362
2026-09-04,11,61.0,PUT,54
2026-09-04,11,62.0,PUT,127
2026-09-04,11,63.0,PUT,84
2026-09-04,11,64.0,PUT,33
2026-09-04,11,65.0,PUT,452
2026-09-04,11,66.0,PUT,137
2026-09-04,11,67.0,PUT,240
2026-09-04,11,68.0,PUT,221
2026-09-04,11,69.0,PUT,170
2026-09-04,11,70.0,PUT,1018
2026-09-04,11,71.0,PUT,200
2026-09-04,11,72.0,PUT,537
2026-09-04,11,73.0,PUT,176
2026-09-04,11,74.0,PUT,275
2026-09-04,11,75.0,PUT,1095
2026-09-04,11,76.0,PUT,144
2026-09-04,11,77.0,PUT,190
2026-09-04,11,78.0,PUT,223
2026-09-04,11,79.0,PUT,153
2026-09-04,11,80.0,PUT,1020
2026-09-04,11,81.0,PUT,475
2026-09-04,11,82.0,PUT,172
2026-09-04,11,83.0,PUT,199
2026-09-04,11,84.0,PUT,276
2026-09-04,11,85.0,PUT,1020
2026-09-04,11,86.0,PUT,185
2026-09-04,11,87.0,PUT,146
2026-09-04,11,88.0,PUT,548
2026-09-04,11,89.0,PUT,2070
2026-09-04,11,90.0,PUT,584
2026-09-04,11,91.0,PUT,201
2026-09-04,11,92.0,PUT,191
2026-09-04,11,93.0,PUT,235
2026-09-04,11,94.0,PUT,202
2026-09-04,11,95.0,PUT,608
2026-09-04,11,96.0,PUT,65
2026-09-04,11,97.0,PUT,113
2026-09-04,11,98.0,PUT,158
2026-09-04,11,99.0,PUT,64
2026-09-04,11,100.0,PUT,933
2026-09-04,11,101.0,PUT,47
2026-09-04,11,102.0,PUT,58
2026-09-04,11,103.0,PUT,77
2026-09-04,11,104.0,PUT,29
2026-09-04,11,105.0,PUT,467
2026-09-04,11,106.0,PUT,50
2026-09-04,11,107.0,PUT,50
2026-09-04,11,108.0,PUT,79
2026-09-04,11,109.0,PUT,13
2026-09-04,11,110.0,PUT,398
2026-09-04,11,111.0,PUT,71
2026-09-04,11,113.0,PUT,14
2026-09-04,11,114.0,PUT,3
2026-09-04,11,115.0,PUT,38
2026-09-04,11,116.0,PUT,36
2026-09-04,11,117.0,PUT,1
2026-09-04,11,118.0,PUT,1
2026-09-04,11,119.0,PUT,8
2026-09-04,11,120.0,PUT,29
2026-09-04,11,122.0,PUT,1
2026-09-04,11,125.0,PUT,75
2026-09-04,11,150.0,PUT,0
2026-09-11,18,45.0,CALL,26
2026-09-11,18,52.0,CALL,25
2026-09-11,18,54.0,CALL,0
2026-09-11,18,55.0,CALL,0
2026-09-11,18,56.0,CALL,0
2026-09-11,18,57.0,CALL,1
2026-09-11,18,58.0,CALL,1
2026-09-11,18,59.0,CALL,26
2026-09-11,18,60.0,CALL,21
2026-09-11,18,61.0,CALL,2
2026-09-11,18,62.0,CALL,2
2026-09-11,18,63.0,CALL,2
2026-09-11,18,64.0,CALL,1
2026-09-11,18,65.0,CALL,3
2026-09-11,18,66.0,CALL,3
2026-09-11,18,67.0,CALL,2
2026-09-11,18,68.0,CALL,3
2026-09-11,18,69.0,CALL,27
2026-09-11,18,70.0,CALL,4
2026-09-11,18,71.0,CALL,14
2026-09-11,18,72.0,CALL,5
2026-09-11,18,73.0,CALL,102
2026-09-11,18,74.0,CALL,59
2026-09-11,18,75.0,CALL,56
2026-09-11,18,76.0,CALL,18
2026-09-11,18,77.0,CALL,5
2026-09-11,18,78.0,CALL,11
2026-09-11,18,79.0,CALL,42
2026-09-11,18,80.0,CALL,79
2026-09-11,18,81.0,CALL,19
2026-09-11,18,82.0,CALL,12
2026-09-11,18,83.0,CALL,22
2026-09-11,18,84.0,CALL,19
2026-09-11,18,85.0,CALL,48
2026-09-11,18,86.0,CALL,57
2026-09-11,18,87.0,CALL,96
2026-09-11,18,88.0,CALL,147
2026-09-11,18,89.0,CALL,96
2026-09-11,18,90.0,CALL,217
2026-09-11,18,91.0,CALL,823
2026-09-11,18,92.0,CALL,103
2026-09-11,18,93.0,CALL,118
2026-09-11,18,94.0,CALL,86
2026-09-11,18,95.0,CALL,269
2026-09-11,18,96.0,CALL,112
2026-09-11,18,97.0,CALL,439
2026-09-11,18,98.0,CALL,280
2026-09-11,18,99.0,CALL,103
2026-09-11,18,100.0,CALL,759
2026-09-11,18,101.0,CALL,355
2026-09-11,18,102.0,CALL,341
2026-09-11,18,103.0,CALL,271
2026-09-11,18,104.0,CALL,207
2026-09-11,18,105.0,CALL,593
2026-09-11,18,106.0,CALL,307
2026-09-11,18,107.0,CALL,299
2026-09-11,18,108.0,CALL,56
2026-09-11,18,109.0,CALL,276
2026-09-11,18,110.0,CALL,719
2026-09-11,18,111.0,CALL,583
2026-09-11,18,112.0,CALL,277
2026-09-11,18,113.0,CALL,317
2026-09-11,18,114.0,CALL,271
2026-09-11,18,115.0,CALL,491
2026-09-11,18,116.0,CALL,250
2026-09-11,18,117.0,CALL,35
2026-09-11,18,118.0,CALL,284
2026-09-11,18,119.0,CALL,80
2026-09-11,18,120.0,CALL,347
2026-09-11,18,121.0,CALL,24
2026-09-11,18,122.0,CALL,29
2026-09-11,18,125.0,CALL,474
2026-09-11,18,130.0,CALL,98
2026-09-11,18,135.0,CALL,105
2026-09-11,18,140.0,CALL,77
2026-09-11,18,145.0,CALL,54
2026-09-11,18,150.0,CALL,19
2026-09-11,18,155.0,CALL,210
2026-09-11,18,160.0,CALL,3
2026-09-11,18,165.0,CALL,1
2026-09-11,18,40.0,PUT,18
2026-09-11,18,45.0,PUT,52
2026-09-11,18,50.0,PUT,64
2026-09-11,18,52.0,PUT,85
2026-09-11,18,53.0,PUT,76
2026-09-11,18,54.0,PUT,105
2026-09-11,18,55.0,PUT,187
2026-09-11,18,56.0,PUT,11
2026-09-11,18,57.0,PUT,7
2026-09-11,18,58.0,PUT,103
2026-09-11,18,59.0,PUT,35
2026-09-11,18,60.0,PUT,156
2026-09-11,18,61.0,PUT,22
2026-09-11,18,62.0,PUT,33
