expiration,DTE,strike,option_type,openInterest
2026-08-21,1,42.5,CALL,3
2026-08-21,1,45.0,CALL,12
2026-08-21,1,50.0,CALL,12
2026-08-21,1,55.0,CALL,4
2026-08-21,1,60.0,CALL,6
2026-08-21,1,65.0,CALL,14
2026-08-21,1,67.5,CALL,9
2026-08-21,1,70.0,CALL,98
2026-08-21,1,72.5,CALL,16
2026-08-21,1,75.0,CALL,58
2026-08-21,1,77.5,CALL,47
2026-08-21,1,80.0,CALL,43
2026-08-21,1,82.5,CALL,3
2026-08-21,1,85.0,CALL,110
2026-08-21,1,87.5,CALL,99
2026-08-21,1,88.0,CALL,3
2026-08-21,1,89.0,CALL,17
2026-08-21,1,90.0,CALL,1065
2026-08-21,1,91.0,CALL,22
2026-08-21,1,92.0,CALL,4
2026-08-21,1,92.5,CALL,520
2026-08-21,1,93.0,CALL,112
2026-08-21,1,94.0,CALL,997
2026-08-21,1,95.0,CALL,1706
2026-08-21,1,96.0,CALL,1994
2026-08-21,1,97.0,CALL,2358
2026-08-21,1,97.5,CALL,504
2026-08-21,1,98.0,CALL,251
2026-08-21,1,99.0,CALL,321
2026-08-21,1,100.0,CALL,4482
2026-08-21,1,101.0,CALL,210
2026-08-21,1,102.0,CALL,395
2026-08-21,1,103.0,CALL,145
2026-08-21,1,104.0,CALL,58
2026-08-21,1,105.0,CALL,4010
2026-08-21,1,106.0,CALL,60
2026-08-21,1,107.0,CALL,34
2026-08-21,1,108.0,CALL,760
2026-08-21,1,109.0,CALL,583
2026-08-21,1,110.0,CALL,14913
2026-08-21,1,111.0,CALL,69
2026-08-21,1,112.0,CALL,91
2026-08-21,1,113.0,CALL,37
2026-08-21,1,114.0,CALL,626
2026-08-21,1,115.0,CALL,1225
2026-08-21,1,116.0,CALL,13
2026-08-21,1,117.0,CALL,76
2026-08-21,1,118.0,CALL,53
2026-08-21,1,119.0,CALL,31
2026-08-21,1,120.0,CALL,9777
2026-08-21,1,121.0,CALL,15
2026-08-21,1,122.0,CALL,47
2026-08-21,1,125.0,CALL,1740
2026-08-21,1,130.0,CALL,646
2026-08-21,1,42.5,PUT,41
2026-08-21,1,45.0,PUT,68
2026-08-21,1,47.5,PUT,75
2026-08-21,1,50.0,PUT,60
2026-08-21,1,55.0,PUT,179
2026-08-21,1,60.0,PUT,274
2026-08-21,1,62.5,PUT,111
2026-08-21,1,65.0,PUT,754
2026-08-21,1,67.5,PUT,506
2026-08-21,1,70.0,PUT,3711
2026-08-21,1,72.5,PUT,462
2026-08-21,1,75.0,PUT,525
2026-08-21,1,77.5,PUT,532
2026-08-21,1,80.0,PUT,588
2026-08-21,1,82.5,PUT,1418
2026-08-21,1,85.0,PUT,822
2026-08-21,1,86.0,PUT,10
2026-08-21,1,87.0,PUT,11
2026-08-21,1,87.5,PUT,833
2026-08-21,1,88.0,PUT,40
2026-08-21,1,89.0,PUT,61
2026-08-21,1,90.0,PUT,2025
2026-08-21,1,91.0,PUT,116
2026-08-21,1,92.0,PUT,230
2026-08-21,1,92.5,PUT,2954
2026-08-21,1,93.0,PUT,1204
2026-08-21,1,94.0,PUT,252
2026-08-21,1,95.0,PUT,2880
2026-08-21,1,96.0,PUT,518
2026-08-21,1,97.0,PUT,196
2026-08-21,1,97.5,PUT,1494
2026-08-21,1,98.0,PUT,75
2026-08-21,1,99.0,PUT,66
2026-08-21,1,100.0,PUT,2065
2026-08-21,1,101.0,PUT,4
2026-08-21,1,102.0,PUT,3
2026-08-21,1,103.0,PUT,2
2026-08-21,1,104.0,PUT,6
2026-08-21,1,105.0,PUT,11
2026-08-21,1,106.0,PUT,1
2026-08-21,1,107.0,PUT,1
2026-08-21,1,108.0,PUT,251
2026-08-21,1,109.0,PUT,1
2026-08-21,1,110.0,PUT,1
2026-08-21,1,111.0,PUT,0
2026-08-21,1,112.0,PUT,0
2026-08-21,1,113.0,PUT,0
2026-08-21,1,114.0,PUT,0
2026-08-21,1,115.0,PUT,0
2026-08-21,1,119.0,PUT,0
2026-08-21,1,120.0,PUT,0
2026-08-28,8,65.0,CALL,0
2026-08-28,8,85.0,CALL,45
2026-08-28,8,89.0,CALL,2
2026-08-28,8,90.0,CALL,8
2026-08-28,8,91.0,CALL,3
2026-08-28,8,92.0,CALL,3
2026-08-28,8,93.0,CALL,25
2026-08-28,8,94.0,CALL,234
2026-08-28,8,95.0,CALL,504
2026-08-28,8,96.0,CALL,184
2026-08-28,8,97.0,CALL,451
2026-08-28,8,98.0,CALL,497
2026-08-28,8,99.0,CALL,41
2026-08-28,8,100.0,CALL,216
2026-08-28,8,101.0,CALL,223
2026-08-28,8,102.0,CALL,41
2026-08-28,8,103.0,CALL,24
2026-08-28,8,104.0,CALL,22
2026-08-28,8,105.0,CALL,88
2026-08-28,8,106.0,CALL,30
2026-08-28,8,107.0,CALL,23
2026-08-28,8,108.0,CALL,500
2026-08-28,8,109.0,CALL,38
2026-08-28,8,110.0,CALL,1380
2026-08-28,8,111.0,CALL,235
2026-08-28,8,112.0,CALL,33
2026-08-28,8,113.0,CALL,6
2026-08-28,8,114.0,CALL,27
2026-08-28,8,115.0,CALL,20
2026-08-28,8,116.0,CALL,30
2026-08-28,8,117.0,CALL,17
2026-08-28,8,118.0,CALL,28
2026-08-28,8,120.0,CALL,27
2026-08-28,8,122.0,CALL,1
2026-08-28,8,123.0,CALL,815
2026-08-28,8,125.0,CALL,23
2026-08-28,8,130.0,CALL,151
2026-08-28,8,75.0,PUT,0
2026-08-28,8,85.0,PUT,6
2026-08-28,8,88.0,PUT,20
2026-08-28,8,89.0,PUT,17
2026-08-28,8,90.0,PUT,99
2026-08-28,8,91.0,PUT,244
2026-08-28,8,92.0,PUT,1089
2026-08-28,8,93.0,PUT,495
2026-08-28,8,94.0,PUT,379
2026-08-28,8,95.0,PUT,383
2026-08-28,8,96.0,PUT,106
2026-08-28,8,97.0,PUT,654
2026-08-28,8,98.0,PUT,43
2026-08-28,8,99.0,PUT,7
2026-08-28,8,100.0,PUT,97
2026-08-28,8,101.0,PUT,7
2026-08-28,8,102.0,PUT,21
2026-08-28,8,103.0,PUT,0
2026-08-28,8,104.0,PUT,0
2026-08-28,8,105.0,PUT,3
2026-08-28,8,106.0,PUT,0
2026-08-28,8,107.0,PUT,0
2026-08-28,8,108.0,PUT,0
2026-08-28,8,109.0,PUT,0
2026-08-28,8,110.0,PUT,0
2026-08-28,8,111.0,PUT,0
2026-08-28,8,112.0,PUT,0
2026-08-28,8,113.0,PUT,0
2026-08-28,8,114.0,PUT,0
2026-09-04,15,85.0,CALL,1
2026-09-04,15,88.0,CALL,1
2026-09-04,15,90.0,CALL,2
2026-09-04,15,93.0,CALL,10
2026-09-04,15,94.0,CALL,84
2026-09-04,15,95.0,CALL,64
2026-09-04,15,96.0,CALL,44
2026-09-04,15,97.0,CALL,41
2026-09-04,15,98.0,CALL,32
2026-09-04,15,99.0,CALL,39
2026-09-04,15,100.0,CALL,38
2026-09-04,15,101.0,CALL,436
2026-09-04,15,102.0,CALL,33
2026-09-04,15,103.0,CALL,9
2026-09-04,15,104.0,CALL,57
2026-09-04,15,105.0,CALL,136
2026-09-04,15,106.0,CALL,12
2026-09-04,15,107.0,CALL,499
2026-09-04,15,108.0,CALL,7
2026-09-04,15,109.0,CALL,6
2026-09-04,15,110.0,CALL,665
2026-09-04,15,112.0,CALL,3
2026-09-04,15,113.0,CALL,3
2026-09-04,15,115.0,CALL,17
2026-09-04,15,116.0,CALL,1
2026-09-04,15,118.0,CALL,3
2026-09-04,15,120.0,CALL,12
2026-09-04,15,121.0,CALL,7
2026-09-04,15,122.0,CALL,1
2026-09-04,15,80.0,PUT,8
2026-09-04,15,85.0,PUT,26
2026-09-04,15,88.0,PUT,34
2026-09-04,15,89.0,PUT,10
2026-09-04,15,90.0,PUT,307
2026-09-04,15,91.0,PUT,65
2026-09-04,15,92.0,PUT,430
2026-09-04,15,93.0,PUT,99
2026-09-04,15,94.0,PUT,63
2026-09-04,15,95.0,PUT,49
2026-09-04,15,96.0,PUT,39
2026-09-04,15,97.0,PUT,10
2026-09-04,15,98.0,PUT,11
2026-09-04,15,99.0,PUT,19
2026-09-04,15,100.0,PUT,45
2026-09-04,15,101.0,PUT,7
2026-09-04,15,102.0,PUT,1
2026-09-04,15,103.0,PUT,1
2026-09-04,15,104.0,PUT,1
2026-09-04,15,105.0,PUT,0
2026-09-04,15,106.0,PUT,0
2026-09-04,15,107.0,PUT,0
2026-09-04,15,110.0,PUT,1
2026-09-04,15,114.0,PUT,3
2026-09-11,22,89.0,CALL,1
2026-09-11,22,92.0,CALL,2
2026-09-11,22,93.0,CALL,4
2026-09-11,22,94.0,CALL,122
2026-09-11,22,95.0,CALL,11
2026-09-11,22,96.0,CALL,52
2026-09-11,22,97.0,CALL,49
2026-09-11,22,98.0,CALL,42
2026-09-11,22,99.0,CALL,31
2026-09-11,22,100.0,CALL,272
2026-09-11,22,101.0,CALL,10
2026-09-11,22,102.0,CALL,4
2026-09-11,22,103.0,CALL,7
2026-09-11,22,104.0,CALL,9
2026-09-11,22,105.0,CALL,33
2026-09-11,22,106.0,CALL,1
2026-09-11,22,107.0,CALL,2
2026-09-11,22,109.0,CALL,1
2026-09-11,22,110.0,CALL,18
2026-09-11,22,111.0,CALL,1
2026-09-11,22,112.0,CALL,12
2026-09-11,22,113.0,CALL,1
2026-09-11,22,118.0,CALL,2
2026-09-11,22,125.0,CALL,20
2026-09-11,22,75.0,PUT,2
2026-09-11,22,80.0,PUT,3
2026-09-11,22,85.0,PUT,330
2026-09-11,22,87.0,PUT,3
2026-09-11,22,88.0,PUT,10
2026-09-11,22,89.0,PUT,25
2026-09-11,22,90.0,PUT,91
2026-09-11,22,91.0,PUT,59
2026-09-11,22,92.0,PUT,35
2026-09-11,22,93.0,PUT,29
2026-09-11,22,94.0,PUT,24
2026-09-11,22,95.0,PUT,27
2026-09-11,22,96.0,PUT,15
2026-09-11,22,97.0,PUT,5
2026-09-11,22,98.0,PUT,105
2026-09-11,22,100.0,PUT,2
2026-09-11,22,104.0,PUT,15
2026-09-11,22,111.0,PUT,0
2026-09-18,29,32.5,CALL,1
2026-09-18,29,35.0,CALL,0
2026-09-18,29,40.0,CALL,2
2026-09-18,29,42.5,CALL,1
2026-09-18,29,45.0,CALL,1
2026-09-18,29,47.5,CALL,0
2026-09-18,29,50.0,CALL,1
2026-09-18,29,52.5,CALL,0
2026-09-18,29,55.0,CALL,0
2026-09-18,29,57.5,CALL,1
2026-09-18,29,60.0,CALL,0
2026-09-18,29,62.5,CALL,1
2026-09-18,29,65.0,CALL,7
2026-09-18,29,67.5,CALL,0
2026-09-18,29,70.0,CALL,11
2026-09-18,29,72.5,CALL,2
2026-09-18,29,75.0,CALL,230
2026-09-18,29,77.5,CALL,230
2026-09-18,29,80.0,CALL,713
2026-09-18,29,82.5,CALL,340
2026-09-18,29,85.0,CALL,999
2026-09-18,29,87.5,CALL,461
2026-09-18,29,90.0,CALL,686
2026-09-18,29,92.5,CALL,1046
2026-09-18,29,95.0,CALL,1480
2026-09-18,29,97.5,CALL,943
2026-09-18,29,100.0,CALL,4364
2026-09-18,29,105.0,CALL,2599
2026-09-18,29,110.0,CALL,5086
2026-09-18,29,115.0,CALL,2078
2026-09-18,29,120.0,CALL,1061
2026-09-18,29,125.0,CALL,604
2026-09-18,29,130.0,CALL,612
2026-09-18,29,135.0,CALL,78
2026-09-18,29,140.0,CALL,4
2026-09-18,29,145.0,CALL,28
2026-09-18,29,150.0,CALL,27
2026-09-18,29,32.5,PUT,84
2026-09-18,29,35.0,PUT,27
2026-09-18,29,37.5,PUT,44
2026-09-18,29,40.0,PUT,0
2026-09-18,29,42.5,PUT,25
2026-09-18,29,45.0,PUT,309
2026-09-18,29,47.5,PUT,69
2026-09-18,29,50.0,PUT,366
2026-09-18,29,52.5,PUT,109
2026-09-18,29,55.0,PUT,555
2026-09-18,29,57.5,PUT,206
2026-09-18,29,60.0,PUT,331
2026-09-18,29,62.5,PUT,312
2026-09-18,29,65.0,PUT,889
2026-09-18,29,67.5,PUT,641
2026-09-18,29,70.0,PUT,813
2026-09-18,29,72.5,PUT,2499
2026-09-18,29,75.0,PUT,1391
2026-09-18,29,77.5,PUT,336
2026-09-18,29,80.0,PUT,1552
2026-09-18,29,82.5,PUT,488
2026-09-18,29,85.0,PUT,3846
2026-09-18,29,87.5,PUT,1835
2026-09-18,29,90.0,PUT,1513
2026-09-18,29,92.5,PUT,1610
2026-09-18,29,95.0,PUT,1509
2026-09-18,29,97.5,PUT,2281
2026-09-18,29,100.0,PUT,552
2026-09-18,29,105.0,PUT,575
2026-09-18,29,110.0,PUT,20
2026-09-18,29,115.0,PUT,1
2026-09-18,29,120.0,PUT,5
2026-09-18,29,125.0,PUT,0
2026-09-18,29,135.0,PUT,0
2026-09-25,36,60.0,CALL,2
2026-09-25,36,75.0,CALL,1
2026-09-25,36,90.0,CALL,5
2026-09-25,36,91.0,CALL,5
2026-09-25,36,92.0,CALL,2
2026-09-25,36,93.0,CALL,8
2026-09-25,36,94.0,CALL,16
2026-09-25,36,95.0,CALL,378
2026-09-25,36,96.0,CALL,77
2026-09-25,36,97.0,CALL,171
2026-09-25,36,98.0,CALL,51
2026-09-25,36,99.0,CALL,842
2026-09-25,36,100.0,CALL,281
2026-09-25,36,102.0,CALL,58
2026-09-25,36,103.0,CALL,3
2026-09-25,36,105.0,CALL,3
2026-09-25,36,108.0,CALL,1
2026-09-25,36,109.0,CALL,5
2026-09-25,36,110.0,CALL,7
