expiration,strike,option_type,DTE,openInterest
2026-09-04,13.0,PUT,5,5
2026-09-04,14.0,PUT,5,5
2026-09-04,15.0,CALL,5,2
2026-09-04,16.0,CALL,5,1
2026-09-04,16.0,PUT,5,45
2026-09-04,17.0,CALL,5,2
2026-09-04,17.0,PUT,5,6
2026-09-04,18.0,PUT,5,690
2026-09-04,19.0,CALL,5,1
2026-09-04,19.0,PUT,5,77
2026-09-04,20.0,CALL,5,57
2026-09-04,20.0,PUT,5,358
2026-09-04,20.5,CALL,5,1
2026-09-04,21.0,CALL,5,11
2026-09-04,21.0,PUT,5,48
2026-09-04,22.0,CALL,5,668
2026-09-04,22.0,PUT,5,266
2026-09-04,22.5,CALL,5,67
2026-09-04,22.5,PUT,5,422
2026-09-04,23.0,CALL,5,309
2026-09-04,23.0,PUT,5,280
2026-09-04,23.5,CALL,5,65
2026-09-04,23.5,PUT,5,392
2026-09-04,24.0,CALL,5,210
2026-09-04,24.0,PUT,5,2638
2026-09-04,24.5,CALL,5,91
2026-09-04,24.5,PUT,5,467
2026-09-04,25.0,CALL,5,1378
2026-09-04,25.0,PUT,5,265
2026-09-04,25.5,CALL,5,367
2026-09-04,25.5,PUT,5,53
2026-09-04,26.0,CALL,5,1174
2026-09-04,26.0,PUT,5,40
2026-09-04,26.5,CALL,5,227
2026-09-04,26.5,PUT,5,9
2026-09-04,27.0,CALL,5,2086
2026-09-04,27.0,PUT,5,4
2026-09-04,27.5,CALL,5,180
2026-09-04,28.0,CALL,5,3667
2026-09-04,28.0,PUT,5,7
2026-09-04,28.5,CALL,5,142
2026-09-04,29.0,CALL,5,344
2026-09-04,29.0,PUT,5,1
2026-09-04,30.0,CALL,5,1325
2026-09-04,30.0,PUT,5,3
2026-09-04,31.0,CALL,5,619
2026-09-04,31.0,PUT,5,0
2026-09-04,32.0,CALL,5,13
2026-09-04,32.0,PUT,5,0
2026-09-04,33.0,CALL,5,85
2026-09-04,34.0,CALL,5,6
2026-09-04,35.0,CALL,5,1
2026-09-04,35.0,PUT,5,1
2026-09-11,16.0,PUT,12,4
2026-09-11,17.0,PUT,12,13
2026-09-11,18.0,PUT,12,555
2026-09-11,19.0,CALL,12,1
2026-09-11,19.0,PUT,12,385
2026-09-11,20.0,CALL,12,3
2026-09-11,20.0,PUT,12,44
2026-09-11,21.0,CALL,12,17
2026-09-11,21.0,PUT,12,195
2026-09-11,22.0,CALL,12,87
2026-09-11,22.0,PUT,12,126
2026-09-11,22.5,PUT,12,803
2026-09-11,23.0,CALL,12,548
2026-09-11,23.0,PUT,12,390
2026-09-11,23.5,PUT,12,50
2026-09-11,24.0,CALL,12,1664
2026-09-11,24.0,PUT,12,151
2026-09-11,24.5,PUT,12,9
2026-09-11,25.0,CALL,12,1170
2026-09-11,25.0,PUT,12,128
2026-09-11,25.5,CALL,12,2432
2026-09-11,25.5,PUT,12,4
2026-09-11,26.0,CALL,12,481
2026-09-11,26.0,PUT,12,647
2026-09-11,26.5,CALL,12,516
2026-09-11,27.0,CALL,12,222
2026-09-11,27.0,PUT,12,16
2026-09-11,27.5,CALL,12,49
2026-09-11,28.0,CALL,12,437
2026-09-11,28.0,PUT,12,23
2026-09-11,28.5,CALL,12,57
2026-09-11,29.0,CALL,12,178
2026-09-11,30.0,CALL,12,199
2026-09-11,30.0,PUT,12,1
2026-09-11,31.0,CALL,12,80
2026-09-11,31.0,PUT,12,1
2026-09-11,32.0,CALL,12,131
2026-09-11,33.0,CALL,12,47
2026-09-11,35.0,CALL,12,12
