expiration,strike,option_type,DTE,openInterest
2026-08-28,25.0,PUT,5,11.0
2026-08-28,27.0,PUT,5,4.0
2026-08-28,28.0,PUT,5,11.0
2026-08-28,29.0,PUT,5,113.0
2026-08-28,30.0,CALL,5,3.0
2026-08-28,30.0,PUT,5,25.0
2026-08-28,31.0,CALL,5,30.0
2026-08-28,31.0,PUT,5,7.0
2026-08-28,32.0,PUT,5,123.0
2026-08-28,33.0,PUT,5,210.0
2026-08-28,34.0,CALL,5,19.0
2026-08-28,34.0,PUT,5,47.0
2026-08-28,35.0,CALL,5,19.0
2026-08-28,35.0,PUT,5,427.0
2026-08-28,35.5,PUT,5,179.0
2026-08-28,36.0,CALL,5,33.0
2026-08-28,36.0,PUT,5,160.0
2026-08-28,36.5,PUT,5,51.0
2026-08-28,37.0,CALL,5,152.0
2026-08-28,37.0,PUT,5,207.0
2026-08-28,37.5,PUT,5,81.0
2026-08-28,38.0,CALL,5,23.0
2026-08-28,38.0,PUT,5,204.0
2026-08-28,38.5,CALL,5,39.0
2026-08-28,38.5,PUT,5,50.0
2026-08-28,39.0,CALL,5,209.0
2026-08-28,39.0,PUT,5,876.0
2026-08-28,39.5,PUT,5,57.0
2026-08-28,40.0,CALL,5,97.0
2026-08-28,40.0,PUT,5,258.0
2026-08-28,40.5,CALL,5,18.0
2026-08-28,40.5,PUT,5,3.0
2026-08-28,41.0,CALL,5,71.0
2026-08-28,41.0,PUT,5,21.0
2026-08-28,41.5,CALL,5,15.0
2026-08-28,42.0,CALL,5,332.0
2026-08-28,42.0,PUT,5,112.0
2026-08-28,42.5,CALL,5,173.0
2026-08-28,42.5,PUT,5,11.0
2026-08-28,43.0,CALL,5,439.0
2026-08-28,43.0,PUT,5,18.0
2026-08-28,43.5,PUT,5,12.0
2026-08-28,44.0,CALL,5,98.0
2026-08-28,44.0,PUT,5,20.0
2026-08-28,44.5,CALL,5,2.0
2026-08-28,44.5,PUT,5,3.0
2026-08-28,45.0,CALL,5,134.0
2026-08-28,45.0,PUT,5,21.0
2026-08-28,46.0,CALL,5,88.0
2026-08-28,46.0,PUT,5,130.0
2026-08-28,47.0,CALL,5,160.0
2026-08-28,47.0,PUT,5,1.0
2026-08-28,48.0,CALL,5,110.0
2026-08-28,48.0,PUT,5,0.0
2026-08-28,49.0,CALL,5,60.0
2026-08-28,49.0,PUT,5,0.0
2026-08-28,50.0,CALL,5,235.0
2026-08-28,50.0,PUT,5,0.0
2026-08-28,51.0,CALL,5,27.0
2026-08-28,52.0,CALL,5,16.0
2026-08-28,52.0,PUT,5,0.0
2026-08-28,53.0,CALL,5,37.0
2026-08-28,54.0,CALL,5,101.0
2026-08-28,54.0,PUT,5,0.0
2026-08-28,55.0,CALL,5,57.0
2026-08-28,55.0,PUT,5,0.0
2026-08-28,56.0,CALL,5,33.0
2026-08-28,57.0,CALL,5,69.0
2026-08-28,57.0,PUT,5,0.0
2026-08-28,60.0,CALL,5,64.0
2026-08-28,60.0,PUT,5,0.0
2026-08-28,65.0,CALL,5,205.0
2026-08-28,65.0,PUT,5,0.0
2026-09-04,24.0,PUT,12,10.0
2026-09-04,25.0,PUT,12,2014.0
2026-09-04,28.0,PUT,12,30.0
2026-09-04,29.0,PUT,12,12.0
2026-09-04,30.0,PUT,12,307.0
2026-09-04,31.0,PUT,12,24.0
2026-09-04,32.0,PUT,12,16.0
2026-09-04,33.0,CALL,12,4.0
2026-09-04,33.0,PUT,12,122.0
2026-09-04,34.0,CALL,12,1.0
2026-09-04,34.0,PUT,12,40.0
2026-09-04,35.0,CALL,12,15.0
2026-09-04,35.0,PUT,12,494.0
2026-09-04,36.0,CALL,12,7.0
2026-09-04,36.0,PUT,12,42.0
2026-09-04,37.0,CALL,12,55.0
2026-09-04,37.0,PUT,12,52.0
2026-09-04,38.0,CALL,12,8.0
2026-09-04,38.0,PUT,12,62.0
2026-09-04,39.0,CALL,12,21.0
2026-09-04,39.0,PUT,12,51.0
2026-09-04,40.0,CALL,12,136.0
2026-09-04,40.0,PUT,12,74.0
2026-09-04,41.0,CALL,12,65.0
2026-09-04,41.0,PUT,12,7.0
2026-09-04,42.0,CALL,12,35.0
2026-09-04,42.0,PUT,12,19.0
2026-09-04,43.0,CALL,12,196.0
2026-09-04,43.0,PUT,12,11.0
2026-09-04,44.0,CALL,12,79.0
2026-09-04,44.0,PUT,12,39.0
2026-09-04,45.0,CALL,12,152.0
2026-09-04,45.0,PUT,12,24.0
2026-09-04,46.0,CALL,12,134.0
2026-09-04,46.0,PUT,12,16.0
2026-09-04,47.0,CALL,12,104.0
2026-09-04,47.0,PUT,12,10.0
2026-09-04,48.0,CALL,12,87.0
2026-09-04,48.0,PUT,12,12.0
2026-09-04,49.0,CALL,12,63.0
2026-09-04,49.0,PUT,12,5.0
2026-09-04,50.0,CALL,12,98.0
2026-09-04,50.0,PUT,12,0.0
2026-09-04,55.0,CALL,12,145.0
2026-09-04,55.0,PUT,12,3.0
2026-09-11,25.0,PUT,19,2.0
2026-09-11,27.0,PUT,19,26.0
2026-09-11,28.0,PUT,19,1.0
2026-09-11,30.0,CALL,19,4.0
2026-09-11,30.0,PUT,19,7.0
2026-09-11,31.0,PUT,19,22.0
2026-09-11,32.0,PUT,19,43.0
2026-09-11,33.0,PUT,19,52.0
2026-09-11,34.0,PUT,19,41.0
2026-09-11,35.0,CALL,19,38.0
2026-09-11,35.0,PUT,19,182.0
2026-09-11,36.0,PUT,19,67.0
2026-09-11,37.0,PUT,19,58.0
2026-09-11,38.0,CALL,19,188.0
2026-09-11,38.0,PUT,19,39.0
2026-09-11,39.0,CALL,19,10.0
2026-09-11,39.0,PUT,19,35.0
2026-09-11,40.0,CALL,19,33.0
2026-09-11,40.0,PUT,19,229.0
2026-09-11,41.0,CALL,19,70.0
2026-09-11,41.0,PUT,19,179.0
2026-09-11,42.0,CALL,19,67.0
2026-09-11,42.0,PUT,19,196.0
2026-09-11,43.0,CALL,19,41.0
2026-09-11,43.0,PUT,19,2.0
2026-09-11,44.0,CALL,19,36.0
2026-09-11,44.0,PUT,19,8.0
2026-09-11,45.0,CALL,19,31.0
2026-09-11,45.0,PUT,19,9.0
2026-09-11,46.0,CALL,19,24.0
2026-09-11,46.0,PUT,19,3.0
2026-09-11,47.0,CALL,19,7.0
2026-09-11,48.0,CALL,19,122.0
2026-09-11,48.0,PUT,19,4.0
2026-09-11,49.0,CALL,19,78.0
2026-09-11,50.0,CALL,19,80.0
2026-09-11,50.0,PUT,19,1.0
2026-09-11,55.0,CALL,19,190.0
2026-09-18,15.0,CALL,26,30.0
2026-09-18,15.0,PUT,26,415.0
2026-09-18,17.5,CALL,26,74.0
2026-09-18,17.5,PUT,26,85.0
2026-09-18,20.0,CALL,26,71.0
2026-09-18,20.0,PUT,26,508.0
2026-09-18,22.5,CALL,26,66.0
2026-09-18,22.5,PUT,26,1225.0
2026-09-18,25.0,CALL,26,135.0
2026-09-18,25.0,PUT,26,2074.0
2026-09-18,30.0,CALL,26,219.0
2026-09-18,30.0,PUT,26,5633.0
2026-09-18,35.0,CALL,26,1765.0
2026-09-18,35.0,PUT,26,8517.0
2026-09-18,40.0,CALL,26,2773.0
2026-09-18,40.0,PUT,26,6034.0
2026-09-18,45.0,CALL,26,3102.0
2026-09-18,45.0,PUT,26,2022.0
2026-09-18,50.0,CALL,26,4414.0
2026-09-18,50.0,PUT,26,3372.0
2026-09-18,55.0,CALL,26,3412.0
2026-09-18,55.0,PUT,26,1018.0
2026-09-18,60.0,CALL,26,3332.0
2026-09-18,60.0,PUT,26,387.0
2026-09-18,65.0,CALL,26,4781.0
2026-09-18,65.0,PUT,26,27.0
2026-09-18,70.0,CALL,26,3699.0
2026-09-18,70.0,PUT,26,0.0
2026-09-18,75.0,CALL,26,1717.0
2026-09-18,75.0,PUT,26,0.0
2026-09-18,80.0,CALL,26,373.0
2026-09-18,80.0,PUT,26,53.0
2026-09-18,85.0,CALL,26,235.0
2026-09-18,85.0,PUT,26,0.0
2026-09-18,90.0,CALL,26,3006.0
2026-09-18,90.0,PUT,26,9.0
2026-09-18,95.0,CALL,26,108.0
2026-09-18,95.0,PUT,26,0.0
2026-09-18,100.0,CALL,26,921.0
2026-09-18,100.0,PUT,26,0.0
2026-09-18,105.0,CALL,26,282.0
2026-09-18,110.0,CALL,26,498.0
2026-09-25,25.0,PUT,33,4.0
2026-09-25,30.0,PUT,33,59.0
2026-09-25,31.0,PUT,33,18.0
2026-09-25,32.0,PUT,33,6.0
2026-09-25,33.0,PUT,33,33.0
2026-09-25,34.0,CALL,33,5.0
2026-09-25,34.0,PUT,33,10.0
2026-09-25,35.0,PUT,33,108.0
2026-09-25,36.0,PUT,33,9.0
2026-09-25,37.0,PUT,33,36.0
2026-09-25,38.0,PUT,33,39.0
2026-09-25,39.0,CALL,33,16.0
2026-09-25,39.0,PUT,33,17.0
2026-09-25,40.0,CALL,33,31.0
2026-09-25,40.0,PUT,33,42.0
2026-09-25,41.0,CALL,33,7.0
2026-09-25,42.0,CALL,33,11.0
2026-09-25,43.0,CALL,33,9.0
