expiration,DTE,strike,option_type,openInterest
2026-08-28,1,24.0,CALL,1
2026-08-28,1,30.0,CALL,7
2026-08-28,1,31.0,CALL,32
2026-08-28,1,32.0,CALL,4
2026-08-28,1,33.0,CALL,6
2026-08-28,1,33.5,CALL,4
2026-08-28,1,34.0,CALL,20
2026-08-28,1,34.5,CALL,8
2026-08-28,1,35.0,CALL,22
2026-08-28,1,35.5,CALL,9
2026-08-28,1,36.0,CALL,33
2026-08-28,1,36.5,CALL,6
2026-08-28,1,37.0,CALL,167
2026-08-28,1,37.5,CALL,80
2026-08-28,1,38.0,CALL,49
2026-08-28,1,38.5,CALL,159
2026-08-28,1,39.0,CALL,355
2026-08-28,1,39.5,CALL,97
2026-08-28,1,40.0,CALL,1656
2026-08-28,1,40.5,CALL,116
2026-08-28,1,41.0,CALL,166
2026-08-28,1,41.5,CALL,28
2026-08-28,1,42.0,CALL,378
2026-08-28,1,42.5,CALL,186
2026-08-28,1,43.0,CALL,587
2026-08-28,1,43.5,CALL,19
2026-08-28,1,44.0,CALL,290
2026-08-28,1,44.5,CALL,2
2026-08-28,1,45.0,CALL,168
2026-08-28,1,45.5,CALL,31
2026-08-28,1,46.0,CALL,89
2026-08-28,1,47.0,CALL,193
2026-08-28,1,48.0,CALL,108
2026-08-28,1,49.0,CALL,60
2026-08-28,1,50.0,CALL,249
2026-08-28,1,51.0,CALL,27
2026-08-28,1,52.0,CALL,22
2026-08-28,1,53.0,CALL,39
2026-08-28,1,54.0,CALL,100
2026-08-28,1,55.0,CALL,56
2026-08-28,1,56.0,CALL,33
2026-08-28,1,57.0,CALL,69
2026-08-28,1,60.0,CALL,64
2026-08-28,1,65.0,CALL,205
2026-08-28,1,25.0,PUT,12
2026-08-28,1,27.0,PUT,4
2026-08-28,1,28.0,PUT,11
2026-08-28,1,29.0,PUT,113
2026-08-28,1,30.0,PUT,27
2026-08-28,1,31.0,PUT,7
2026-08-28,1,32.0,PUT,123
2026-08-28,1,33.0,PUT,238
2026-08-28,1,33.5,PUT,1
2026-08-28,1,34.0,PUT,188
2026-08-28,1,34.5,PUT,204
2026-08-28,1,35.0,PUT,549
2026-08-28,1,35.5,PUT,267
2026-08-28,1,36.0,PUT,596
2026-08-28,1,36.5,PUT,186
2026-08-28,1,37.0,PUT,438
2026-08-28,1,37.5,PUT,195
2026-08-28,1,38.0,PUT,233
2026-08-28,1,38.5,PUT,87
2026-08-28,1,39.0,PUT,894
2026-08-28,1,39.5,PUT,74
2026-08-28,1,40.0,PUT,3154
2026-08-28,1,40.5,PUT,255
2026-08-28,1,41.0,PUT,30
2026-08-28,1,41.5,PUT,5
2026-08-28,1,42.0,PUT,114
2026-08-28,1,42.5,PUT,15
2026-08-28,1,43.0,PUT,24
2026-08-28,1,43.5,PUT,12
2026-08-28,1,44.0,PUT,19
2026-08-28,1,44.5,PUT,3
2026-08-28,1,45.0,PUT,45
2026-08-28,1,45.5,PUT,3
2026-08-28,1,46.0,PUT,7
2026-08-28,1,46.5,PUT,0
2026-08-28,1,47.0,PUT,2
2026-08-28,1,48.0,PUT,0
2026-08-28,1,49.0,PUT,0
2026-08-28,1,50.0,PUT,0
2026-08-28,1,52.0,PUT,0
2026-08-28,1,54.0,PUT,0
2026-08-28,1,55.0,PUT,1
2026-08-28,1,56.0,PUT,0
2026-08-28,1,57.0,PUT,0
2026-08-28,1,60.0,PUT,0
2026-08-28,1,65.0,PUT,0
2026-09-04,8,32.5,CALL,3
2026-09-04,8,33.0,CALL,6
2026-09-04,8,33.5,CALL,3
2026-09-04,8,34.0,CALL,4
2026-09-04,8,35.0,CALL,15
2026-09-04,8,35.5,CALL,7
2026-09-04,8,36.0,CALL,8
2026-09-04,8,36.5,CALL,20
2026-09-04,8,37.0,CALL,76
2026-09-04,8,37.5,CALL,8
2026-09-04,8,38.0,CALL,164
2026-09-04,8,38.5,CALL,7
2026-09-04,8,39.0,CALL,76
2026-09-04,8,40.0,CALL,407
2026-09-04,8,40.5,CALL,17
2026-09-04,8,41.0,CALL,99
2026-09-04,8,41.5,CALL,18
2026-09-04,8,42.0,CALL,58
2026-09-04,8,42.5,CALL,19
2026-09-04,8,43.0,CALL,236
2026-09-04,8,43.5,CALL,10
2026-09-04,8,44.0,CALL,104
2026-09-04,8,44.5,CALL,7
2026-09-04,8,45.0,CALL,210
2026-09-04,8,45.5,CALL,1
2026-09-04,8,46.0,CALL,137
2026-09-04,8,46.5,CALL,11
2026-09-04,8,47.0,CALL,109
2026-09-04,8,48.0,CALL,86
2026-09-04,8,49.0,CALL,62
