expiration,strike,option_type,DTE,openInterest
2026-09-25,20.0,CALL,3,1
2026-09-25,25.0,CALL,3,6
2026-09-25,27.0,PUT,3,19
2026-09-25,28.0,CALL,3,0
2026-09-25,29.0,CALL,3,1
2026-09-25,29.0,PUT,3,182
2026-09-25,30.0,PUT,3,4
2026-09-25,30.5,PUT,3,540
2026-09-25,31.0,PUT,3,575
2026-09-25,31.5,PUT,3,1087
2026-09-25,32.0,PUT,3,1033
2026-09-25,32.5,PUT,3,360
2026-09-25,33.0,CALL,3,411
2026-09-25,33.0,PUT,3,14
2026-09-25,33.5,CALL,3,502
2026-09-25,33.5,PUT,3,33
2026-09-25,34.0,CALL,3,412
2026-09-25,34.0,PUT,3,23
2026-09-25,34.5,CALL,3,412
2026-09-25,34.5,PUT,3,399
2026-09-25,35.0,CALL,3,713
2026-09-25,35.0,PUT,3,3828
2026-09-25,35.5,CALL,3,10
2026-09-25,35.5,PUT,3,2821
2026-09-25,36.0,CALL,3,245
2026-09-25,36.0,PUT,3,418
2026-09-25,36.5,CALL,3,19
2026-09-25,36.5,PUT,3,299
2026-09-25,37.0,CALL,3,641
2026-09-25,37.0,PUT,3,1063
2026-09-25,37.5,CALL,3,906
2026-09-25,37.5,PUT,3,759
2026-09-25,38.0,CALL,3,756
2026-09-25,38.0,PUT,3,550
2026-09-25,38.5,CALL,3,2230
2026-09-25,38.5,PUT,3,66
2026-09-25,39.0,CALL,3,4286
2026-09-25,39.0,PUT,3,330
2026-09-25,39.5,CALL,3,1096
2026-09-25,39.5,PUT,3,69
2026-09-25,40.0,CALL,3,370
2026-09-25,40.0,PUT,3,10
2026-09-25,40.5,CALL,3,653
2026-09-25,40.5,PUT,3,2
2026-09-25,41.0,CALL,3,446
2026-09-25,41.0,PUT,3,2
2026-09-25,41.5,CALL,3,10
2026-09-25,41.5,PUT,3,1
2026-09-25,42.0,CALL,3,9
2026-09-25,42.0,PUT,3,1
2026-09-25,42.5,CALL,3,10
2026-09-25,43.0,PUT,3,0
2026-09-25,44.0,CALL,3,1
2026-09-25,44.0,PUT,3,0
2026-09-25,45.0,PUT,3,0
2026-09-25,46.0,PUT,3,0
2026-09-30,22.0,PUT,8,1
2026-09-30,24.0,CALL,8,40
2026-09-30,25.0,CALL,8,5
2026-09-30,26.0,CALL,8,10
2026-09-30,26.0,PUT,8,10
2026-09-30,27.0,CALL,8,5
2026-09-30,27.0,PUT,8,10
2026-09-30,28.0,CALL,8,11
2026-09-30,28.0,PUT,8,503
2026-09-30,29.0,CALL,8,4
2026-09-30,29.0,PUT,8,261
2026-09-30,30.0,CALL,8,4
2026-09-30,30.0,PUT,8,868
2026-09-30,31.0,CALL,8,47
2026-09-30,31.0,PUT,8,521
2026-09-30,32.0,CALL,8,4
2026-09-30,32.0,PUT,8,42510
