expiration,DTE,strike,option_type,openInterest
2026-09-18,16,25.0,CALL,22
2026-09-18,16,30.0,CALL,48
2026-09-18,16,35.0,CALL,215
2026-09-18,16,40.0,CALL,375
2026-09-18,16,45.0,CALL,826
2026-09-18,16,50.0,CALL,938
2026-09-18,16,55.0,CALL,1843
2026-09-18,16,60.0,CALL,838
2026-09-18,16,65.0,CALL,258
2026-09-18,16,70.0,CALL,628
2026-09-18,16,75.0,CALL,229
2026-09-18,16,80.0,CALL,187
2026-09-18,16,85.0,CALL,135
2026-09-18,16,90.0,CALL,22
2026-09-18,16,95.0,CALL,0
2026-09-18,16,100.0,CALL,6
2026-09-18,16,20.0,PUT,1
2026-09-18,16,22.5,PUT,1
2026-09-18,16,25.0,PUT,5
2026-09-18,16,30.0,PUT,57
2026-09-18,16,35.0,PUT,192
2026-09-18,16,40.0,PUT,447
2026-09-18,16,45.0,PUT,378
2026-09-18,16,50.0,PUT,693
2026-09-18,16,55.0,PUT,98
2026-09-18,16,60.0,PUT,6
2026-09-18,16,65.0,PUT,0
2026-09-18,16,70.0,PUT,0
2026-09-18,16,75.0,PUT,0
2026-10-16,44,30.0,CALL,3
2026-10-16,44,35.0,CALL,10
2026-10-16,44,40.0,CALL,16
2026-10-16,44,45.0,CALL,26
2026-10-16,44,50.0,CALL,38
2026-10-16,44,55.0,CALL,5
2026-10-16,44,60.0,CALL,676
2026-10-16,44,65.0,CALL,1
2026-10-16,44,35.0,PUT,246
2026-10-16,44,40.0,PUT,353
2026-10-16,44,45.0,PUT,17
2026-10-16,44,50.0,PUT,21
2026-11-20,79,45.0,CALL,7
2026-11-20,79,50.0,CALL,13
2026-11-20,79,55.0,CALL,3
2026-11-20,79,60.0,CALL,5
2026-11-20,79,30.0,PUT,1
2026-11-20,79,35.0,PUT,10
2026-11-20,79,40.0,PUT,221
2026-11-20,79,45.0,PUT,5
2026-11-20,79,55.0,PUT,1
2026-12-18,107,3.0,CALL,3
2026-12-18,107,5.0,CALL,0
2026-12-18,107,8.0,CALL,251
2026-12-18,107,10.0,CALL,440
2026-12-18,107,13.0,CALL,282
2026-12-18,107,15.0,CALL,4307
2026-12-18,107,17.0,CALL,1699
2026-12-18,107,20.0,CALL,1
2026-12-18,107,22.0,CALL,8008
2026-12-18,107,22.5,CALL,5
2026-12-18,107,25.0,CALL,849
2026-12-18,107,27.0,CALL,916
2026-12-18,107,30.0,CALL,5
2026-12-18,107,35.0,CALL,19
2026-12-18,107,40.0,CALL,46
2026-12-18,107,45.0,CALL,46
2026-12-18,107,50.0,CALL,33
2026-12-18,107,55.0,CALL,122
2026-12-18,107,60.0,CALL,27
2026-12-18,107,65.0,CALL,18
2026-12-18,107,70.0,CALL,8
2026-12-18,107,5.0,PUT,1
2026-12-18,107,8.0,PUT,0
2026-12-18,107,10.0,PUT,276
2026-12-18,107,13.0,PUT,875
2026-12-18,107,15.0,PUT,3025
2026-12-18,107,17.0,PUT,3227
2026-12-18,107,20.0,PUT,655
2026-12-18,107,22.0,PUT,871
2026-12-18,107,25.0,PUT,8
2026-12-18,107,27.0,PUT,13
2026-12-18,107,30.0,PUT,14
2026-12-18,107,35.0,PUT,14
2026-12-18,107,40.0,PUT,180
2026-12-18,107,45.0,PUT,136
2026-12-18,107,50.0,PUT,13
2026-12-18,107,55.0,PUT,3
2026-12-18,107,60.0,PUT,1
2027-01-15,135,3.0,CALL,54
2027-01-15,135,5.0,CALL,417
2027-01-15,135,10.0,CALL,1126
2027-01-15,135,13.0,CALL,1876
2027-01-15,135,15.0,CALL,3514
2027-01-15,135,18.0,CALL,4443
2027-01-15,135,20.0,CALL,14943
2027-01-15,135,22.0,CALL,2591
2027-01-15,135,25.0,CALL,4
2027-01-15,135,27.0,CALL,2587
2027-01-15,135,30.0,CALL,7
2027-01-15,135,35.0,CALL,46
2027-01-15,135,40.0,CALL,202
2027-01-15,135,45.0,CALL,51
2027-01-15,135,50.0,CALL,311
2027-01-15,135,55.0,CALL,127
2027-01-15,135,60.0,CALL,50
2027-01-15,135,65.0,CALL,21
2027-01-15,135,70.0,CALL,25
2027-01-15,135,5.0,PUT,521
2027-01-15,135,10.0,PUT,273
2027-01-15,135,13.0,PUT,33010
2027-01-15,135,15.0,PUT,5980
2027-01-15,135,18.0,PUT,7303
2027-01-15,135,20.0,PUT,10
2027-01-15,135,22.0,PUT,597
2027-01-15,135,25.0,PUT,16
2027-01-15,135,27.0,PUT,16
2027-01-15,135,30.0,PUT,121
2027-01-15,135,35.0,PUT,10
2027-01-15,135,40.0,PUT,45
2027-01-15,135,45.0,PUT,7
2027-01-15,135,50.0,PUT,1
2027-01-15,135,55.0,PUT,11
2027-01-15,135,60.0,PUT,1
