expiration,strike,option_type,DTE,openInterest
2026-09-18,20.0,PUT,13,1
2026-09-18,22.5,PUT,13,1
2026-09-18,25.0,CALL,13,22
2026-09-18,25.0,PUT,13,6
2026-09-18,30.0,CALL,13,48
2026-09-18,30.0,PUT,13,57
2026-09-18,35.0,CALL,13,176
2026-09-18,35.0,PUT,13,221
2026-09-18,40.0,CALL,13,331
2026-09-18,40.0,PUT,13,515
2026-09-18,45.0,CALL,13,796
2026-09-18,45.0,PUT,13,391
2026-09-18,50.0,CALL,13,1208
2026-09-18,50.0,PUT,13,693
2026-09-18,55.0,CALL,13,1850
2026-09-18,55.0,PUT,13,98
2026-09-18,60.0,CALL,13,832
2026-09-18,60.0,PUT,13,6
2026-09-18,65.0,CALL,13,259
2026-09-18,65.0,PUT,13,0
2026-09-18,70.0,CALL,13,628
2026-09-18,70.0,PUT,13,0
2026-09-18,75.0,CALL,13,229
2026-09-18,75.0,PUT,13,0
2026-09-18,80.0,CALL,13,187
2026-09-18,85.0,CALL,13,135
2026-09-18,90.0,CALL,13,22
2026-09-18,95.0,CALL,13,0
2026-09-18,100.0,CALL,13,6
2026-10-16,30.0,CALL,41,3
2026-10-16,30.0,PUT,41,1
2026-10-16,35.0,CALL,41,25
2026-10-16,35.0,PUT,41,246
2026-10-16,40.0,CALL,41,24
2026-10-16,40.0,PUT,41,375
2026-10-16,45.0,CALL,41,64
2026-10-16,45.0,PUT,41,15
2026-10-16,50.0,CALL,41,77
2026-10-16,50.0,PUT,41,41
2026-10-16,55.0,CALL,41,6
2026-10-16,60.0,CALL,41,688
2026-10-16,65.0,CALL,41,1
2026-11-20,30.0,PUT,76,1
2026-11-20,35.0,CALL,76,1
2026-11-20,35.0,PUT,76,793
2026-11-20,40.0,CALL,76,4
2026-11-20,40.0,PUT,76,329
2026-11-20,45.0,CALL,76,8
2026-11-20,45.0,PUT,76,5
2026-11-20,50.0,CALL,76,12
2026-11-20,50.0,PUT,76,3
2026-11-20,55.0,CALL,76,5
2026-11-20,55.0,PUT,76,1
2026-11-20,60.0,CALL,76,5
2026-12-18,3.0,CALL,104,3
2026-12-18,5.0,CALL,104,0
2026-12-18,5.0,PUT,104,1
2026-12-18,8.0,CALL,104,251
2026-12-18,8.0,PUT,104,0
2026-12-18,10.0,CALL,104,440
2026-12-18,10.0,PUT,104,276
2026-12-18,13.0,CALL,104,282
2026-12-18,13.0,PUT,104,875
2026-12-18,15.0,CALL,104,4307
2026-12-18,15.0,PUT,104,3025
2026-12-18,17.0,CALL,104,1699
2026-12-18,17.0,PUT,104,3227
2026-12-18,20.0,CALL,104,1
2026-12-18,20.0,PUT,104,655
2026-12-18,22.0,CALL,104,8008
2026-12-18,22.0,PUT,104,871
2026-12-18,22.5,CALL,104,5
2026-12-18,25.0,CALL,104,849
2026-12-18,25.0,PUT,104,8
2026-12-18,27.0,CALL,104,916
2026-12-18,27.0,PUT,104,13
2026-12-18,30.0,CALL,104,5
2026-12-18,30.0,PUT,104,14
2026-12-18,35.0,CALL,104,295
2026-12-18,35.0,PUT,104,17
2026-12-18,40.0,CALL,104,52
2026-12-18,40.0,PUT,104,183
2026-12-18,45.0,CALL,104,46
2026-12-18,45.0,PUT,104,135
2026-12-18,50.0,CALL,104,34
2026-12-18,50.0,PUT,104,13
2026-12-18,55.0,CALL,104,122
2026-12-18,55.0,PUT,104,3
2026-12-18,60.0,CALL,104,45
2026-12-18,60.0,PUT,104,1
2026-12-18,65.0,CALL,104,18
2026-12-18,70.0,CALL,104,9
2027-01-15,3.0,CALL,132,54
2027-01-15,5.0,CALL,132,417
2027-01-15,5.0,PUT,132,521
2027-01-15,10.0,CALL,132,1126
2027-01-15,10.0,PUT,132,273
2027-01-15,13.0,CALL,132,1876
2027-01-15,13.0,PUT,132,33010
2027-01-15,15.0,CALL,132,3514
2027-01-15,15.0,PUT,132,5980
2027-01-15,18.0,CALL,132,4443
2027-01-15,18.0,PUT,132,7303
2027-01-15,20.0,CALL,132,14943
2027-01-15,20.0,PUT,132,10
2027-01-15,22.0,CALL,132,2591
2027-01-15,22.0,PUT,132,597
2027-01-15,25.0,CALL,132,4
2027-01-15,25.0,PUT,132,16
2027-01-15,27.0,CALL,132,2587
2027-01-15,27.0,PUT,132,16
2027-01-15,30.0,CALL,132,18
2027-01-15,30.0,PUT,132,131
2027-01-15,35.0,CALL,132,46
2027-01-15,35.0,PUT,132,36
2027-01-15,40.0,CALL,132,203
2027-01-15,40.0,PUT,132,50
2027-01-15,45.0,CALL,132,51
2027-01-15,45.0,PUT,132,7
2027-01-15,50.0,CALL,132,311
2027-01-15,50.0,PUT,132,1
2027-01-15,55.0,CALL,132,129
2027-01-15,55.0,PUT,132,11
2027-01-15,60.0,CALL,132,50
2027-01-15,60.0,PUT,132,1
2027-01-15,65.0,CALL,132,20
2027-01-15,70.0,CALL,132,25
