expiration,DTE,strike,option_type,openInterest
2026-08-28,4,20.0,CALL,29
2026-08-28,4,21.0,CALL,1
2026-08-28,4,24.0,CALL,3
2026-08-28,4,25.0,CALL,14
2026-08-28,4,26.0,CALL,18
2026-08-28,4,27.0,CALL,19
2026-08-28,4,28.0,CALL,3
2026-08-28,4,29.0,CALL,4
2026-08-28,4,29.5,CALL,1
2026-08-28,4,30.0,CALL,128
2026-08-28,4,30.5,CALL,1
2026-08-28,4,31.0,CALL,70
2026-08-28,4,32.0,CALL,31
2026-08-28,4,33.0,CALL,34
2026-08-28,4,33.5,CALL,2
2026-08-28,4,34.0,CALL,248
2026-08-28,4,34.5,CALL,1
2026-08-28,4,35.0,CALL,894
2026-08-28,4,35.5,CALL,2
2026-08-28,4,36.0,CALL,108
2026-08-28,4,36.5,CALL,11
2026-08-28,4,37.0,CALL,112
2026-08-28,4,37.5,CALL,153
2026-08-28,4,38.0,CALL,405
2026-08-28,4,38.5,CALL,107
2026-08-28,4,39.0,CALL,242
2026-08-28,4,39.5,CALL,286
2026-08-28,4,40.0,CALL,2698
2026-08-28,4,40.5,CALL,1221
2026-08-28,4,41.0,CALL,1049
2026-08-28,4,41.5,CALL,1176
2026-08-28,4,42.0,CALL,2195
2026-08-28,4,42.5,CALL,1048
2026-08-28,4,43.0,CALL,2039
2026-08-28,4,43.5,CALL,1044
2026-08-28,4,44.0,CALL,1450
2026-08-28,4,44.5,CALL,915
2026-08-28,4,45.0,CALL,5985
2026-08-28,4,45.5,CALL,146
2026-08-28,4,46.0,CALL,2851
2026-08-28,4,46.5,CALL,130
2026-08-28,4,47.0,CALL,2879
2026-08-28,4,47.5,CALL,222
2026-08-28,4,48.0,CALL,5173
2026-08-28,4,48.5,CALL,270
2026-08-28,4,49.0,CALL,2113
2026-08-28,4,49.5,CALL,60
2026-08-28,4,50.0,CALL,12601
2026-08-28,4,51.0,CALL,1274
2026-08-28,4,52.0,CALL,6885
2026-08-28,4,53.0,CALL,2308
2026-08-28,4,54.0,CALL,992
2026-08-28,4,55.0,CALL,5746
2026-08-28,4,60.0,CALL,6720
2026-08-28,4,65.0,CALL,2716
2026-08-28,4,70.0,CALL,1720
2026-08-28,4,75.0,CALL,418
2026-08-28,4,80.0,CALL,172
2026-08-28,4,85.0,CALL,1537
2026-08-28,4,20.0,PUT,4203
2026-08-28,4,21.0,PUT,49
2026-08-28,4,22.0,PUT,590
2026-08-28,4,23.0,PUT,2086
2026-08-28,4,24.0,PUT,240
2026-08-28,4,25.0,PUT,1198
2026-08-28,4,26.0,PUT,197
2026-08-28,4,27.0,PUT,20795
2026-08-28,4,28.0,PUT,3750
2026-08-28,4,29.0,PUT,480
2026-08-28,4,29.5,PUT,119
2026-08-28,4,30.0,PUT,2128
2026-08-28,4,30.5,PUT,47
2026-08-28,4,31.0,PUT,1035
2026-08-28,4,31.5,PUT,79
2026-08-28,4,32.0,PUT,878
2026-08-28,4,32.5,PUT,101
2026-08-28,4,33.0,PUT,1306
2026-08-28,4,33.5,PUT,213
2026-08-28,4,34.0,PUT,931
2026-08-28,4,34.5,PUT,473
2026-08-28,4,35.0,PUT,2703
2026-08-28,4,35.5,PUT,273
2026-08-28,4,36.0,PUT,3497
2026-08-28,4,36.5,PUT,752
2026-08-28,4,37.0,PUT,1947
2026-08-28,4,37.5,PUT,1753
2026-08-28,4,38.0,PUT,2362
2026-08-28,4,38.5,PUT,769
2026-08-28,4,39.0,PUT,1200
2026-08-28,4,39.5,PUT,894
2026-08-28,4,40.0,PUT,6335
2026-08-28,4,40.5,PUT,267
2026-08-28,4,41.0,PUT,2282
2026-08-28,4,41.5,PUT,1457
2026-08-28,4,42.0,PUT,5658
2026-08-28,4,42.5,PUT,521
2026-08-28,4,43.0,PUT,1093
2026-08-28,4,43.5,PUT,811
2026-08-28,4,44.0,PUT,1140
2026-08-28,4,44.5,PUT,240
2026-08-28,4,45.0,PUT,2125
2026-08-28,4,45.5,PUT,142
2026-08-28,4,46.0,PUT,4673
2026-08-28,4,46.5,PUT,5
2026-08-28,4,47.0,PUT,418
2026-08-28,4,47.5,PUT,51
2026-08-28,4,48.0,PUT,1267
2026-08-28,4,48.5,PUT,4
2026-08-28,4,49.0,PUT,4730
2026-08-28,4,50.0,PUT,557
2026-08-28,4,51.0,PUT,130
2026-08-28,4,52.0,PUT,71
2026-08-28,4,53.0,PUT,89
2026-08-28,4,54.0,PUT,74
2026-08-28,4,55.0,PUT,129
2026-08-28,4,60.0,PUT,88
2026-08-28,4,65.0,PUT,12
2026-08-28,4,70.0,PUT,10
2026-08-28,4,75.0,PUT,0
2026-09-04,11,20.0,CALL,52
2026-09-04,11,21.0,CALL,1
2026-09-04,11,22.0,CALL,10
2026-09-04,11,24.0,CALL,1
2026-09-04,11,25.0,CALL,26
2026-09-04,11,26.0,CALL,1
2026-09-04,11,28.0,CALL,1
