expiration,DTE,strike,option_type,openInterest
2026-08-21,1,6.5,CALL,11
2026-08-21,1,7.0,CALL,10
2026-08-21,1,8.5,CALL,9
2026-08-21,1,9.0,CALL,14
2026-08-21,1,9.5,CALL,14
2026-08-21,1,10.0,CALL,32
2026-08-21,1,10.5,CALL,23
2026-08-21,1,11.0,CALL,12
2026-08-21,1,11.5,CALL,8
2026-08-21,1,12.0,CALL,138
2026-08-21,1,12.5,CALL,35
2026-08-21,1,13.0,CALL,206
2026-08-21,1,13.5,CALL,51
2026-08-21,1,14.0,CALL,220
2026-08-21,1,14.5,CALL,213
2026-08-21,1,15.0,CALL,645
2026-08-21,1,15.5,CALL,195
2026-08-21,1,16.0,CALL,1330
2026-08-21,1,16.5,CALL,227
2026-08-21,1,17.0,CALL,383
2026-08-21,1,17.5,CALL,178
2026-08-21,1,18.0,CALL,1788
2026-08-21,1,18.5,CALL,830
2026-08-21,1,19.0,CALL,2929
2026-08-21,1,19.5,CALL,598
2026-08-21,1,20.0,CALL,4168
2026-08-21,1,20.5,CALL,945
2026-08-21,1,21.0,CALL,1884
2026-08-21,1,21.5,CALL,494
2026-08-21,1,22.0,CALL,1101
2026-08-21,1,23.0,CALL,1363
2026-08-21,1,24.0,CALL,739
2026-08-21,1,25.0,CALL,2183
2026-08-21,1,26.0,CALL,105
2026-08-21,1,27.0,CALL,130
2026-08-21,1,28.0,CALL,284
2026-08-21,1,29.0,CALL,37
2026-08-21,1,30.0,CALL,1173
2026-08-21,1,31.0,CALL,35
2026-08-21,1,32.0,CALL,362
2026-08-21,1,35.0,CALL,135
2026-08-21,1,6.5,PUT,1696
2026-08-21,1,7.0,PUT,509
2026-08-21,1,8.0,PUT,2
2026-08-21,1,8.5,PUT,1484
2026-08-21,1,9.0,PUT,416
2026-08-21,1,9.5,PUT,24
2026-08-21,1,10.0,PUT,2012
2026-08-21,1,10.5,PUT,2
2026-08-21,1,11.0,PUT,1318
2026-08-21,1,11.5,PUT,774
2026-08-21,1,12.0,PUT,791
2026-08-21,1,12.5,PUT,405
2026-08-21,1,13.0,PUT,2268
2026-08-21,1,13.5,PUT,1599
2026-08-21,1,14.0,PUT,808
2026-08-21,1,14.5,PUT,331
2026-08-21,1,15.0,PUT,1051
2026-08-21,1,15.5,PUT,353
2026-08-21,1,16.0,PUT,350
2026-08-21,1,16.5,PUT,241
2026-08-21,1,17.0,PUT,797
2026-08-21,1,17.5,PUT,758
2026-08-21,1,18.0,PUT,1405
2026-08-21,1,18.5,PUT,343
2026-08-21,1,19.0,PUT,694
2026-08-21,1,19.5,PUT,204
2026-08-21,1,20.0,PUT,1033
2026-08-21,1,20.5,PUT,65
2026-08-21,1,21.0,PUT,91
2026-08-21,1,22.0,PUT,220
2026-08-21,1,23.0,PUT,40
2026-08-21,1,24.0,PUT,14
2026-08-21,1,25.0,PUT,26
2026-08-21,1,26.0,PUT,1
2026-08-21,1,27.0,PUT,1
2026-08-21,1,28.0,PUT,2
2026-08-21,1,29.0,PUT,0
2026-08-21,1,30.0,PUT,0
2026-08-21,1,31.0,PUT,0
2026-08-21,1,32.0,PUT,0
2026-08-21,1,35.0,PUT,0
2026-08-28,8,6.0,CALL,4
2026-08-28,8,7.0,CALL,5
2026-08-28,8,8.0,CALL,6
2026-08-28,8,9.0,CALL,8
2026-08-28,8,10.0,CALL,40
2026-08-28,8,11.0,CALL,16
2026-08-28,8,12.0,CALL,60
2026-08-28,8,12.5,CALL,13
2026-08-28,8,13.0,CALL,58
2026-08-28,8,13.5,CALL,37
2026-08-28,8,14.0,CALL,29
2026-08-28,8,14.5,CALL,19
2026-08-28,8,15.0,CALL,187
2026-08-28,8,15.5,CALL,55
2026-08-28,8,16.0,CALL,181
2026-08-28,8,16.5,CALL,109
2026-08-28,8,17.0,CALL,222
2026-08-28,8,17.5,CALL,135
2026-08-28,8,18.0,CALL,338
2026-08-28,8,18.5,CALL,275
2026-08-28,8,19.0,CALL,331
2026-08-28,8,19.5,CALL,914
2026-08-28,8,20.0,CALL,655
2026-08-28,8,20.5,CALL,220
2026-08-28,8,21.0,CALL,239
2026-08-28,8,21.5,CALL,172
2026-08-28,8,22.0,CALL,449
2026-08-28,8,22.5,CALL,74
2026-08-28,8,23.0,CALL,158
2026-08-28,8,24.0,CALL,410
2026-08-28,8,25.0,CALL,832
2026-08-28,8,26.0,CALL,115
2026-08-28,8,30.0,CALL,517
2026-08-28,8,6.0,PUT,1
2026-08-28,8,7.0,PUT,255
2026-08-28,8,8.0,PUT,138
2026-08-28,8,9.0,PUT,135
2026-08-28,8,10.0,PUT,133
2026-08-28,8,10.5,PUT,3
2026-08-28,8,11.0,PUT,154
2026-08-28,8,11.5,PUT,91
2026-08-28,8,12.0,PUT,581
2026-08-28,8,12.5,PUT,158
2026-08-28,8,13.0,PUT,113
2026-08-28,8,13.5,PUT,230
2026-08-28,8,14.0,PUT,140
2026-08-28,8,14.5,PUT,66
2026-08-28,8,15.0,PUT,75
2026-08-28,8,15.5,PUT,66
2026-08-28,8,16.0,PUT,159
2026-08-28,8,16.5,PUT,68
2026-08-28,8,17.0,PUT,368
2026-08-28,8,17.5,PUT,353
2026-08-28,8,18.0,PUT,286
2026-08-28,8,18.5,PUT,342
2026-08-28,8,19.0,PUT,424
2026-08-28,8,19.5,PUT,207
2026-08-28,8,20.0,PUT,167
2026-08-28,8,20.5,PUT,26
2026-08-28,8,21.0,PUT,69
2026-08-28,8,22.0,PUT,28
2026-08-28,8,22.5,PUT,1
2026-08-28,8,23.0,PUT,4
2026-08-28,8,24.0,PUT,21
2026-08-28,8,25.0,PUT,14
2026-08-28,8,26.0,PUT,13
2026-08-28,8,30.0,PUT,0
2026-09-04,15,6.0,CALL,1
2026-09-04,15,8.0,CALL,55
2026-09-04,15,9.5,CALL,3
2026-09-04,15,11.0,CALL,3
2026-09-04,15,11.5,CALL,3
2026-09-04,15,12.0,CALL,64
2026-09-04,15,12.5,CALL,5
2026-09-04,15,13.0,CALL,12
2026-09-04,15,13.5,CALL,6
2026-09-04,15,14.0,CALL,48
2026-09-04,15,14.5,CALL,12
2026-09-04,15,15.0,CALL,73
2026-09-04,15,15.5,CALL,15
2026-09-04,15,16.0,CALL,130
2026-09-04,15,16.5,CALL,106
2026-09-04,15,17.0,CALL,194
2026-09-04,15,17.5,CALL,37
2026-09-04,15,18.0,CALL,472
2026-09-04,15,18.5,CALL,67
2026-09-04,15,19.0,CALL,67
2026-09-04,15,19.5,CALL,50
2026-09-04,15,20.0,CALL,199
2026-09-04,15,21.0,CALL,106
2026-09-04,15,22.0,CALL,377
2026-09-04,15,23.0,CALL,104
2026-09-04,15,24.0,CALL,376
2026-09-04,15,25.0,CALL,106
2026-09-04,15,6.0,PUT,2
2026-09-04,15,7.0,PUT,501
2026-09-04,15,8.0,PUT,770
2026-09-04,15,9.0,PUT,20
2026-09-04,15,9.5,PUT,1860
2026-09-04,15,10.0,PUT,24
2026-09-04,15,10.5,PUT,890
2026-09-04,15,11.0,PUT,31
2026-09-04,15,11.5,PUT,23
2026-09-04,15,12.0,PUT,45
2026-09-04,15,12.5,PUT,76
2026-09-04,15,13.0,PUT,21
2026-09-04,15,13.5,PUT,38
2026-09-04,15,14.0,PUT,58
2026-09-04,15,14.5,PUT,5
2026-09-04,15,15.0,PUT,340
2026-09-04,15,15.5,PUT,30
2026-09-04,15,16.0,PUT,47
2026-09-04,15,16.5,PUT,25
2026-09-04,15,17.0,PUT,42
2026-09-04,15,17.5,PUT,19
2026-09-04,15,18.0,PUT,495
2026-09-04,15,18.5,PUT,19
2026-09-04,15,19.0,PUT,30
2026-09-04,15,19.5,PUT,18
2026-09-04,15,20.0,PUT,44
2026-09-04,15,21.0,PUT,2
