expiration,strike,option_type,DTE,openInterest
2026-09-25,30.0,PUT,3,161
2026-09-25,35.0,CALL,3,0
2026-09-25,35.0,PUT,3,1041
2026-09-25,40.0,PUT,3,267
2026-09-25,45.0,PUT,3,494
2026-09-25,50.0,CALL,3,6282
2026-09-25,50.0,PUT,3,609
2026-09-25,55.0,CALL,3,19
2026-09-25,55.0,PUT,3,1418
2026-09-25,60.0,CALL,3,6
2026-09-25,60.0,PUT,3,774
2026-09-25,65.0,CALL,3,32
2026-09-25,65.0,PUT,3,2547
2026-09-25,70.0,CALL,3,10
2026-09-25,70.0,PUT,3,13586
2026-09-25,75.0,CALL,3,20
2026-09-25,75.0,PUT,3,10793
2026-09-25,80.0,CALL,3,78
2026-09-25,80.0,PUT,3,4784
2026-09-25,83.0,CALL,3,46
2026-09-25,83.0,PUT,3,2128
2026-09-25,84.0,CALL,3,76
2026-09-25,84.0,PUT,3,698
2026-09-25,85.0,CALL,3,57
2026-09-25,85.0,PUT,3,6328
2026-09-25,86.0,CALL,3,2
2026-09-25,86.0,PUT,3,103
2026-09-25,87.0,CALL,3,73
2026-09-25,87.0,PUT,3,51
2026-09-25,88.0,CALL,3,33
2026-09-25,88.0,PUT,3,434
2026-09-25,89.0,CALL,3,36
2026-09-25,89.0,PUT,3,2755
2026-09-25,90.0,CALL,3,63
2026-09-25,90.0,PUT,3,3212
2026-09-25,91.0,CALL,3,36
2026-09-25,91.0,PUT,3,118
2026-09-25,92.0,CALL,3,16
2026-09-25,92.0,PUT,3,150
2026-09-25,93.0,CALL,3,13
2026-09-25,93.0,PUT,3,288
2026-09-25,94.0,CALL,3,38
2026-09-25,94.0,PUT,3,64
2026-09-25,95.0,CALL,3,205
2026-09-25,95.0,PUT,3,9642
2026-09-25,96.0,CALL,3,45
2026-09-25,96.0,PUT,3,41
2026-09-25,97.0,CALL,3,85
2026-09-25,97.0,PUT,3,730
2026-09-25,98.0,CALL,3,76
2026-09-25,98.0,PUT,3,138
2026-09-25,99.0,CALL,3,85
2026-09-25,99.0,PUT,3,149
2026-09-25,100.0,CALL,3,835
2026-09-25,100.0,PUT,3,5920
2026-09-25,101.0,CALL,3,60
2026-09-25,101.0,PUT,3,16623
2026-09-25,102.0,CALL,3,120
2026-09-25,102.0,PUT,3,377
2026-09-25,103.0,CALL,3,140
2026-09-25,103.0,PUT,3,841
2026-09-25,104.0,CALL,3,92
2026-09-25,104.0,PUT,3,198
2026-09-25,105.0,CALL,3,485
2026-09-25,105.0,PUT,3,3329
2026-09-25,106.0,CALL,3,137
2026-09-25,106.0,PUT,3,209
2026-09-25,107.0,CALL,3,106
2026-09-25,107.0,PUT,3,691
2026-09-25,108.0,CALL,3,69
2026-09-25,108.0,PUT,3,793
2026-09-25,109.0,CALL,3,34
2026-09-25,109.0,PUT,3,443
2026-09-25,110.0,CALL,3,1540
2026-09-25,110.0,PUT,3,2822
2026-09-25,111.0,CALL,3,193
2026-09-25,111.0,PUT,3,376
2026-09-25,112.0,CALL,3,315
2026-09-25,112.0,PUT,3,1079
2026-09-25,113.0,CALL,3,92
2026-09-25,113.0,PUT,3,281
2026-09-25,114.0,CALL,3,211
2026-09-25,114.0,PUT,3,287
2026-09-25,115.0,CALL,3,688
2026-09-25,115.0,PUT,3,5161
2026-09-25,116.0,CALL,3,72
2026-09-25,116.0,PUT,3,254
2026-09-25,117.0,CALL,3,58
2026-09-25,117.0,PUT,3,443
2026-09-25,118.0,CALL,3,64
2026-09-25,118.0,PUT,3,1301
2026-09-25,119.0,CALL,3,58
2026-09-25,119.0,PUT,3,226
2026-09-25,120.0,CALL,3,659
2026-09-25,120.0,PUT,3,9413
2026-09-25,121.0,CALL,3,145
2026-09-25,121.0,PUT,3,379
2026-09-25,122.0,CALL,3,125
2026-09-25,122.0,PUT,3,930
2026-09-25,123.0,CALL,3,90
2026-09-25,123.0,PUT,3,1497
2026-09-25,124.0,CALL,3,216
2026-09-25,124.0,PUT,3,942
2026-09-25,125.0,CALL,3,1051
2026-09-25,125.0,PUT,3,3812
2026-09-25,126.0,CALL,3,147
2026-09-25,126.0,PUT,3,388
2026-09-25,127.0,CALL,3,448
2026-09-25,127.0,PUT,3,386
2026-09-25,128.0,CALL,3,394
2026-09-25,128.0,PUT,3,961
2026-09-25,129.0,CALL,3,259
2026-09-25,129.0,PUT,3,1291
2026-09-25,130.0,CALL,3,1519
2026-09-25,130.0,PUT,3,4181
2026-09-25,131.0,CALL,3,394
2026-09-25,131.0,PUT,3,368
2026-09-25,132.0,CALL,3,3486
2026-09-25,132.0,PUT,3,540
2026-09-25,133.0,CALL,3,676
2026-09-25,133.0,PUT,3,2963
2026-09-25,134.0,CALL,3,331
2026-09-25,134.0,PUT,3,542
2026-09-25,135.0,CALL,3,10994
2026-09-25,135.0,PUT,3,2525
2026-09-25,136.0,CALL,3,2894
2026-09-25,136.0,PUT,3,349
2026-09-25,137.0,CALL,3,726
2026-09-25,137.0,PUT,3,1874
2026-09-25,138.0,CALL,3,577
2026-09-25,138.0,PUT,3,814
2026-09-25,139.0,CALL,3,499
2026-09-25,139.0,PUT,3,1370
2026-09-25,140.0,CALL,3,3421
2026-09-25,140.0,PUT,3,7078
2026-09-25,141.0,CALL,3,11957
2026-09-25,141.0,PUT,3,443
2026-09-25,142.0,CALL,3,11077
2026-09-25,142.0,PUT,3,514
2026-09-25,143.0,CALL,3,476
2026-09-25,143.0,PUT,3,545
