expiration,DTE,strike,option_type,openInterest
2026-09-25,1,35.0,CALL,0.0
2026-09-25,1,40.0,CALL,0.0
2026-09-25,1,45.0,CALL,1.0
2026-09-25,1,50.0,CALL,6319.0
2026-09-25,1,55.0,CALL,14.0
2026-09-25,1,60.0,CALL,6.0
2026-09-25,1,65.0,CALL,37.0
2026-09-25,1,70.0,CALL,10.0
2026-09-25,1,75.0,CALL,0.0
2026-09-25,1,80.0,CALL,78.0
2026-09-25,1,83.0,CALL,47.0
2026-09-25,1,84.0,CALL,79.0
2026-09-25,1,85.0,CALL,62.0
2026-09-25,1,86.0,CALL,9.0
2026-09-25,1,87.0,CALL,74.0
2026-09-25,1,88.0,CALL,33.0
2026-09-25,1,89.0,CALL,43.0
2026-09-25,1,90.0,CALL,76.0
2026-09-25,1,91.0,CALL,51.0
2026-09-25,1,92.0,CALL,19.0
2026-09-25,1,93.0,CALL,15.0
2026-09-25,1,94.0,CALL,41.0
2026-09-25,1,95.0,CALL,208.0
2026-09-25,1,96.0,CALL,45.0
2026-09-25,1,97.0,CALL,83.0
2026-09-25,1,98.0,CALL,73.0
2026-09-25,1,99.0,CALL,87.0
2026-09-25,1,100.0,CALL,803.0
2026-09-25,1,101.0,CALL,53.0
2026-09-25,1,102.0,CALL,74.0
2026-09-25,1,103.0,CALL,122.0
2026-09-25,1,104.0,CALL,82.0
2026-09-25,1,105.0,CALL,255.0
2026-09-25,1,106.0,CALL,134.0
2026-09-25,1,107.0,CALL,94.0
2026-09-25,1,108.0,CALL,52.0
2026-09-25,1,109.0,CALL,32.0
2026-09-25,1,110.0,CALL,1319.0
2026-09-25,1,111.0,CALL,188.0
2026-09-25,1,112.0,CALL,312.0
2026-09-25,1,113.0,CALL,73.0
2026-09-25,1,114.0,CALL,206.0
2026-09-25,1,115.0,CALL,600.0
2026-09-25,1,116.0,CALL,65.0
2026-09-25,1,117.0,CALL,53.0
2026-09-25,1,118.0,CALL,64.0
2026-09-25,1,119.0,CALL,57.0
2026-09-25,1,120.0,CALL,552.0
2026-09-25,1,121.0,CALL,122.0
2026-09-25,1,122.0,CALL,120.0
2026-09-25,1,123.0,CALL,64.0
2026-09-25,1,124.0,CALL,209.0
2026-09-25,1,125.0,CALL,860.0
2026-09-25,1,126.0,CALL,128.0
2026-09-25,1,127.0,CALL,429.0
2026-09-25,1,128.0,CALL,392.0
2026-09-25,1,129.0,CALL,243.0
2026-09-25,1,130.0,CALL,1117.0
2026-09-25,1,131.0,CALL,395.0
2026-09-25,1,132.0,CALL,1307.0
2026-09-25,1,133.0,CALL,650.0
2026-09-25,1,134.0,CALL,322.0
2026-09-25,1,135.0,CALL,11339.0
2026-09-25,1,136.0,CALL,2676.0
2026-09-25,1,137.0,CALL,706.0
2026-09-25,1,138.0,CALL,426.0
2026-09-25,1,139.0,CALL,453.0
2026-09-25,1,140.0,CALL,2716.0
2026-09-25,1,141.0,CALL,12720.0
2026-09-25,1,142.0,CALL,11098.0
2026-09-25,1,143.0,CALL,450.0
