expiration,strike,option_type,DTE,openInterest
2026-09-04,3.0,CALL,5,37
2026-09-04,4.0,CALL,5,2
2026-09-04,5.0,CALL,5,9
2026-09-04,6.0,CALL,5,7
2026-09-04,6.0,PUT,5,1321
2026-09-04,7.0,CALL,5,7
2026-09-04,7.0,PUT,5,308
2026-09-04,8.0,CALL,5,43
2026-09-04,8.0,PUT,5,78
2026-09-04,8.5,CALL,5,20
2026-09-04,8.5,PUT,5,71
2026-09-04,9.0,CALL,5,14
2026-09-04,9.0,PUT,5,27
2026-09-04,9.5,CALL,5,45
2026-09-04,9.5,PUT,5,104
2026-09-04,10.0,CALL,5,23
2026-09-04,10.0,PUT,5,153
2026-09-04,10.5,CALL,5,23
2026-09-04,10.5,PUT,5,149
2026-09-04,11.0,CALL,5,95
2026-09-04,11.0,PUT,5,474
2026-09-04,11.5,CALL,5,97
2026-09-04,11.5,PUT,5,796
2026-09-04,12.0,CALL,5,233
2026-09-04,12.0,PUT,5,755
2026-09-04,12.5,CALL,5,362
2026-09-04,12.5,PUT,5,459
2026-09-04,13.0,CALL,5,4390
2026-09-04,13.0,PUT,5,411
2026-09-04,13.5,CALL,5,377
2026-09-04,13.5,PUT,5,171
2026-09-04,14.0,CALL,5,1124
2026-09-04,14.0,PUT,5,178
2026-09-04,14.5,CALL,5,689
2026-09-04,14.5,PUT,5,33
2026-09-04,15.0,CALL,5,1299
2026-09-04,15.0,PUT,5,84
2026-09-04,15.5,CALL,5,209
2026-09-04,15.5,PUT,5,9
2026-09-04,16.0,CALL,5,345
2026-09-04,16.0,PUT,5,93
2026-09-04,16.5,CALL,5,138
2026-09-04,16.5,PUT,5,9
2026-09-04,17.0,CALL,5,323
2026-09-04,17.0,PUT,5,27
2026-09-04,17.5,CALL,5,355
2026-09-04,17.5,PUT,5,5
2026-09-04,18.0,CALL,5,285
2026-09-04,18.0,PUT,5,13
2026-09-04,18.5,CALL,5,7
2026-09-04,18.5,PUT,5,2
2026-09-04,19.0,CALL,5,244
2026-09-04,19.0,PUT,5,10
2026-09-04,19.5,PUT,5,3
2026-09-04,20.0,CALL,5,1110
2026-09-04,20.0,PUT,5,6
2026-09-04,21.0,CALL,5,143
2026-09-04,21.0,PUT,5,3
2026-09-04,22.0,CALL,5,78
2026-09-04,22.0,PUT,5,1
2026-09-04,23.0,CALL,5,13
2026-09-04,23.0,PUT,5,3
2026-09-04,24.0,CALL,5,98
2026-09-04,24.0,PUT,5,1
2026-09-04,25.0,CALL,5,4
2026-09-04,25.0,PUT,5,0
2026-09-11,3.0,CALL,12,12
2026-09-11,4.0,CALL,12,4
2026-09-11,5.0,CALL,12,2
2026-09-11,5.5,PUT,12,1
2026-09-11,6.5,PUT,12,1
2026-09-11,7.0,PUT,12,2
2026-09-11,7.5,CALL,12,1
2026-09-11,7.5,PUT,12,3
2026-09-11,8.0,PUT,12,13
2026-09-11,8.5,CALL,12,1
2026-09-11,8.5,PUT,12,22
2026-09-11,9.0,PUT,12,138
2026-09-11,9.5,CALL,12,0
2026-09-11,9.5,PUT,12,12
2026-09-11,10.0,CALL,12,20
2026-09-11,10.0,PUT,12,68
2026-09-11,10.5,CALL,12,6
2026-09-11,10.5,PUT,12,190
2026-09-11,11.0,CALL,12,11
2026-09-11,11.0,PUT,12,473
2026-09-11,11.5,CALL,12,214
2026-09-11,11.5,PUT,12,204
2026-09-11,12.0,CALL,12,31
2026-09-11,12.0,PUT,12,189
2026-09-11,12.5,CALL,12,193
2026-09-11,12.5,PUT,12,437
2026-09-11,13.0,CALL,12,2222
2026-09-11,13.0,PUT,12,159
2026-09-11,13.5,CALL,12,82
2026-09-11,13.5,PUT,12,119
2026-09-11,14.0,CALL,12,412
2026-09-11,14.0,PUT,12,70
2026-09-11,14.5,CALL,12,272
2026-09-11,14.5,PUT,12,67
2026-09-11,15.0,CALL,12,383
2026-09-11,15.0,PUT,12,31
2026-09-11,15.5,CALL,12,107
2026-09-11,15.5,PUT,12,6
2026-09-11,16.0,CALL,12,253
2026-09-11,16.0,PUT,12,53
2026-09-11,16.5,CALL,12,107
2026-09-11,16.5,PUT,12,7
2026-09-11,17.0,CALL,12,110
2026-09-11,17.0,PUT,12,3
2026-09-11,18.0,CALL,12,309
2026-09-11,18.0,PUT,12,32
2026-09-11,18.5,CALL,12,8
2026-09-11,19.0,CALL,12,193
2026-09-11,19.0,PUT,12,13
2026-09-11,20.0,CALL,12,431
2026-09-11,20.0,PUT,12,17
2026-09-11,21.0,CALL,12,232
2026-09-11,21.0,PUT,12,13
2026-09-11,22.0,CALL,12,88
2026-09-11,22.0,PUT,12,0
2026-09-11,23.0,CALL,12,122
2026-09-11,23.0,PUT,12,0
2026-09-11,24.0,CALL,12,42
2026-09-11,24.0,PUT,12,1
2026-09-18,1.0,CALL,19,71
2026-09-18,1.0,PUT,19,12
2026-09-18,2.0,CALL,19,11
2026-09-18,2.0,PUT,19,0
2026-09-18,3.0,CALL,19,25
2026-09-18,3.0,PUT,19,50
