expiration,DTE,strike,option_type,openInterest
2026-09-11,4,25.0,CALL,2.0
2026-09-11,4,30.0,CALL,3.0
2026-09-11,4,31.0,CALL,3.0
2026-09-11,4,32.0,CALL,1.0
2026-09-11,4,32.5,CALL,1.0
2026-09-11,4,33.0,CALL,60.0
2026-09-11,4,33.5,CALL,7.0
2026-09-11,4,34.0,CALL,37.0
2026-09-11,4,34.5,CALL,8.0
2026-09-11,4,35.0,CALL,40.0
2026-09-11,4,35.5,CALL,1.0
2026-09-11,4,36.0,CALL,65.0
2026-09-11,4,36.5,CALL,56.0
2026-09-11,4,37.0,CALL,56.0
2026-09-11,4,37.5,CALL,6.0
2026-09-11,4,38.0,CALL,115.0
2026-09-11,4,38.5,CALL,114.0
2026-09-11,4,39.0,CALL,121.0
2026-09-11,4,39.5,CALL,117.0
2026-09-11,4,40.0,CALL,305.0
2026-09-11,4,40.5,CALL,163.0
2026-09-11,4,41.0,CALL,185.0
2026-09-11,4,41.5,CALL,239.0
2026-09-11,4,42.0,CALL,371.0
2026-09-11,4,42.5,CALL,189.0
2026-09-11,4,43.0,CALL,2284.0
2026-09-11,4,43.5,CALL,126.0
2026-09-11,4,44.0,CALL,402.0
2026-09-11,4,44.5,CALL,133.0
2026-09-11,4,45.0,CALL,648.0
2026-09-11,4,45.5,CALL,31.0
2026-09-11,4,46.0,CALL,245.0
2026-09-11,4,46.5,CALL,50.0
2026-09-11,4,47.0,CALL,140.0
2026-09-11,4,47.5,CALL,37.0
2026-09-11,4,48.0,CALL,329.0
2026-09-11,4,48.5,CALL,14.0
2026-09-11,4,49.0,CALL,94.0
2026-09-11,4,49.5,CALL,9.0
2026-09-11,4,50.0,CALL,1042.0
2026-09-11,4,51.0,CALL,95.0
2026-09-11,4,52.0,CALL,164.0
2026-09-11,4,53.0,CALL,105.0
2026-09-11,4,54.0,CALL,112.0
2026-09-11,4,55.0,CALL,360.0
2026-09-11,4,56.0,CALL,96.0
2026-09-11,4,57.0,CALL,105.0
2026-09-11,4,58.0,CALL,63.0
2026-09-11,4,59.0,CALL,75.0
2026-09-11,4,60.0,CALL,260.0
2026-09-11,4,61.0,CALL,107.0
2026-09-11,4,62.0,CALL,50.0
2026-09-11,4,63.0,CALL,25.0
2026-09-11,4,64.0,CALL,16.0
2026-09-11,4,65.0,CALL,55.0
2026-09-11,4,66.0,CALL,26.0
2026-09-11,4,67.0,CALL,28.0
2026-09-11,4,68.0,CALL,52.0
2026-09-11,4,69.0,CALL,43.0
2026-09-11,4,70.0,CALL,57.0
2026-09-11,4,25.0,PUT,7067.0
2026-09-11,4,29.0,PUT,42.0
2026-09-11,4,30.0,PUT,101.0
2026-09-11,4,31.0,PUT,87.0
2026-09-11,4,32.0,PUT,52.0
2026-09-11,4,32.5,PUT,18.0
2026-09-11,4,33.0,PUT,232.0
2026-09-11,4,33.5,PUT,155.0
2026-09-11,4,34.0,PUT,190.0
2026-09-11,4,34.5,PUT,137.0
2026-09-11,4,35.0,PUT,481.0
2026-09-11,4,35.5,PUT,90.0
2026-09-11,4,36.0,PUT,335.0
2026-09-11,4,36.5,PUT,117.0
2026-09-11,4,37.0,PUT,629.0
2026-09-11,4,37.5,PUT,169.0
2026-09-11,4,38.0,PUT,444.0
2026-09-11,4,38.5,PUT,91.0
2026-09-11,4,39.0,PUT,394.0
2026-09-11,4,39.5,PUT,111.0
2026-09-11,4,40.0,PUT,578.0
2026-09-11,4,40.5,PUT,70.0
2026-09-11,4,41.0,PUT,248.0
2026-09-11,4,41.5,PUT,225.0
2026-09-11,4,42.0,PUT,420.0
2026-09-11,4,42.5,PUT,115.0
2026-09-11,4,43.0,PUT,154.0
2026-09-11,4,43.5,PUT,200.0
2026-09-11,4,44.0,PUT,45.0
2026-09-11,4,44.5,PUT,71.0
2026-09-11,4,45.0,PUT,226.0
2026-09-11,4,45.5,PUT,9.0
2026-09-11,4,46.0,PUT,43.0
2026-09-11,4,46.5,PUT,2.0
2026-09-11,4,47.0,PUT,50.0
2026-09-11,4,47.5,PUT,1.0
2026-09-11,4,48.0,PUT,63.0
2026-09-11,4,48.5,PUT,1.0
2026-09-11,4,49.0,PUT,4.0
2026-09-11,4,49.5,PUT,6.0
2026-09-11,4,50.0,PUT,41.0
2026-09-11,4,51.0,PUT,12.0
2026-09-11,4,52.0,PUT,44.0
2026-09-11,4,53.0,PUT,6.0
2026-09-11,4,54.0,PUT,10.0
2026-09-11,4,55.0,PUT,2.0
2026-09-11,4,56.0,PUT,0.0
2026-09-11,4,57.0,PUT,0.0
2026-09-11,4,58.0,PUT,0.0
2026-09-11,4,59.0,PUT,0.0
2026-09-11,4,60.0,PUT,0.0
2026-09-11,4,61.0,PUT,0.0
2026-09-11,4,62.0,PUT,0.0
2026-09-11,4,63.0,PUT,0.0
2026-09-11,4,64.0,PUT,0.0
2026-09-11,4,65.0,PUT,0.0
2026-09-11,4,66.0,PUT,0.0
2026-09-11,4,70.0,PUT,0.0
2026-09-18,11,20.0,CALL,1.0
2026-09-18,11,22.5,CALL,2.0
2026-09-18,11,25.0,CALL,39.0
2026-09-18,11,30.0,CALL,127.0
2026-09-18,11,32.0,CALL,33.0
2026-09-18,11,34.0,CALL,6.0
2026-09-18,11,35.0,CALL,247.0
2026-09-18,11,36.0,CALL,35.0
2026-09-18,11,36.5,CALL,0.0
2026-09-18,11,37.0,CALL,0.0
2026-09-18,11,37.5,CALL,6.0
2026-09-18,11,38.0,CALL,14.0
2026-09-18,11,38.5,CALL,84.0
2026-09-18,11,39.0,CALL,1540.0
2026-09-18,11,39.5,CALL,65.0
2026-09-18,11,40.0,CALL,1851.0
2026-09-18,11,40.5,CALL,1109.0
2026-09-18,11,41.0,CALL,251.0
