expiration,DTE,strike,option_type,openInterest
2026-09-25,0,80.0,CALL,14.0
2026-09-25,0,85.0,CALL,12.0
2026-09-25,0,90.0,CALL,12.0
2026-09-25,0,95.0,CALL,22.0
2026-09-25,0,100.0,CALL,64.0
2026-09-25,0,105.0,CALL,58.0
2026-09-25,0,110.0,CALL,80.0
2026-09-25,0,115.0,CALL,122.0
2026-09-25,0,119.0,CALL,34.0
2026-09-25,0,120.0,CALL,121.0
2026-09-25,0,121.0,CALL,15.0
2026-09-25,0,122.0,CALL,31.0
2026-09-25,0,123.0,CALL,13.0
2026-09-25,0,124.0,CALL,16.0
2026-09-25,0,125.0,CALL,333.0
2026-09-25,0,126.0,CALL,18.0
2026-09-25,0,127.0,CALL,28.0
2026-09-25,0,128.0,CALL,19.0
2026-09-25,0,129.0,CALL,13.0
2026-09-25,0,130.0,CALL,258.0
2026-09-25,0,131.0,CALL,69.0
2026-09-25,0,132.0,CALL,167.0
2026-09-25,0,133.0,CALL,290.0
2026-09-25,0,134.0,CALL,912.0
2026-09-25,0,135.0,CALL,2326.0
2026-09-25,0,136.0,CALL,534.0
2026-09-25,0,137.0,CALL,1839.0
2026-09-25,0,138.0,CALL,1279.0
2026-09-25,0,139.0,CALL,1729.0
2026-09-25,0,140.0,CALL,5607.0
2026-09-25,0,141.0,CALL,1965.0
2026-09-25,0,142.0,CALL,1899.0
2026-09-25,0,143.0,CALL,1021.0
2026-09-25,0,144.0,CALL,3391.0
2026-09-25,0,145.0,CALL,5091.0
2026-09-25,0,146.0,CALL,3265.0
2026-09-25,0,147.0,CALL,3060.0
2026-09-25,0,148.0,CALL,2091.0
2026-09-25,0,149.0,CALL,1856.0
2026-09-25,0,150.0,CALL,11262.0
2026-09-25,0,152.5,CALL,5418.0
2026-09-25,0,155.0,CALL,12314.0
2026-09-25,0,157.5,CALL,7035.0
2026-09-25,0,160.0,CALL,15082.0
2026-09-25,0,162.5,CALL,4120.0
2026-09-25,0,165.0,CALL,6622.0
2026-09-25,0,167.5,CALL,2736.0
2026-09-25,0,170.0,CALL,9333.0
2026-09-25,0,172.5,CALL,2229.0
2026-09-25,0,175.0,CALL,4592.0
2026-09-25,0,177.5,CALL,1979.0
2026-09-25,0,180.0,CALL,6309.0
2026-09-25,0,182.5,CALL,110.0
2026-09-25,0,185.0,CALL,3007.0
2026-09-25,0,187.5,CALL,92.0
2026-09-25,0,190.0,CALL,1563.0
2026-09-25,0,192.5,CALL,136.0
2026-09-25,0,195.0,CALL,1308.0
2026-09-25,0,197.5,CALL,185.0
2026-09-25,0,200.0,CALL,4814.0
2026-09-25,0,202.5,CALL,123.0
2026-09-25,0,205.0,CALL,87.0
2026-09-25,0,207.5,CALL,28.0
2026-09-25,0,210.0,CALL,274.0
2026-09-25,0,212.5,CALL,183.0
2026-09-25,0,215.0,CALL,367.0
2026-09-25,0,217.5,CALL,39.0
2026-09-25,0,220.0,CALL,191.0
2026-09-25,0,225.0,CALL,726.0
2026-09-25,0,230.0,CALL,2405.0
2026-09-25,0,80.0,PUT,3081.0
2026-09-25,0,85.0,PUT,1211.0
2026-09-25,0,90.0,PUT,327.0
2026-09-25,0,95.0,PUT,747.0
2026-09-25,0,100.0,PUT,1164.0
2026-09-25,0,105.0,PUT,11893.0
2026-09-25,0,110.0,PUT,1602.0
2026-09-25,0,115.0,PUT,2067.0
2026-09-25,0,119.0,PUT,129.0
2026-09-25,0,120.0,PUT,1867.0
2026-09-25,0,121.0,PUT,102.0
2026-09-25,0,122.0,PUT,654.0
2026-09-25,0,123.0,PUT,1003.0
2026-09-25,0,124.0,PUT,620.0
2026-09-25,0,125.0,PUT,2709.0
2026-09-25,0,126.0,PUT,1498.0
2026-09-25,0,127.0,PUT,1094.0
2026-09-25,0,128.0,PUT,1102.0
2026-09-25,0,129.0,PUT,902.0
2026-09-25,0,130.0,PUT,4930.0
2026-09-25,0,131.0,PUT,1959.0
2026-09-25,0,132.0,PUT,1380.0
2026-09-25,0,133.0,PUT,2560.0
2026-09-25,0,134.0,PUT,3242.0
2026-09-25,0,135.0,PUT,7719.0
2026-09-25,0,136.0,PUT,2318.0
2026-09-25,0,137.0,PUT,3075.0
2026-09-25,0,138.0,PUT,4629.0
2026-09-25,0,139.0,PUT,2525.0
2026-09-25,0,140.0,PUT,5091.0
2026-09-25,0,141.0,PUT,1921.0
2026-09-25,0,142.0,PUT,3018.0
2026-09-25,0,143.0,PUT,1911.0
2026-09-25,0,144.0,PUT,3564.0
2026-09-25,0,145.0,PUT,4024.0
2026-09-25,0,146.0,PUT,2163.0
2026-09-25,0,147.0,PUT,3248.0
2026-09-25,0,148.0,PUT,2099.0
2026-09-25,0,149.0,PUT,888.0
2026-09-25,0,150.0,PUT,824.0
2026-09-25,0,152.5,PUT,58.0
2026-09-25,0,155.0,PUT,33.0
2026-09-25,0,157.5,PUT,23.0
2026-09-25,0,160.0,PUT,57.0
2026-09-25,0,162.5,PUT,14.0
2026-09-25,0,165.0,PUT,68.0
2026-09-25,0,167.5,PUT,0.0
2026-09-25,0,170.0,PUT,0.0
2026-09-25,0,172.5,PUT,0.0
2026-09-25,0,175.0,PUT,0.0
2026-09-25,0,177.5,PUT,0.0
2026-09-25,0,180.0,PUT,0.0
2026-09-25,0,182.5,PUT,0.0
2026-09-25,0,185.0,PUT,0.0
2026-09-25,0,187.5,PUT,0.0
2026-09-25,0,190.0,PUT,0.0
2026-09-25,0,192.5,PUT,0.0
2026-09-25,0,195.0,PUT,0.0
2026-09-25,0,197.5,PUT,0.0
2026-09-25,0,200.0,PUT,0.0
2026-09-25,0,202.5,PUT,0.0
2026-09-25,0,205.0,PUT,0.0
2026-09-25,0,207.5,PUT,0.0
2026-09-25,0,210.0,PUT,0.0
2026-09-25,0,212.5,PUT,0.0
2026-09-25,0,215.0,PUT,0.0
2026-09-25,0,217.5,PUT,0.0
2026-09-25,0,220.0,PUT,0.0
2026-09-25,0,225.0,PUT,0.0
2026-09-25,0,230.0,PUT,0.0
2026-10-02,7,80.0,CALL,17.0
2026-10-02,7,85.0,CALL,3.0
2026-10-02,7,90.0,CALL,11.0
2026-10-02,7,95.0,CALL,17.0
2026-10-02,7,100.0,CALL,219.0
2026-10-02,7,105.0,CALL,3.0
2026-10-02,7,110.0,CALL,91.0
2026-10-02,7,115.0,CALL,110.0
2026-10-02,7,118.0,CALL,20.0
2026-10-02,7,119.0,CALL,14.0
2026-10-02,7,120.0,CALL,95.0
2026-10-02,7,121.0,CALL,8.0
2026-10-02,7,123.0,CALL,19.0
2026-10-02,7,124.0,CALL,28.0
2026-10-02,7,125.0,CALL,168.0
2026-10-02,7,126.0,CALL,13.0
2026-10-02,7,127.0,CALL,19.0
2026-10-02,7,128.0,CALL,17.0
2026-10-02,7,129.0,CALL,14.0
2026-10-02,7,130.0,CALL,129.0
2026-10-02,7,131.0,CALL,47.0
2026-10-02,7,132.0,CALL,28.0
2026-10-02,7,133.0,CALL,115.0
2026-10-02,7,134.0,CALL,101.0
2026-10-02,7,135.0,CALL,503.0
2026-10-02,7,136.0,CALL,551.0
2026-10-02,7,137.0,CALL,776.0
2026-10-02,7,138.0,CALL,582.0
2026-10-02,7,139.0,CALL,531.0
2026-10-02,7,140.0,CALL,2084.0
2026-10-02,7,141.0,CALL,1061.0
2026-10-02,7,142.0,CALL,873.0
2026-10-02,7,143.0,CALL,1034.0
2026-10-02,7,144.0,CALL,211.0
2026-10-02,7,145.0,CALL,1978.0
2026-10-02,7,146.0,CALL,583.0
2026-10-02,7,147.0,CALL,1202.0
2026-10-02,7,148.0,CALL,760.0
2026-10-02,7,149.0,CALL,1384.0
2026-10-02,7,150.0,CALL,4003.0
2026-10-02,7,152.5,CALL,2574.0
2026-10-02,7,155.0,CALL,8500.0
2026-10-02,7,157.5,CALL,1287.0
2026-10-02,7,160.0,CALL,12493.0
2026-10-02,7,162.5,CALL,961.0
2026-10-02,7,165.0,CALL,3417.0
2026-10-02,7,167.5,CALL,570.0
2026-10-02,7,170.0,CALL,3239.0
2026-10-02,7,172.5,CALL,310.0
2026-10-02,7,175.0,CALL,1387.0
2026-10-02,7,177.5,CALL,331.0
2026-10-02,7,180.0,CALL,2020.0
2026-10-02,7,182.5,CALL,243.0
2026-10-02,7,185.0,CALL,925.0
2026-10-02,7,187.5,CALL,184.0
2026-10-02,7,190.0,CALL,1186.0
2026-10-02,7,195.0,CALL,2574.0
2026-10-02,7,200.0,CALL,3220.0
2026-10-02,7,205.0,CALL,414.0
2026-10-02,7,210.0,CALL,1190.0
2026-10-02,7,215.0,CALL,3089.0
2026-10-02,7,220.0,CALL,113.0
2026-10-02,7,225.0,CALL,204.0
2026-10-02,7,230.0,CALL,551.0
2026-10-02,7,80.0,PUT,1167.0
2026-10-02,7,85.0,PUT,235.0
2026-10-02,7,90.0,PUT,294.0
2026-10-02,7,95.0,PUT,566.0
2026-10-02,7,100.0,PUT,482.0
2026-10-02,7,105.0,PUT,722.0
2026-10-02,7,110.0,PUT,1956.0
2026-10-02,7,115.0,PUT,1827.0
2026-10-02,7,118.0,PUT,371.0
2026-10-02,7,119.0,PUT,61.0
2026-10-02,7,120.0,PUT,3330.0
2026-10-02,7,121.0,PUT,167.0
2026-10-02,7,122.0,PUT,158.0
2026-10-02,7,123.0,PUT,141.0
2026-10-02,7,124.0,PUT,249.0
2026-10-02,7,125.0,PUT,1228.0
2026-10-02,7,126.0,PUT,410.0
2026-10-02,7,127.0,PUT,664.0
2026-10-02,7,128.0,PUT,676.0
2026-10-02,7,129.0,PUT,214.0
2026-10-02,7,130.0,PUT,4889.0
2026-10-02,7,131.0,PUT,1472.0
2026-10-02,7,132.0,PUT,649.0
2026-10-02,7,133.0,PUT,909.0
2026-10-02,7,134.0,PUT,684.0
2026-10-02,7,135.0,PUT,3745.0
2026-10-02,7,136.0,PUT,1123.0
2026-10-02,7,137.0,PUT,531.0
2026-10-02,7,138.0,PUT,1041.0
2026-10-02,7,139.0,PUT,901.0
2026-10-02,7,140.0,PUT,4068.0
2026-10-02,7,141.0,PUT,554.0
2026-10-02,7,142.0,PUT,594.0
2026-10-02,7,143.0,PUT,682.0
2026-10-02,7,144.0,PUT,640.0
2026-10-02,7,145.0,PUT,1730.0
2026-10-02,7,146.0,PUT,375.0
2026-10-02,7,147.0,PUT,722.0
2026-10-02,7,148.0,PUT,606.0
2026-10-02,7,149.0,PUT,289.0
2026-10-02,7,150.0,PUT,3044.0
2026-10-02,7,152.5,PUT,461.0
2026-10-02,7,155.0,PUT,692.0
2026-10-02,7,157.5,PUT,186.0
2026-10-02,7,160.0,PUT,718.0
2026-10-02,7,162.5,PUT,550.0
2026-10-02,7,165.0,PUT,336.0
2026-10-02,7,167.5,PUT,18.0
2026-10-02,7,170.0,PUT,51.0
2026-10-02,7,172.5,PUT,26.0
2026-10-02,7,175.0,PUT,0.0
2026-10-02,7,177.5,PUT,0.0
2026-10-02,7,180.0,PUT,0.0
2026-10-02,7,182.5,PUT,0.0
2026-10-02,7,185.0,PUT,0.0
2026-10-02,7,187.5,PUT,0.0
2026-10-02,7,190.0,PUT,0.0
2026-10-02,7,195.0,PUT,0.0
2026-10-02,7,200.0,PUT,1.0
2026-10-02,7,205.0,PUT,4.0
2026-10-02,7,210.0,PUT,0.0
2026-10-02,7,215.0,PUT,0.0
2026-10-02,7,220.0,PUT,0.0
2026-10-02,7,225.0,PUT,0.0
2026-10-02,7,230.0,PUT,0.0
2026-10-09,14,80.0,CALL,2.0
2026-10-09,14,85.0,CALL,3.0
2026-10-09,14,90.0,CALL,23.0
2026-10-09,14,95.0,CALL,35.0
2026-10-09,14,100.0,CALL,15.0
2026-10-09,14,105.0,CALL,25.0
2026-10-09,14,110.0,CALL,37.0
2026-10-09,14,115.0,CALL,41.0
2026-10-09,14,120.0,CALL,20.0
2026-10-09,14,125.0,CALL,23.0
