expiration,strike,option_type,DTE,openInterest
2026-08-28,50.0,CALL,5,11
2026-08-28,50.0,PUT,5,39
2026-08-28,55.0,CALL,5,6
2026-08-28,55.0,PUT,5,13
2026-08-28,60.0,CALL,5,47
2026-08-28,60.0,PUT,5,68
2026-08-28,65.0,CALL,5,22
2026-08-28,65.0,PUT,5,26
2026-08-28,70.0,CALL,5,59
2026-08-28,70.0,PUT,5,271
2026-08-28,75.0,CALL,5,61
2026-08-28,75.0,PUT,5,30
2026-08-28,80.0,CALL,5,12
2026-08-28,80.0,PUT,5,189
2026-08-28,85.0,CALL,5,14
2026-08-28,85.0,PUT,5,331
2026-08-28,90.0,CALL,5,93
2026-08-28,90.0,PUT,5,374
2026-08-28,95.0,CALL,5,104
2026-08-28,95.0,PUT,5,3695
2026-08-28,100.0,CALL,5,102
2026-08-28,100.0,PUT,5,4208
2026-08-28,105.0,CALL,5,182
2026-08-28,105.0,PUT,5,2953
2026-08-28,110.0,CALL,5,89
2026-08-28,110.0,PUT,5,3278
2026-08-28,111.0,CALL,5,50
2026-08-28,111.0,PUT,5,134
2026-08-28,112.0,CALL,5,20
2026-08-28,112.0,PUT,5,75
2026-08-28,113.0,CALL,5,266
2026-08-28,113.0,PUT,5,262
2026-08-28,114.0,CALL,5,213
2026-08-28,114.0,PUT,5,93
2026-08-28,115.0,CALL,5,106
2026-08-28,115.0,PUT,5,1888
2026-08-28,116.0,CALL,5,26
2026-08-28,116.0,PUT,5,395
2026-08-28,117.0,CALL,5,50
2026-08-28,117.0,PUT,5,125
2026-08-28,118.0,CALL,5,47
2026-08-28,118.0,PUT,5,97
2026-08-28,119.0,CALL,5,78
2026-08-28,119.0,PUT,5,628
2026-08-28,120.0,CALL,5,256
2026-08-28,120.0,PUT,5,1051
2026-08-28,121.0,CALL,5,592
2026-08-28,121.0,PUT,5,63
2026-08-28,122.0,CALL,5,166
2026-08-28,122.0,PUT,5,773
2026-08-28,123.0,CALL,5,140
2026-08-28,123.0,PUT,5,374
2026-08-28,124.0,CALL,5,135
2026-08-28,124.0,PUT,5,2102
2026-08-28,125.0,CALL,5,480
2026-08-28,125.0,PUT,5,593
2026-08-28,126.0,CALL,5,203
2026-08-28,126.0,PUT,5,104
2026-08-28,127.0,CALL,5,159
2026-08-28,127.0,PUT,5,75
2026-08-28,128.0,CALL,5,122
2026-08-28,128.0,PUT,5,29
2026-08-28,129.0,CALL,5,420
2026-08-28,129.0,PUT,5,209
2026-08-28,130.0,CALL,5,2833
2026-08-28,130.0,PUT,5,3221
2026-08-28,131.0,CALL,5,125
2026-08-28,131.0,PUT,5,201
2026-08-28,132.0,CALL,5,125
2026-08-28,132.0,PUT,5,373
2026-08-28,133.0,CALL,5,127
2026-08-28,133.0,PUT,5,163
2026-08-28,134.0,CALL,5,510
2026-08-28,134.0,PUT,5,215
2026-08-28,135.0,CALL,5,902
2026-08-28,135.0,PUT,5,466
2026-08-28,136.0,CALL,5,1669
2026-08-28,136.0,PUT,5,261
2026-08-28,137.0,CALL,5,146
2026-08-28,137.0,PUT,5,47
2026-08-28,138.0,CALL,5,186
2026-08-28,138.0,PUT,5,184
2026-08-28,139.0,CALL,5,430
2026-08-28,139.0,PUT,5,120
2026-08-28,140.0,CALL,5,1949
2026-08-28,140.0,PUT,5,827
2026-08-28,141.0,CALL,5,160
2026-08-28,141.0,PUT,5,105
2026-08-28,142.0,CALL,5,236
2026-08-28,142.0,PUT,5,129
2026-08-28,143.0,CALL,5,358
2026-08-28,143.0,PUT,5,243
2026-08-28,145.0,CALL,5,642
2026-08-28,145.0,PUT,5,775
2026-08-28,146.0,CALL,5,75
2026-08-28,146.0,PUT,5,73
2026-08-28,147.0,CALL,5,35
2026-08-28,147.0,PUT,5,175
2026-08-28,148.0,CALL,5,78
2026-08-28,148.0,PUT,5,399
2026-08-28,149.0,CALL,5,69
2026-08-28,149.0,PUT,5,228
2026-08-28,150.0,CALL,5,1523
2026-08-28,150.0,PUT,5,4577
2026-08-28,152.5,CALL,5,130
2026-08-28,152.5,PUT,5,740
2026-08-28,155.0,CALL,5,1452
2026-08-28,155.0,PUT,5,3224
2026-08-28,157.5,CALL,5,188
2026-08-28,157.5,PUT,5,707
2026-08-28,160.0,CALL,5,1931
2026-08-28,160.0,PUT,5,3627
2026-08-28,162.5,CALL,5,257
2026-08-28,162.5,PUT,5,3183
2026-08-28,165.0,CALL,5,1699
2026-08-28,165.0,PUT,5,2558
2026-08-28,167.5,CALL,5,534
2026-08-28,167.5,PUT,5,2708
2026-08-28,170.0,CALL,5,2665
2026-08-28,170.0,PUT,5,4817
2026-08-28,172.5,CALL,5,801
2026-08-28,172.5,PUT,5,1663
2026-08-28,175.0,CALL,5,7463
2026-08-28,175.0,PUT,5,2086
2026-08-28,177.5,CALL,5,1860
2026-08-28,177.5,PUT,5,430
2026-08-28,180.0,CALL,5,9120
2026-08-28,180.0,PUT,5,2272
2026-08-28,182.5,CALL,5,1590
2026-08-28,182.5,PUT,5,24
2026-08-28,185.0,CALL,5,4162
2026-08-28,185.0,PUT,5,111
2026-08-28,187.5,CALL,5,1496
2026-08-28,187.5,PUT,5,44
2026-08-28,190.0,CALL,5,4054
2026-08-28,190.0,PUT,5,116
2026-08-28,192.5,CALL,5,997
2026-08-28,192.5,PUT,5,2
2026-08-28,195.0,CALL,5,1941
2026-08-28,195.0,PUT,5,33
2026-08-28,197.5,CALL,5,215
2026-08-28,197.5,PUT,5,0
2026-08-28,200.0,CALL,5,4483
2026-08-28,200.0,PUT,5,173
2026-08-28,205.0,CALL,5,2341
2026-08-28,205.0,PUT,5,22
2026-08-28,210.0,CALL,5,1180
2026-08-28,210.0,PUT,5,0
2026-08-28,215.0,CALL,5,1168
2026-08-28,220.0,CALL,5,877
2026-08-28,220.0,PUT,5,3
2026-08-28,225.0,CALL,5,797
2026-08-28,225.0,PUT,5,0
2026-08-28,230.0,CALL,5,805
2026-08-28,235.0,CALL,5,174
2026-08-28,240.0,CALL,5,927
2026-08-28,245.0,CALL,5,28
2026-08-28,250.0,CALL,5,404
2026-08-28,255.0,CALL,5,24
2026-08-28,255.0,PUT,5,0
2026-08-28,260.0,CALL,5,92
2026-08-28,265.0,CALL,5,15
2026-08-28,270.0,CALL,5,26
2026-08-28,275.0,CALL,5,22
2026-08-28,280.0,CALL,5,38
2026-08-28,285.0,CALL,5,36
2026-08-28,290.0,CALL,5,3
2026-08-28,295.0,CALL,5,5
2026-08-28,300.0,CALL,5,9
2026-08-28,305.0,CALL,5,55
2026-08-28,310.0,CALL,5,9
2026-08-28,315.0,CALL,5,10
2026-08-28,320.0,CALL,5,8
2026-09-04,50.0,PUT,12,7
2026-09-04,60.0,CALL,12,45
2026-09-04,60.0,PUT,12,10
2026-09-04,65.0,PUT,12,247
2026-09-04,70.0,CALL,12,2
2026-09-04,70.0,PUT,12,759
2026-09-04,75.0,CALL,12,18
2026-09-04,75.0,PUT,12,160
2026-09-04,80.0,CALL,12,18
2026-09-04,80.0,PUT,12,232
2026-09-04,85.0,CALL,12,19
2026-09-04,85.0,PUT,12,127
2026-09-04,90.0,CALL,12,20
2026-09-04,90.0,PUT,12,3311
2026-09-04,95.0,CALL,12,4
2026-09-04,95.0,PUT,12,5332
2026-09-04,100.0,CALL,12,7
2026-09-04,100.0,PUT,12,201
2026-09-04,105.0,CALL,12,8
2026-09-04,105.0,PUT,12,1007
2026-09-04,110.0,CALL,12,64
