expiration,DTE,strike,option_type,openInterest
2026-09-04,6,11.0,CALL,2
2026-09-04,6,12.0,CALL,1
2026-09-04,6,13.0,CALL,31
2026-09-04,6,16.0,CALL,1
2026-09-04,6,17.0,CALL,5
2026-09-04,6,18.0,CALL,5
2026-09-04,6,19.5,CALL,26
2026-09-04,6,20.0,CALL,84
2026-09-04,6,20.5,CALL,20
2026-09-04,6,21.0,CALL,177
2026-09-04,6,21.5,CALL,67
2026-09-04,6,22.0,CALL,353
2026-09-04,6,22.5,CALL,530
2026-09-04,6,23.0,CALL,1157
2026-09-04,6,23.5,CALL,21
2026-09-04,6,24.0,CALL,380
2026-09-04,6,24.5,CALL,169
2026-09-04,6,25.0,CALL,529
2026-09-04,6,25.5,CALL,27
2026-09-04,6,26.0,CALL,449
2026-09-04,6,26.5,CALL,165
2026-09-04,6,27.0,CALL,1532
2026-09-04,6,27.5,CALL,64
2026-09-04,6,28.0,CALL,306
2026-09-04,6,28.5,CALL,362
2026-09-04,6,29.0,CALL,124
2026-09-04,6,29.5,CALL,5
2026-09-04,6,30.0,CALL,946
2026-09-04,6,30.5,CALL,17
2026-09-04,6,31.0,CALL,113
2026-09-04,6,32.0,CALL,608
2026-09-04,6,33.0,CALL,135
2026-09-04,6,34.0,CALL,19
2026-09-04,6,35.0,CALL,76
2026-09-04,6,10.0,PUT,606
2026-09-04,6,11.0,PUT,4
2026-09-04,6,12.0,PUT,3
2026-09-04,6,14.0,PUT,20
2026-09-04,6,15.0,PUT,727
2026-09-04,6,15.5,PUT,40
2026-09-04,6,16.0,PUT,176
2026-09-04,6,17.0,PUT,192
2026-09-04,6,17.5,PUT,332
2026-09-04,6,18.0,PUT,377
2026-09-04,6,18.5,PUT,79
2026-09-04,6,19.0,PUT,376
2026-09-04,6,19.5,PUT,160
2026-09-04,6,20.0,PUT,932
2026-09-04,6,20.5,PUT,20
2026-09-04,6,21.0,PUT,174
2026-09-04,6,21.5,PUT,84
2026-09-04,6,22.0,PUT,136
2026-09-04,6,22.5,PUT,39
2026-09-04,6,23.0,PUT,127
2026-09-04,6,23.5,PUT,6
2026-09-04,6,24.0,PUT,133
2026-09-04,6,24.5,PUT,5
2026-09-04,6,25.0,PUT,33
2026-09-04,6,25.5,PUT,4
2026-09-04,6,26.0,PUT,25
2026-09-04,6,26.5,PUT,2
2026-09-04,6,27.0,PUT,23
2026-09-04,6,27.5,PUT,1
2026-09-04,6,28.0,PUT,70
2026-09-04,6,28.5,PUT,10
2026-09-04,6,29.0,PUT,5
2026-09-04,6,30.0,PUT,17
2026-09-04,6,31.0,PUT,2
2026-09-04,6,32.0,PUT,1
2026-09-04,6,33.0,PUT,3
2026-09-04,6,34.0,PUT,8
2026-09-04,6,35.0,PUT,1
2026-09-11,13,14.0,CALL,1
2026-09-11,13,17.0,CALL,3
2026-09-11,13,18.0,CALL,8
2026-09-11,13,19.0,CALL,1
2026-09-11,13,19.5,CALL,3
2026-09-11,13,20.0,CALL,12
2026-09-11,13,21.0,CALL,11
2026-09-11,13,22.0,CALL,27
2026-09-11,13,22.5,CALL,7
2026-09-11,13,23.0,CALL,63
2026-09-11,13,24.0,CALL,88
2026-09-11,13,24.5,CALL,8
2026-09-11,13,25.0,CALL,381
2026-09-11,13,26.0,CALL,41
2026-09-11,13,27.0,CALL,67
2026-09-11,13,28.0,CALL,96
2026-09-11,13,29.0,CALL,23
2026-09-11,13,30.0,CALL,492
2026-09-11,13,31.0,CALL,71
2026-09-11,13,32.0,CALL,34
2026-09-11,13,33.0,CALL,2
2026-09-11,13,34.0,CALL,1
2026-09-11,13,35.0,CALL,45
2026-09-11,13,13.0,PUT,1
2026-09-11,13,14.0,PUT,42
2026-09-11,13,15.0,PUT,14
2026-09-11,13,16.0,PUT,84
2026-09-11,13,17.0,PUT,43
2026-09-11,13,17.5,PUT,2
2026-09-11,13,18.0,PUT,60
2026-09-11,13,19.0,PUT,82
2026-09-11,13,20.0,PUT,251
2026-09-11,13,20.5,PUT,23
2026-09-11,13,21.0,PUT,29
2026-09-11,13,22.0,PUT,94
2026-09-11,13,23.0,PUT,290
2026-09-11,13,24.0,PUT,56
2026-09-11,13,25.0,PUT,69
2026-09-11,13,26.0,PUT,4
2026-09-11,13,27.0,PUT,6
2026-09-11,13,27.5,PUT,2
2026-09-11,13,29.0,PUT,5
2026-09-11,13,30.0,PUT,206
2026-09-11,13,31.0,PUT,1
2026-09-18,20,15.0,CALL,25
2026-09-18,20,16.0,CALL,5
2026-09-18,20,17.0,CALL,15
