expiration,DTE,strike,option_type,openInterest
2026-08-21,1,1.0,CALL,31.0
2026-08-21,1,2.0,CALL,156.0
2026-08-21,1,3.0,CALL,116.0
2026-08-21,1,4.0,CALL,29.0
2026-08-21,1,5.0,CALL,193.0
2026-08-21,1,5.5,CALL,150.0
2026-08-21,1,6.0,CALL,669.0
2026-08-21,1,6.5,CALL,509.0
2026-08-21,1,7.0,CALL,4353.0
2026-08-21,1,7.5,CALL,4830.0
2026-08-21,1,8.0,CALL,6372.0
2026-08-21,1,8.5,CALL,1397.0
2026-08-21,1,9.0,CALL,9755.0
2026-08-21,1,9.5,CALL,3615.0
2026-08-21,1,10.0,CALL,8841.0
2026-08-21,1,10.5,CALL,2865.0
2026-08-21,1,11.0,CALL,6270.0
2026-08-21,1,11.5,CALL,416.0
2026-08-21,1,12.0,CALL,4657.0
2026-08-21,1,12.5,CALL,618.0
2026-08-21,1,13.0,CALL,9344.0
2026-08-21,1,13.5,CALL,1140.0
2026-08-21,1,14.0,CALL,1560.0
2026-08-21,1,14.5,CALL,2.0
2026-08-21,1,15.0,CALL,3105.0
2026-08-21,1,16.0,CALL,125.0
2026-08-21,1,17.0,CALL,215.0
2026-08-21,1,18.0,CALL,140.0
2026-08-21,1,19.0,CALL,82.0
2026-08-21,1,20.0,CALL,2208.0
2026-08-21,1,21.0,CALL,152.0
2026-08-21,1,1.0,PUT,7.0
2026-08-21,1,2.0,PUT,455.0
2026-08-21,1,3.0,PUT,7786.0
2026-08-21,1,4.0,PUT,129.0
2026-08-21,1,5.0,PUT,1676.0
2026-08-21,1,5.5,PUT,1151.0
2026-08-21,1,6.0,PUT,2158.0
2026-08-21,1,6.5,PUT,288.0
2026-08-21,1,7.0,PUT,1498.0
2026-08-21,1,7.5,PUT,793.0
2026-08-21,1,8.0,PUT,6542.0
2026-08-21,1,8.5,PUT,1366.0
2026-08-21,1,9.0,PUT,5028.0
2026-08-21,1,9.5,PUT,630.0
2026-08-21,1,10.0,PUT,890.0
2026-08-21,1,10.5,PUT,64.0
2026-08-21,1,11.0,PUT,534.0
2026-08-21,1,11.5,PUT,5.0
2026-08-21,1,12.0,PUT,360.0
2026-08-21,1,12.5,PUT,26.0
2026-08-21,1,13.0,PUT,125.0
2026-08-21,1,13.5,PUT,5.0
2026-08-21,1,14.0,PUT,47.0
2026-08-21,1,14.5,PUT,4.0
2026-08-21,1,15.0,PUT,195.0
2026-08-21,1,16.0,PUT,5.0
2026-08-21,1,17.0,PUT,3.0
2026-08-21,1,18.0,PUT,60.0
2026-08-21,1,19.0,PUT,0.0
2026-08-21,1,20.0,PUT,61.0
2026-08-21,1,21.0,PUT,1.0
2026-08-28,8,1.0,CALL,1.0
2026-08-28,8,2.0,CALL,3.0
2026-08-28,8,3.0,CALL,8.0
2026-08-28,8,4.0,CALL,2.0
2026-08-28,8,4.5,CALL,70.0
2026-08-28,8,5.0,CALL,67.0
2026-08-28,8,5.5,CALL,94.0
2026-08-28,8,6.0,CALL,102.0
2026-08-28,8,6.5,CALL,880.0
2026-08-28,8,7.0,CALL,2805.0
2026-08-28,8,7.5,CALL,164.0
2026-08-28,8,8.0,CALL,1984.0
2026-08-28,8,8.5,CALL,1234.0
2026-08-28,8,9.0,CALL,9140.0
2026-08-28,8,9.5,CALL,10472.0
2026-08-28,8,10.0,CALL,2993.0
2026-08-28,8,10.5,CALL,604.0
2026-08-28,8,11.0,CALL,931.0
2026-08-28,8,11.5,CALL,718.0
2026-08-28,8,12.0,CALL,3435.0
2026-08-28,8,12.5,CALL,234.0
2026-08-28,8,13.0,CALL,61.0
2026-08-28,8,13.5,CALL,72.0
2026-08-28,8,14.0,CALL,291.0
2026-08-28,8,14.5,CALL,6.0
2026-08-28,8,15.0,CALL,2040.0
2026-08-28,8,16.0,CALL,13.0
2026-08-28,8,17.0,CALL,70.0
2026-08-28,8,18.0,CALL,8.0
2026-08-28,8,1.0,PUT,715.0
2026-08-28,8,2.0,PUT,5.0
2026-08-28,8,4.0,PUT,97.0
2026-08-28,8,4.5,PUT,225.0
2026-08-28,8,5.0,PUT,212.0
2026-08-28,8,5.5,PUT,409.0
2026-08-28,8,6.0,PUT,6464.0
2026-08-28,8,6.5,PUT,524.0
2026-08-28,8,7.0,PUT,307.0
2026-08-28,8,7.5,PUT,508.0
2026-08-28,8,8.0,PUT,1101.0
2026-08-28,8,8.5,PUT,543.0
2026-08-28,8,9.0,PUT,1010.0
2026-08-28,8,9.5,PUT,226.0
2026-08-28,8,10.0,PUT,50.0
2026-08-28,8,10.5,PUT,75.0
2026-08-28,8,11.0,PUT,315.0
2026-08-28,8,11.5,PUT,15.0
2026-08-28,8,12.0,PUT,18.0
2026-08-28,8,12.5,PUT,13.0
2026-08-28,8,13.0,PUT,109.0
2026-08-28,8,13.5,PUT,3.0
2026-08-28,8,14.0,PUT,43.0
2026-08-28,8,14.5,PUT,3.0
2026-08-28,8,15.0,PUT,3.0
2026-08-28,8,16.0,PUT,0.0
2026-08-28,8,17.0,PUT,1.0
2026-08-28,8,18.0,PUT,2.0
2026-09-04,15,3.0,CALL,7.0
