expiration,strike,option_type,DTE,openInterest
2026-09-11,2.0,CALL,5,11
2026-09-11,2.5,CALL,5,57
2026-09-11,2.5,PUT,5,9
2026-09-11,3.0,CALL,5,11
2026-09-11,3.0,PUT,5,13
2026-09-11,3.5,CALL,5,7
2026-09-11,3.5,PUT,5,2
2026-09-11,4.0,CALL,5,21
2026-09-11,4.0,PUT,5,0
2026-09-11,4.5,CALL,5,7
2026-09-11,4.5,PUT,5,256
2026-09-11,5.0,CALL,5,2
2026-09-11,5.0,PUT,5,46
2026-09-11,5.5,CALL,5,4
2026-09-11,5.5,PUT,5,150
2026-09-11,6.0,CALL,5,254
2026-09-11,6.0,PUT,5,168
2026-09-11,6.5,CALL,5,10
2026-09-11,6.5,PUT,5,332
2026-09-11,7.0,CALL,5,296
2026-09-11,7.0,PUT,5,676
2026-09-11,7.5,CALL,5,565
2026-09-11,7.5,PUT,5,336
2026-09-11,8.0,CALL,5,552
2026-09-11,8.0,PUT,5,417
2026-09-11,8.5,CALL,5,404
2026-09-11,8.5,PUT,5,256
2026-09-11,9.0,CALL,5,440
2026-09-11,9.0,PUT,5,373
2026-09-11,9.5,CALL,5,204
2026-09-11,9.5,PUT,5,73
2026-09-11,10.0,CALL,5,736
2026-09-11,10.0,PUT,5,67
2026-09-11,10.5,CALL,5,466
2026-09-11,10.5,PUT,5,7
2026-09-11,11.0,CALL,5,431
2026-09-11,11.0,PUT,5,10
2026-09-11,11.5,CALL,5,81
2026-09-11,11.5,PUT,5,7
2026-09-11,12.0,CALL,5,431
2026-09-11,12.0,PUT,5,1
2026-09-11,12.5,CALL,5,147
2026-09-11,12.5,PUT,5,0
2026-09-11,13.0,CALL,5,106
2026-09-11,13.0,PUT,5,7
2026-09-11,13.5,CALL,5,7
2026-09-11,13.5,PUT,5,1
2026-09-11,14.0,CALL,5,145
2026-09-11,14.0,PUT,5,5
2026-09-11,15.0,CALL,5,21
2026-09-11,15.0,PUT,5,0
2026-09-11,16.0,CALL,5,95
2026-09-11,16.0,PUT,5,72
2026-09-11,17.0,CALL,5,7
2026-09-18,1.0,CALL,12,16
2026-09-18,1.0,PUT,12,15
2026-09-18,2.0,CALL,12,38
2026-09-18,2.0,PUT,12,5
2026-09-18,3.0,CALL,12,41
2026-09-18,3.0,PUT,12,7216
2026-09-18,3.5,CALL,12,14
2026-09-18,3.5,PUT,12,0
2026-09-18,4.0,CALL,12,152
2026-09-18,4.0,PUT,12,504
2026-09-18,4.5,CALL,12,2
2026-09-18,4.5,PUT,12,1
2026-09-18,5.0,CALL,12,331
2026-09-18,5.0,PUT,12,4019
2026-09-18,5.5,PUT,12,366
2026-09-18,6.0,CALL,12,28
2026-09-18,6.0,PUT,12,1329
2026-09-18,6.5,CALL,12,66
2026-09-18,6.5,PUT,12,437
2026-09-18,7.0,CALL,12,6510
2026-09-18,7.0,PUT,12,1633
2026-09-18,7.5,CALL,12,227
2026-09-18,7.5,PUT,12,612
2026-09-18,8.0,CALL,12,5774
2026-09-18,8.0,PUT,12,2689
2026-09-18,8.5,CALL,12,429
2026-09-18,8.5,PUT,12,49
2026-09-18,9.0,CALL,12,2477
2026-09-18,9.0,PUT,12,1308
2026-09-18,9.5,CALL,12,241
2026-09-18,9.5,PUT,12,20
2026-09-18,10.0,CALL,12,5349
2026-09-18,10.0,PUT,12,687
2026-09-18,10.5,CALL,12,135
2026-09-18,10.5,PUT,12,4
2026-09-18,11.0,CALL,12,1508
2026-09-18,11.0,PUT,12,133
2026-09-18,11.5,CALL,12,13
2026-09-18,11.5,PUT,12,2
2026-09-18,12.0,CALL,12,1456
2026-09-18,12.0,PUT,12,76
2026-09-18,12.5,CALL,12,6
2026-09-18,13.0,CALL,12,927
2026-09-18,13.0,PUT,12,130
2026-09-18,13.5,CALL,12,2
2026-09-18,14.0,CALL,12,184
2026-09-18,14.0,PUT,12,0
2026-09-18,15.0,CALL,12,4402
2026-09-18,15.0,PUT,12,0
2026-09-18,16.0,CALL,12,414
2026-09-18,16.0,PUT,12,0
2026-09-18,17.0,CALL,12,205
2026-09-18,17.0,PUT,12,0
2026-09-25,3.0,CALL,19,7
2026-09-25,3.0,PUT,19,2
2026-09-25,3.5,CALL,19,6
2026-09-25,4.0,CALL,19,6
2026-09-25,4.0,PUT,19,2
2026-09-25,4.5,CALL,19,1
2026-09-25,4.5,PUT,19,1
2026-09-25,5.0,CALL,19,1
2026-09-25,5.0,PUT,19,10
2026-09-25,5.5,PUT,19,129
2026-09-25,6.0,CALL,19,15
2026-09-25,6.0,PUT,19,113
2026-09-25,6.5,CALL,19,100
2026-09-25,6.5,PUT,19,258
2026-09-25,7.0,CALL,19,593
2026-09-25,7.0,PUT,19,1212
2026-09-25,7.5,CALL,19,695
2026-09-25,7.5,PUT,19,184
2026-09-25,8.0,CALL,19,388
2026-09-25,8.0,PUT,19,177
2026-09-25,8.5,CALL,19,600
2026-09-25,8.5,PUT,19,275
2026-09-25,9.0,CALL,19,1655
2026-09-25,9.0,PUT,19,244
2026-09-25,9.5,CALL,19,202
2026-09-25,9.5,PUT,19,103
2026-09-25,10.0,CALL,19,1169
2026-09-25,10.0,PUT,19,51
2026-09-25,10.5,CALL,19,238
2026-09-25,10.5,PUT,19,43
2026-09-25,11.0,CALL,19,516
2026-09-25,11.0,PUT,19,10
2026-09-25,11.5,CALL,19,49
2026-09-25,11.5,PUT,19,1
2026-09-25,12.0,CALL,19,921
2026-09-25,12.0,PUT,19,1
2026-09-25,12.5,CALL,19,371
2026-09-25,12.5,PUT,19,0
2026-09-25,13.0,CALL,19,25
2026-09-25,13.0,PUT,19,1
2026-09-25,14.0,CALL,19,6
2026-09-25,14.0,PUT,19,1
2026-09-25,15.0,CALL,19,1223
2026-09-25,15.0,PUT,19,0
2026-09-25,16.0,CALL,19,304
2026-09-25,16.0,PUT,19,0
2026-09-25,17.0,CALL,19,161
2026-09-25,17.0,PUT,19,0
2026-10-02,3.0,CALL,26,19
2026-10-02,3.5,CALL,26,17
2026-10-02,4.0,CALL,26,8
2026-10-02,4.5,CALL,26,1
2026-10-02,4.5,PUT,26,1
2026-10-02,5.0,CALL,26,0
2026-10-02,5.0,PUT,26,238
2026-10-02,5.5,CALL,26,4
2026-10-02,5.5,PUT,26,8
2026-10-02,6.0,CALL,26,36
2026-10-02,6.0,PUT,26,95
2026-10-02,6.5,CALL,26,50
2026-10-02,6.5,PUT,26,328
2026-10-02,7.0,CALL,26,14
2026-10-02,7.0,PUT,26,578
2026-10-02,7.5,CALL,26,82
2026-10-02,7.5,PUT,26,194
2026-10-02,8.0,CALL,26,496
2026-10-02,8.0,PUT,26,243
2026-10-02,8.5,CALL,26,170
2026-10-02,8.5,PUT,26,51
2026-10-02,9.0,CALL,26,141
2026-10-02,9.0,PUT,26,23
2026-10-02,9.5,CALL,26,39
2026-10-02,9.5,PUT,26,13
2026-10-02,10.0,CALL,26,251
2026-10-02,10.0,PUT,26,29
2026-10-02,10.5,CALL,26,81
2026-10-02,10.5,PUT,26,6
2026-10-02,11.0,CALL,26,619
2026-10-02,11.0,PUT,26,8
2026-10-02,11.5,CALL,26,95
2026-10-02,12.0,CALL,26,228
2026-10-02,12.0,PUT,26,2
2026-10-02,12.5,CALL,26,97
2026-10-02,12.5,PUT,26,1
2026-10-02,13.0,CALL,26,1450
2026-10-02,13.0,PUT,26,0
2026-10-02,13.5,CALL,26,5
2026-10-02,14.0,CALL,26,10
2026-10-02,15.0,CALL,26,89
2026-10-02,17.0,CALL,26,2
2026-10-09,3.0,CALL,33,10
2026-10-09,3.5,CALL,33,12
2026-10-09,3.5,PUT,33,3
2026-10-09,4.0,CALL,33,11
2026-10-09,4.5,CALL,33,3
2026-10-09,5.0,PUT,33,1
2026-10-09,5.5,CALL,33,29
2026-10-09,5.5,PUT,33,6
2026-10-09,6.0,PUT,33,6
2026-10-09,6.5,CALL,33,29
2026-10-09,6.5,PUT,33,19
2026-10-09,7.0,CALL,33,0
2026-10-09,7.0,PUT,33,527
2026-10-09,7.5,CALL,33,40
2026-10-09,7.5,PUT,33,9
2026-10-09,8.0,CALL,33,13
2026-10-09,8.0,PUT,33,3
2026-10-09,8.5,CALL,33,8
2026-10-09,9.0,CALL,33,22
2026-10-09,9.0,PUT,33,6
2026-10-09,9.5,CALL,33,9
2026-10-09,9.5,PUT,33,4
2026-10-09,10.0,CALL,33,32
2026-10-09,10.0,PUT,33,9
2026-10-09,10.5,CALL,33,5
2026-10-09,10.5,PUT,33,6
2026-10-09,11.0,CALL,33,75
2026-10-09,11.0,PUT,33,5
2026-10-09,12.0,CALL,33,8
2026-10-16,1.0,CALL,40,11
2026-10-16,2.0,CALL,40,21
2026-10-16,2.0,PUT,40,5
2026-10-16,3.0,CALL,40,232
2026-10-16,3.0,PUT,40,490
2026-10-16,4.0,CALL,40,49
2026-10-16,4.0,PUT,40,697
2026-10-16,5.0,CALL,40,261
2026-10-16,5.0,PUT,40,7279
2026-10-16,6.0,CALL,40,1376
2026-10-16,6.0,PUT,40,2358
2026-10-16,7.0,CALL,40,4860
2026-10-16,7.0,PUT,40,4203
2026-10-16,8.0,CALL,40,10753
2026-10-16,8.0,PUT,40,9509
2026-10-16,9.0,CALL,40,5188
2026-10-16,9.0,PUT,40,1302
2026-10-16,10.0,CALL,40,6241
2026-10-16,10.0,PUT,40,1620
2026-10-16,11.0,CALL,40,5214
2026-10-16,11.0,PUT,40,833
2026-10-16,12.0,CALL,40,5817
2026-10-16,12.0,PUT,40,1636
2026-10-16,13.0,CALL,40,2845
