expiration,DTE,strike,option_type,openInterest
2026-08-21,3,45.0,CALL,0
2026-08-21,3,50.0,CALL,2
2026-08-21,3,55.0,CALL,0
2026-08-21,3,60.0,CALL,8
2026-08-21,3,61.0,CALL,0
2026-08-21,3,64.0,CALL,0
2026-08-21,3,65.0,CALL,16
2026-08-21,3,66.0,CALL,10
2026-08-21,3,67.0,CALL,7
2026-08-21,3,68.0,CALL,40
2026-08-21,3,69.0,CALL,7
2026-08-21,3,70.0,CALL,50
2026-08-21,3,71.0,CALL,16
2026-08-21,3,72.0,CALL,7
2026-08-21,3,73.0,CALL,35
2026-08-21,3,74.0,CALL,22
2026-08-21,3,75.0,CALL,97
2026-08-21,3,76.0,CALL,38
2026-08-21,3,77.0,CALL,28
2026-08-21,3,78.0,CALL,5
2026-08-21,3,79.0,CALL,63
2026-08-21,3,80.0,CALL,261
2026-08-21,3,85.0,CALL,235
2026-08-21,3,90.0,CALL,234
2026-08-21,3,95.0,CALL,374
2026-08-21,3,100.0,CALL,664
2026-08-21,3,105.0,CALL,272
2026-08-21,3,110.0,CALL,1063
2026-08-21,3,115.0,CALL,157
2026-08-21,3,120.0,CALL,78
2026-08-21,3,125.0,CALL,475
2026-08-21,3,130.0,CALL,166
2026-08-21,3,135.0,CALL,65
2026-08-21,3,140.0,CALL,64
2026-08-21,3,145.0,CALL,0
2026-08-21,3,150.0,CALL,0
2026-08-21,3,155.0,CALL,109
2026-08-21,3,40.0,PUT,44
2026-08-21,3,45.0,PUT,0
2026-08-21,3,50.0,PUT,90
2026-08-21,3,55.0,PUT,13
2026-08-21,3,60.0,PUT,885
2026-08-21,3,61.0,PUT,3
2026-08-21,3,62.0,PUT,21
2026-08-21,3,63.0,PUT,0
2026-08-21,3,64.0,PUT,6
2026-08-21,3,65.0,PUT,44
2026-08-21,3,66.0,PUT,8
2026-08-21,3,67.0,PUT,23
2026-08-21,3,68.0,PUT,49
2026-08-21,3,69.0,PUT,9
2026-08-21,3,70.0,PUT,306
2026-08-21,3,71.0,PUT,9
2026-08-21,3,72.0,PUT,24
2026-08-21,3,73.0,PUT,30
2026-08-21,3,74.0,PUT,25
2026-08-21,3,75.0,PUT,254
2026-08-21,3,76.0,PUT,17
2026-08-21,3,77.0,PUT,9
2026-08-21,3,78.0,PUT,30
2026-08-21,3,79.0,PUT,22
2026-08-21,3,80.0,PUT,156
2026-08-21,3,85.0,PUT,159
2026-08-21,3,90.0,PUT,136
2026-08-21,3,95.0,PUT,58
2026-08-21,3,100.0,PUT,0
2026-08-21,3,105.0,PUT,0
2026-08-21,3,110.0,PUT,0
2026-08-21,3,120.0,PUT,0
