expiration,strike,option_type,DTE,openInterest
2026-09-18,50.0,CALL,12,35
2026-09-18,50.0,PUT,12,4
2026-09-18,55.0,PUT,12,14
2026-09-18,60.0,CALL,12,2
2026-09-18,60.0,PUT,12,18
2026-09-18,65.0,CALL,12,10
2026-09-18,65.0,PUT,12,38
2026-09-18,68.0,CALL,12,5
2026-09-18,68.0,PUT,12,49
2026-09-18,69.0,PUT,12,6
2026-09-18,70.0,CALL,12,38
2026-09-18,70.0,PUT,12,130
2026-09-18,71.0,CALL,12,11
2026-09-18,71.0,PUT,12,41
2026-09-18,72.0,CALL,12,20
2026-09-18,72.0,PUT,12,32
2026-09-18,73.0,CALL,12,52
2026-09-18,73.0,PUT,12,148
2026-09-18,74.0,CALL,12,56
2026-09-18,74.0,PUT,12,27
2026-09-18,75.0,CALL,12,48
2026-09-18,75.0,PUT,12,39
2026-09-18,76.0,CALL,12,24
2026-09-18,76.0,PUT,12,19
2026-09-18,77.0,CALL,12,17
2026-09-18,77.0,PUT,12,25
2026-09-18,78.0,CALL,12,21
2026-09-18,78.0,PUT,12,21
2026-09-18,79.0,CALL,12,20
2026-09-18,79.0,PUT,12,6
2026-09-18,80.0,CALL,12,173
2026-09-18,80.0,PUT,12,57
2026-09-18,81.0,CALL,12,45
2026-09-18,81.0,PUT,12,1
2026-09-18,82.0,CALL,12,6
2026-09-18,82.0,PUT,12,7
2026-09-18,83.0,CALL,12,22
2026-09-18,83.0,PUT,12,1
2026-09-18,84.0,CALL,12,30
2026-09-18,85.0,CALL,12,145
2026-09-18,85.0,PUT,12,18
2026-09-18,86.0,CALL,12,14
2026-09-18,87.0,CALL,12,9
2026-09-18,88.0,CALL,12,8
2026-09-18,89.0,CALL,12,10
2026-09-18,90.0,CALL,12,65
2026-09-18,90.0,PUT,12,1
2026-09-18,95.0,CALL,12,19
2026-09-18,100.0,CALL,12,7
2026-09-18,100.0,PUT,12,0
2026-10-16,60.0,PUT,40,5
2026-10-16,65.0,PUT,40,8
2026-10-16,67.0,PUT,40,2
2026-10-16,68.0,PUT,40,20
2026-10-16,69.0,PUT,40,10
2026-10-16,70.0,PUT,40,3
2026-10-16,71.0,PUT,40,5
2026-10-16,72.0,PUT,40,3
2026-10-16,73.0,PUT,40,14
2026-10-16,74.0,PUT,40,14
2026-10-16,75.0,CALL,40,1
2026-10-16,75.0,PUT,40,8
2026-10-16,76.0,CALL,40,1
2026-10-16,76.0,PUT,40,3
2026-10-16,77.0,CALL,40,1
2026-10-16,77.0,PUT,40,2
2026-10-16,78.0,CALL,40,11
2026-10-16,78.0,PUT,40,1
2026-10-16,79.0,CALL,40,2
2026-10-16,80.0,CALL,40,26
2026-10-16,80.0,PUT,40,2
2026-10-16,81.0,CALL,40,1
2026-10-16,82.0,CALL,40,32
2026-10-16,82.0,PUT,40,2
2026-10-16,83.0,PUT,40,1
2026-10-16,84.0,CALL,40,39
2026-10-16,85.0,CALL,40,25
2026-10-16,85.0,PUT,40,1
2026-10-16,86.0,CALL,40,1
2026-10-16,87.0,CALL,40,2
2026-10-16,90.0,CALL,40,11
2026-10-16,95.0,CALL,40,16
2026-11-20,40.0,PUT,75,21
2026-11-20,45.0,PUT,75,148
2026-11-20,50.0,CALL,75,3
2026-11-20,50.0,PUT,75,66
2026-11-20,55.0,PUT,75,326
2026-11-20,60.0,CALL,75,26
2026-11-20,60.0,PUT,75,31
2026-11-20,65.0,CALL,75,3
2026-11-20,65.0,PUT,75,150
2026-11-20,70.0,CALL,75,41
2026-11-20,70.0,PUT,75,82
2026-11-20,75.0,CALL,75,33
2026-11-20,75.0,PUT,75,87
2026-11-20,76.0,CALL,75,1
2026-11-20,76.0,PUT,75,1
2026-11-20,77.0,CALL,75,26
2026-11-20,77.0,PUT,75,7
2026-11-20,78.0,CALL,75,14
2026-11-20,78.0,PUT,75,26
2026-11-20,79.0,CALL,75,57
2026-11-20,79.0,PUT,75,1
2026-11-20,80.0,CALL,75,68
2026-11-20,80.0,PUT,75,390
2026-11-20,81.0,CALL,75,4
2026-11-20,81.0,PUT,75,4
