expiration,DTE,strike,option_type,openInterest
2026-09-18,4,35.0,CALL,37.0
2026-09-18,4,40.0,CALL,77.0
2026-09-18,4,45.0,CALL,41.0
2026-09-18,4,50.0,CALL,340.0
2026-09-18,4,55.0,CALL,588.0
2026-09-18,4,57.0,CALL,1.0
2026-09-18,4,58.0,CALL,2.0
2026-09-18,4,59.0,CALL,3.0
2026-09-18,4,60.0,CALL,563.0
2026-09-18,4,61.0,CALL,265.0
2026-09-18,4,62.0,CALL,213.0
2026-09-18,4,63.0,CALL,1765.0
2026-09-18,4,64.0,CALL,1330.0
2026-09-18,4,65.0,CALL,4228.0
2026-09-18,4,66.0,CALL,941.0
2026-09-18,4,67.0,CALL,2480.0
2026-09-18,4,68.0,CALL,1665.0
2026-09-18,4,69.0,CALL,954.0
2026-09-18,4,70.0,CALL,9248.0
2026-09-18,4,71.0,CALL,1239.0
2026-09-18,4,72.0,CALL,1896.0
2026-09-18,4,73.0,CALL,761.0
2026-09-18,4,74.0,CALL,662.0
2026-09-18,4,75.0,CALL,5241.0
2026-09-18,4,76.0,CALL,411.0
2026-09-18,4,77.0,CALL,286.0
2026-09-18,4,78.0,CALL,385.0
2026-09-18,4,79.0,CALL,222.0
2026-09-18,4,80.0,CALL,6757.0
2026-09-18,4,81.0,CALL,143.0
2026-09-18,4,82.0,CALL,309.0
2026-09-18,4,83.0,CALL,243.0
2026-09-18,4,84.0,CALL,271.0
2026-09-18,4,85.0,CALL,3140.0
2026-09-18,4,90.0,CALL,4552.0
2026-09-18,4,95.0,CALL,2961.0
2026-09-18,4,100.0,CALL,9179.0
2026-09-18,4,105.0,CALL,1658.0
2026-09-18,4,110.0,CALL,2418.0
2026-09-18,4,115.0,CALL,783.0
2026-09-18,4,120.0,CALL,8506.0
2026-09-18,4,125.0,CALL,1465.0
2026-09-18,4,130.0,CALL,2045.0
2026-09-18,4,135.0,CALL,2324.0
2026-09-18,4,140.0,CALL,3793.0
2026-09-18,4,145.0,CALL,536.0
2026-09-18,4,150.0,CALL,4936.0
2026-09-18,4,155.0,CALL,1486.0
2026-09-18,4,160.0,CALL,732.0
2026-09-18,4,165.0,CALL,242.0
2026-09-18,4,170.0,CALL,569.0
2026-09-18,4,175.0,CALL,574.0
2026-09-18,4,180.0,CALL,611.0
2026-09-18,4,185.0,CALL,623.0
2026-09-18,4,190.0,CALL,945.0
2026-09-18,4,195.0,CALL,286.0
2026-09-18,4,200.0,CALL,680.0
2026-09-18,4,210.0,CALL,762.0
2026-09-18,4,35.0,PUT,3246.0
2026-09-18,4,40.0,PUT,16890.0
2026-09-18,4,45.0,PUT,7366.0
2026-09-18,4,50.0,PUT,3844.0
2026-09-18,4,55.0,PUT,6037.0
2026-09-18,4,57.0,PUT,833.0
2026-09-18,4,58.0,PUT,238.0
2026-09-18,4,59.0,PUT,243.0
2026-09-18,4,60.0,PUT,6150.0
2026-09-18,4,61.0,PUT,1255.0
2026-09-18,4,62.0,PUT,1525.0
2026-09-18,4,63.0,PUT,1970.0
2026-09-18,4,64.0,PUT,752.0
2026-09-18,4,65.0,PUT,5301.0
2026-09-18,4,66.0,PUT,614.0
2026-09-18,4,67.0,PUT,547.0
2026-09-18,4,68.0,PUT,326.0
2026-09-18,4,69.0,PUT,300.0
2026-09-18,4,70.0,PUT,3159.0
2026-09-18,4,71.0,PUT,73.0
2026-09-18,4,72.0,PUT,50.0
2026-09-18,4,73.0,PUT,52.0
2026-09-18,4,74.0,PUT,25.0
2026-09-18,4,75.0,PUT,2408.0
2026-09-18,4,76.0,PUT,77.0
2026-09-18,4,77.0,PUT,24.0
2026-09-18,4,78.0,PUT,20.0
2026-09-18,4,79.0,PUT,23.0
2026-09-18,4,80.0,PUT,2130.0
2026-09-18,4,81.0,PUT,45.0
2026-09-18,4,82.0,PUT,22.0
2026-09-18,4,83.0,PUT,6.0
2026-09-18,4,84.0,PUT,1.0
2026-09-18,4,85.0,PUT,1351.0
2026-09-18,4,90.0,PUT,1793.0
2026-09-18,4,95.0,PUT,208.0
2026-09-18,4,100.0,PUT,208.0
2026-09-18,4,105.0,PUT,70.0
2026-09-18,4,110.0,PUT,68.0
2026-09-18,4,115.0,PUT,0.0
2026-09-18,4,120.0,PUT,0.0
2026-09-18,4,125.0,PUT,0.0
2026-09-18,4,130.0,PUT,0.0
2026-09-18,4,135.0,PUT,0.0
2026-09-18,4,140.0,PUT,2.0
2026-09-18,4,145.0,PUT,0.0
2026-09-18,4,150.0,PUT,0.0
2026-09-18,4,155.0,PUT,0.0
2026-09-18,4,160.0,PUT,0.0
2026-09-18,4,170.0,PUT,0.0
2026-09-18,4,175.0,PUT,0.0
2026-09-18,4,185.0,PUT,0.0
2026-09-18,4,195.0,PUT,0.0
2026-09-18,4,200.0,PUT,0.0
2026-09-25,11,40.0,CALL,20.0
2026-09-25,11,45.0,CALL,11.0
2026-09-25,11,50.0,CALL,7.0
2026-09-25,11,51.0,CALL,1.0
2026-09-25,11,53.0,CALL,2.0
2026-09-25,11,54.0,CALL,2.0
2026-09-25,11,55.0,CALL,15.0
2026-09-25,11,56.0,CALL,6.0
2026-09-25,11,57.0,CALL,3.0
2026-09-25,11,58.0,CALL,3.0
2026-09-25,11,59.0,CALL,7.0
2026-09-25,11,60.0,CALL,320.0
2026-09-25,11,61.0,CALL,86.0
2026-09-25,11,62.0,CALL,141.0
2026-09-25,11,63.0,CALL,317.0
2026-09-25,11,64.0,CALL,820.0
2026-09-25,11,65.0,CALL,1059.0
2026-09-25,11,66.0,CALL,395.0
2026-09-25,11,67.0,CALL,215.0
2026-09-25,11,68.0,CALL,428.0
2026-09-25,11,69.0,CALL,1078.0
2026-09-25,11,70.0,CALL,3621.0
2026-09-25,11,71.0,CALL,565.0
2026-09-25,11,72.0,CALL,499.0
2026-09-25,11,73.0,CALL,515.0
2026-09-25,11,74.0,CALL,768.0
2026-09-25,11,75.0,CALL,1273.0
2026-09-25,11,76.0,CALL,201.0
