expiration,strike,option_type,DTE,openInterest
2026-08-28,25.0,PUT,4,54
2026-08-28,30.0,PUT,4,22
2026-08-28,35.0,PUT,4,62
2026-08-28,40.0,PUT,4,103
2026-08-28,45.0,CALL,4,2
2026-08-28,45.0,PUT,4,1
2026-08-28,50.0,PUT,4,17
2026-08-28,55.0,CALL,4,2
2026-08-28,55.0,PUT,4,15
2026-08-28,60.0,PUT,4,566
2026-08-28,65.0,CALL,4,25
2026-08-28,65.0,PUT,4,880
2026-08-28,70.0,CALL,4,1
2026-08-28,70.0,PUT,4,137
2026-08-28,75.0,CALL,4,10
2026-08-28,75.0,PUT,4,185
2026-08-28,80.0,CALL,4,24
2026-08-28,80.0,PUT,4,131
2026-08-28,85.0,CALL,4,1
2026-08-28,85.0,PUT,4,1482
2026-08-28,90.0,CALL,4,4
2026-08-28,90.0,PUT,4,414
2026-08-28,95.0,CALL,4,0
2026-08-28,95.0,PUT,4,696
2026-08-28,100.0,CALL,4,12
2026-08-28,100.0,PUT,4,1440
2026-08-28,105.0,CALL,4,4
2026-08-28,105.0,PUT,4,1129
2026-08-28,110.0,CALL,4,7
2026-08-28,110.0,PUT,4,13968
2026-08-28,115.0,CALL,4,2
2026-08-28,115.0,PUT,4,1708
2026-08-28,117.0,PUT,4,261
2026-08-28,118.0,PUT,4,312
2026-08-28,119.0,PUT,4,103
2026-08-28,120.0,CALL,4,52
2026-08-28,120.0,PUT,4,1776
2026-08-28,121.0,PUT,4,100
2026-08-28,122.0,PUT,4,63
2026-08-28,123.0,PUT,4,25
2026-08-28,124.0,PUT,4,147
2026-08-28,125.0,CALL,4,23
2026-08-28,125.0,PUT,4,1890
2026-08-28,126.0,PUT,4,175
2026-08-28,127.0,CALL,4,1
2026-08-28,127.0,PUT,4,78
2026-08-28,128.0,CALL,4,33
2026-08-28,128.0,PUT,4,313
2026-08-28,129.0,CALL,4,1
2026-08-28,129.0,PUT,4,205
2026-08-28,130.0,CALL,4,116
2026-08-28,130.0,PUT,4,1288
2026-08-28,131.0,CALL,4,1
2026-08-28,131.0,PUT,4,94
2026-08-28,132.0,CALL,4,3
2026-08-28,132.0,PUT,4,197
2026-08-28,133.0,CALL,4,2
2026-08-28,133.0,PUT,4,214
2026-08-28,134.0,CALL,4,4
2026-08-28,134.0,PUT,4,66
2026-08-28,135.0,CALL,4,341
2026-08-28,135.0,PUT,4,1641
2026-08-28,136.0,CALL,4,64
2026-08-28,136.0,PUT,4,360
2026-08-28,137.0,CALL,4,20
2026-08-28,137.0,PUT,4,587
2026-08-28,138.0,CALL,4,70
2026-08-28,138.0,PUT,4,388
2026-08-28,139.0,CALL,4,15
2026-08-28,139.0,PUT,4,578
2026-08-28,140.0,CALL,4,197
2026-08-28,140.0,PUT,4,2302
2026-08-28,141.0,CALL,4,52
2026-08-28,141.0,PUT,4,631
2026-08-28,142.0,CALL,4,39
2026-08-28,142.0,PUT,4,1739
2026-08-28,143.0,CALL,4,22
2026-08-28,143.0,PUT,4,480
2026-08-28,144.0,CALL,4,18
2026-08-28,144.0,PUT,4,275
2026-08-28,145.0,CALL,4,193
2026-08-28,145.0,PUT,4,1427
2026-08-28,146.0,CALL,4,17
2026-08-28,146.0,PUT,4,250
2026-08-28,147.0,CALL,4,51
2026-08-28,147.0,PUT,4,239
2026-08-28,148.0,CALL,4,119
2026-08-28,148.0,PUT,4,436
2026-08-28,149.0,CALL,4,31
2026-08-28,149.0,PUT,4,164
2026-08-28,150.0,CALL,4,1055
2026-08-28,150.0,PUT,4,1708
2026-08-28,152.5,CALL,4,60
2026-08-28,152.5,PUT,4,588
2026-08-28,155.0,CALL,4,407
2026-08-28,155.0,PUT,4,1958
2026-08-28,157.5,CALL,4,365
2026-08-28,157.5,PUT,4,491
2026-08-28,160.0,CALL,4,1894
2026-08-28,160.0,PUT,4,1918
2026-08-28,162.5,CALL,4,411
2026-08-28,162.5,PUT,4,420
2026-08-28,165.0,CALL,4,1676
2026-08-28,165.0,PUT,4,3961
2026-08-28,167.5,CALL,4,513
2026-08-28,167.5,PUT,4,118
2026-08-28,170.0,CALL,4,3493
2026-08-28,170.0,PUT,4,462
2026-08-28,172.5,CALL,4,423
2026-08-28,172.5,PUT,4,134
2026-08-28,175.0,CALL,4,1982
2026-08-28,175.0,PUT,4,160
2026-08-28,177.5,CALL,4,262
2026-08-28,177.5,PUT,4,22
2026-08-28,180.0,CALL,4,3751
2026-08-28,180.0,PUT,4,28
2026-08-28,182.5,CALL,4,154
2026-08-28,182.5,PUT,4,10
2026-08-28,185.0,CALL,4,1075
2026-08-28,185.0,PUT,4,36
2026-08-28,187.5,CALL,4,150
2026-08-28,190.0,CALL,4,1934
2026-08-28,190.0,PUT,4,5
2026-08-28,192.5,CALL,4,95
2026-08-28,195.0,CALL,4,321
2026-08-28,195.0,PUT,4,7
2026-08-28,197.5,CALL,4,104
2026-08-28,197.5,PUT,4,1
2026-08-28,200.0,CALL,4,3157
2026-08-28,200.0,PUT,4,8
2026-08-28,202.5,CALL,4,81
2026-08-28,205.0,CALL,4,247
2026-08-28,205.0,PUT,4,2
2026-08-28,207.5,CALL,4,171
2026-08-28,210.0,CALL,4,240
2026-08-28,210.0,PUT,4,1
2026-08-28,212.5,CALL,4,65
2026-08-28,212.5,PUT,4,1
2026-08-28,215.0,CALL,4,143
2026-08-28,220.0,CALL,4,632
2026-08-28,225.0,CALL,4,106
2026-08-28,230.0,CALL,4,105
2026-08-28,230.0,PUT,4,0
2026-08-28,235.0,CALL,4,34
2026-08-28,240.0,CALL,4,107
2026-08-28,245.0,CALL,4,259
2026-08-28,250.0,CALL,4,108
2026-08-28,255.0,CALL,4,20
2026-08-28,260.0,CALL,4,87
2026-08-28,265.0,CALL,4,185
2026-08-28,270.0,CALL,4,10
2026-08-28,270.0,PUT,4,0
2026-08-28,275.0,CALL,4,11
2026-08-28,280.0,CALL,4,8
2026-08-28,280.0,PUT,4,0
2026-08-28,285.0,CALL,4,4
2026-08-28,290.0,PUT,4,0
2026-08-28,295.0,CALL,4,48
2026-08-28,300.0,CALL,4,74
2026-08-28,305.0,CALL,4,150
2026-08-28,305.0,PUT,4,0
2026-08-28,310.0,CALL,4,5
2026-08-28,315.0,CALL,4,15
2026-08-28,320.0,CALL,4,62
2026-09-04,25.0,PUT,11,435
2026-09-04,30.0,PUT,11,369
2026-09-04,35.0,PUT,11,448
2026-09-04,40.0,PUT,11,93
2026-09-04,45.0,PUT,11,18
2026-09-04,50.0,PUT,11,29
2026-09-04,55.0,PUT,11,6
2026-09-04,60.0,CALL,11,1
2026-09-04,60.0,PUT,11,43
2026-09-04,65.0,PUT,11,21
2026-09-04,70.0,CALL,11,10
2026-09-04,70.0,PUT,11,73
2026-09-04,75.0,PUT,11,83
2026-09-04,80.0,CALL,11,0
2026-09-04,80.0,PUT,11,335
2026-09-04,85.0,PUT,11,150
2026-09-04,90.0,CALL,11,14
2026-09-04,90.0,PUT,11,1507
2026-09-04,95.0,PUT,11,848
2026-09-04,100.0,CALL,11,9
2026-09-04,100.0,PUT,11,636
2026-09-04,105.0,CALL,11,2
2026-09-04,105.0,PUT,11,104
2026-09-04,110.0,CALL,11,18
2026-09-04,110.0,PUT,11,1410
2026-09-04,115.0,CALL,11,15
2026-09-04,115.0,PUT,11,1056
2026-09-04,117.0,PUT,11,844
2026-09-04,118.0,PUT,11,21
2026-09-04,119.0,PUT,11,21
2026-09-04,120.0,CALL,11,213
2026-09-04,120.0,PUT,11,533
2026-09-04,121.0,PUT,11,31
2026-09-04,122.0,PUT,11,31
2026-09-04,123.0,PUT,11,121
2026-09-04,124.0,PUT,11,37
2026-09-04,125.0,CALL,11,7
2026-09-04,125.0,PUT,11,623
2026-09-04,126.0,CALL,11,3
2026-09-04,126.0,PUT,11,110
2026-09-04,127.0,CALL,11,3
2026-09-04,127.0,PUT,11,812
2026-09-04,128.0,CALL,11,3
2026-09-04,128.0,PUT,11,598
2026-09-04,129.0,CALL,11,3
2026-09-04,129.0,PUT,11,262
2026-09-04,130.0,CALL,11,29
2026-09-04,130.0,PUT,11,755
2026-09-04,131.0,PUT,11,19
2026-09-04,132.0,CALL,11,1
2026-09-04,132.0,PUT,11,218
2026-09-04,133.0,CALL,11,3
2026-09-04,133.0,PUT,11,504
2026-09-04,134.0,CALL,11,4
2026-09-04,134.0,PUT,11,438
2026-09-04,135.0,CALL,11,28
2026-09-04,135.0,PUT,11,973
2026-09-04,136.0,CALL,11,13
2026-09-04,136.0,PUT,11,96
2026-09-04,137.0,CALL,11,43
2026-09-04,137.0,PUT,11,79
2026-09-04,138.0,CALL,11,27
2026-09-04,138.0,PUT,11,2361
2026-09-04,139.0,CALL,11,21
2026-09-04,139.0,PUT,11,69
2026-09-04,140.0,CALL,11,504
2026-09-04,140.0,PUT,11,539
2026-09-04,141.0,CALL,11,23
2026-09-04,141.0,PUT,11,50
2026-09-04,142.0,CALL,11,9
2026-09-04,142.0,PUT,11,39
2026-09-04,143.0,CALL,11,33
2026-09-04,143.0,PUT,11,32
2026-09-04,144.0,CALL,11,2
2026-09-04,144.0,PUT,11,20
2026-09-04,145.0,CALL,11,118
2026-09-04,145.0,PUT,11,663
2026-09-04,146.0,CALL,11,15
2026-09-04,146.0,PUT,11,34
2026-09-04,147.0,CALL,11,36
2026-09-04,147.0,PUT,11,121
2026-09-04,148.0,CALL,11,4
2026-09-04,148.0,PUT,11,51
2026-09-04,149.0,CALL,11,4
2026-09-04,149.0,PUT,11,558
2026-09-04,150.0,CALL,11,572
2026-09-04,150.0,PUT,11,923
2026-09-04,152.5,CALL,11,74
2026-09-04,152.5,PUT,11,108
2026-09-04,155.0,CALL,11,156
2026-09-04,155.0,PUT,11,260
2026-09-04,157.5,CALL,11,135
2026-09-04,157.5,PUT,11,582
2026-09-04,160.0,CALL,11,181
2026-09-04,160.0,PUT,11,296
2026-09-04,162.5,CALL,11,66
2026-09-04,162.5,PUT,11,99
2026-09-04,165.0,CALL,11,745
2026-09-04,165.0,PUT,11,352
2026-09-04,167.5,CALL,11,151
2026-09-04,167.5,PUT,11,28
2026-09-04,170.0,CALL,11,728
2026-09-04,170.0,PUT,11,71
2026-09-04,172.5,CALL,11,65
2026-09-04,172.5,PUT,11,16
2026-09-04,175.0,CALL,11,287
2026-09-04,175.0,PUT,11,45
2026-09-04,177.5,CALL,11,100
2026-09-04,177.5,PUT,11,2
2026-09-04,180.0,CALL,11,756
2026-09-04,180.0,PUT,11,40
2026-09-04,182.5,CALL,11,83
2026-09-04,185.0,CALL,11,366
2026-09-04,185.0,PUT,11,6
2026-09-04,187.5,CALL,11,22
2026-09-04,190.0,CALL,11,505
2026-09-04,190.0,PUT,11,10
2026-09-04,192.5,CALL,11,167
2026-09-04,195.0,CALL,11,155
2026-09-04,197.5,CALL,11,95
2026-09-04,197.5,PUT,11,10
2026-09-04,200.0,CALL,11,1712
2026-09-04,200.0,PUT,11,1
2026-09-04,202.5,CALL,11,1
2026-09-04,205.0,CALL,11,91
2026-09-04,210.0,CALL,11,82
2026-09-04,210.0,PUT,11,2
2026-09-04,212.5,CALL,11,2
2026-09-04,215.0,CALL,11,10
2026-09-04,220.0,CALL,11,127
2026-09-04,225.0,CALL,11,62
2026-09-04,230.0,CALL,11,174
2026-09-04,235.0,CALL,11,47
2026-09-04,240.0,CALL,11,57
2026-09-04,245.0,CALL,11,14
2026-09-04,250.0,CALL,11,28
2026-09-04,255.0,CALL,11,13
2026-09-04,260.0,CALL,11,23
2026-09-04,265.0,CALL,11,9
2026-09-04,270.0,CALL,11,2
2026-09-04,275.0,CALL,11,15
2026-09-04,280.0,CALL,11,17
2026-09-04,280.0,PUT,11,0
2026-09-04,285.0,CALL,11,3
2026-09-04,290.0,CALL,11,22
2026-09-04,295.0,CALL,11,2
2026-09-04,300.0,CALL,11,18
2026-09-04,315.0,CALL,11,1
2026-09-04,320.0,CALL,11,30
2026-09-11,25.0,PUT,18,198
2026-09-11,30.0,PUT,18,91
2026-09-11,35.0,PUT,18,183
2026-09-11,40.0,PUT,18,205
2026-09-11,45.0,PUT,18,54
2026-09-11,50.0,PUT,18,14
2026-09-11,55.0,PUT,18,3
2026-09-11,60.0,PUT,18,10
2026-09-11,65.0,PUT,18,20
2026-09-11,70.0,PUT,18,13
2026-09-11,75.0,PUT,18,9
2026-09-11,80.0,PUT,18,28
2026-09-11,85.0,PUT,18,46
2026-09-11,90.0,PUT,18,34
2026-09-11,95.0,PUT,18,218
2026-09-11,100.0,CALL,18,2
2026-09-11,100.0,PUT,18,527
2026-09-11,105.0,CALL,18,1
2026-09-11,105.0,PUT,18,1658
2026-09-11,110.0,CALL,18,1
2026-09-11,110.0,PUT,18,1072
2026-09-11,115.0,CALL,18,2
2026-09-11,115.0,PUT,18,833
2026-09-11,117.0,PUT,18,205
2026-09-11,118.0,PUT,18,6
2026-09-11,119.0,PUT,18,1008
2026-09-11,120.0,CALL,18,3
