expiration,DTE,strike,option_type,openInterest
2026-09-04,6,60.0,CALL,1
2026-09-04,6,70.0,CALL,10
2026-09-04,6,80.0,CALL,0
2026-09-04,6,90.0,CALL,14
2026-09-04,6,100.0,CALL,9
2026-09-04,6,105.0,CALL,2
2026-09-04,6,110.0,CALL,18
2026-09-04,6,115.0,CALL,15
2026-09-04,6,120.0,CALL,213
2026-09-04,6,125.0,CALL,8
2026-09-04,6,126.0,CALL,3
2026-09-04,6,127.0,CALL,3
2026-09-04,6,128.0,CALL,3
2026-09-04,6,129.0,CALL,4
2026-09-04,6,130.0,CALL,44
2026-09-04,6,132.0,CALL,2
2026-09-04,6,133.0,CALL,4
2026-09-04,6,134.0,CALL,3
2026-09-04,6,135.0,CALL,31
2026-09-04,6,136.0,CALL,14
2026-09-04,6,137.0,CALL,43
2026-09-04,6,138.0,CALL,25
2026-09-04,6,139.0,CALL,28
2026-09-04,6,140.0,CALL,501
2026-09-04,6,141.0,CALL,23
2026-09-04,6,142.0,CALL,9
2026-09-04,6,143.0,CALL,34
2026-09-04,6,144.0,CALL,4
2026-09-04,6,145.0,CALL,123
2026-09-04,6,146.0,CALL,17
2026-09-04,6,147.0,CALL,42
2026-09-04,6,148.0,CALL,14
2026-09-04,6,149.0,CALL,6
2026-09-04,6,150.0,CALL,573
2026-09-04,6,152.5,CALL,119
2026-09-04,6,155.0,CALL,1529
2026-09-04,6,157.5,CALL,238
2026-09-04,6,160.0,CALL,617
2026-09-04,6,162.5,CALL,157
2026-09-04,6,165.0,CALL,993
2026-09-04,6,167.5,CALL,896
2026-09-04,6,170.0,CALL,1840
2026-09-04,6,172.5,CALL,119
2026-09-04,6,175.0,CALL,744
2026-09-04,6,177.5,CALL,290
2026-09-04,6,180.0,CALL,1380
2026-09-04,6,182.5,CALL,123
2026-09-04,6,185.0,CALL,684
2026-09-04,6,187.5,CALL,76
2026-09-04,6,190.0,CALL,636
2026-09-04,6,192.5,CALL,150
2026-09-04,6,195.0,CALL,188
2026-09-04,6,197.5,CALL,86
2026-09-04,6,200.0,CALL,1876
2026-09-04,6,202.5,CALL,3
2026-09-04,6,205.0,CALL,76
2026-09-04,6,207.5,CALL,1
2026-09-04,6,210.0,CALL,88
