expiration,strike,option_type,DTE,openInterest
2026-09-11,5.0,PUT,2,1
2026-09-11,10.0,CALL,2,4
2026-09-11,10.0,PUT,2,36
2026-09-11,15.0,CALL,2,0
2026-09-11,15.0,PUT,2,1
2026-09-11,20.0,CALL,2,0
2026-09-11,20.0,PUT,2,1
2026-09-11,25.0,CALL,2,1
2026-09-11,30.0,CALL,2,0
2026-09-11,35.0,CALL,2,5
2026-09-11,40.0,CALL,2,1
2026-09-11,40.0,PUT,2,53
2026-09-11,45.0,CALL,2,3
2026-09-11,45.0,PUT,2,58
2026-09-11,50.0,CALL,2,1
2026-09-11,50.0,PUT,2,183
2026-09-11,55.0,CALL,2,2
2026-09-11,55.0,PUT,2,91
2026-09-11,60.0,CALL,2,2
2026-09-11,60.0,PUT,2,374
2026-09-11,65.0,CALL,2,10
2026-09-11,65.0,PUT,2,183
2026-09-11,70.0,CALL,2,8
2026-09-11,70.0,PUT,2,20447
2026-09-11,75.0,CALL,2,38
2026-09-11,75.0,PUT,2,3035
2026-09-11,80.0,CALL,2,6
2026-09-11,80.0,PUT,2,8786
2026-09-11,85.0,CALL,2,5
2026-09-11,85.0,PUT,2,1595
2026-09-11,90.0,CALL,2,95
2026-09-11,90.0,PUT,2,3272
2026-09-11,95.0,CALL,2,28
2026-09-11,95.0,PUT,2,8049
2026-09-11,96.0,CALL,2,9
2026-09-11,96.0,PUT,2,64
2026-09-11,97.0,CALL,2,27
2026-09-11,97.0,PUT,2,326
2026-09-11,98.0,PUT,2,175
2026-09-11,99.0,CALL,2,67
2026-09-11,99.0,PUT,2,129
2026-09-11,100.0,CALL,2,152
2026-09-11,100.0,PUT,2,2369
2026-09-11,101.0,CALL,2,5
2026-09-11,101.0,PUT,2,1433
2026-09-11,102.0,CALL,2,119
2026-09-11,102.0,PUT,2,337
2026-09-11,103.0,CALL,2,1
2026-09-11,103.0,PUT,2,274
2026-09-11,104.0,CALL,2,9
2026-09-11,104.0,PUT,2,288
2026-09-11,105.0,CALL,2,38
2026-09-11,105.0,PUT,2,1220
2026-09-11,106.0,CALL,2,8
2026-09-11,106.0,PUT,2,350
2026-09-11,107.0,CALL,2,14
2026-09-11,107.0,PUT,2,304
2026-09-11,108.0,CALL,2,89
2026-09-11,108.0,PUT,2,588
2026-09-11,109.0,CALL,2,205
2026-09-11,109.0,PUT,2,1981
2026-09-11,110.0,CALL,2,144
2026-09-11,110.0,PUT,2,1985
2026-09-11,111.0,CALL,2,68
2026-09-11,111.0,PUT,2,136
2026-09-11,112.0,CALL,2,58
2026-09-11,112.0,PUT,2,617
2026-09-11,113.0,CALL,2,37
2026-09-11,113.0,PUT,2,362
2026-09-11,114.0,CALL,2,159
2026-09-11,114.0,PUT,2,386
2026-09-11,115.0,CALL,2,437
2026-09-11,115.0,PUT,2,2051
2026-09-11,116.0,CALL,2,57
2026-09-11,116.0,PUT,2,1255
2026-09-11,117.0,CALL,2,196
2026-09-11,117.0,PUT,2,532
2026-09-11,118.0,CALL,2,82
2026-09-11,118.0,PUT,2,824
2026-09-11,119.0,CALL,2,245
2026-09-11,119.0,PUT,2,1813
2026-09-11,120.0,CALL,2,713
2026-09-11,120.0,PUT,2,6243
2026-09-11,121.0,CALL,2,112
2026-09-11,121.0,PUT,2,858
2026-09-11,122.0,CALL,2,98
2026-09-11,122.0,PUT,2,1166
2026-09-11,123.0,CALL,2,41
2026-09-11,123.0,PUT,2,951
2026-09-11,124.0,CALL,2,66
2026-09-11,124.0,PUT,2,1076
2026-09-11,125.0,CALL,2,172
2026-09-11,125.0,PUT,2,3659
2026-09-11,126.0,CALL,2,105
2026-09-11,126.0,PUT,2,1684
2026-09-11,127.0,CALL,2,67
2026-09-11,127.0,PUT,2,920
2026-09-11,128.0,CALL,2,65
2026-09-11,128.0,PUT,2,1617
2026-09-11,129.0,CALL,2,96
2026-09-11,129.0,PUT,2,813
