expiration,strike,option_type,DTE,openInterest
2026-08-31,160.0,PUT,1,248
2026-08-31,165.0,PUT,1,1006
2026-08-31,170.0,PUT,1,100
2026-08-31,200.0,PUT,1,10
2026-08-31,205.0,PUT,1,1
2026-08-31,210.0,PUT,1,1
2026-08-31,215.0,PUT,1,1
2026-08-31,220.0,PUT,1,80
2026-08-31,225.0,CALL,1,1
2026-08-31,245.0,PUT,1,37
2026-08-31,250.0,PUT,1,161
2026-08-31,255.0,PUT,1,69
2026-08-31,260.0,CALL,1,1
2026-08-31,260.0,PUT,1,213
2026-08-31,265.0,PUT,1,49
2026-08-31,270.0,CALL,1,0
2026-08-31,270.0,PUT,1,138
2026-08-31,275.0,CALL,1,1
2026-08-31,275.0,PUT,1,10
2026-08-31,280.0,CALL,1,11
2026-08-31,280.0,PUT,1,270
2026-08-31,285.0,CALL,1,21
2026-08-31,285.0,PUT,1,101
2026-08-31,290.0,CALL,1,17
2026-08-31,290.0,PUT,1,122
2026-08-31,295.0,CALL,1,11
2026-08-31,295.0,PUT,1,427
2026-08-31,297.5,PUT,1,89
2026-08-31,300.0,CALL,1,3
2026-08-31,300.0,PUT,1,511
2026-08-31,302.5,CALL,1,7
2026-08-31,302.5,PUT,1,9
2026-08-31,305.0,CALL,1,3
2026-08-31,305.0,PUT,1,150
2026-08-31,307.5,CALL,1,9
2026-08-31,307.5,PUT,1,143
2026-08-31,310.0,CALL,1,24
2026-08-31,310.0,PUT,1,116
2026-08-31,312.5,CALL,1,6
2026-08-31,312.5,PUT,1,145
2026-08-31,315.0,CALL,1,6
2026-08-31,315.0,PUT,1,5241
2026-08-31,317.5,CALL,1,15
2026-08-31,317.5,PUT,1,153
2026-08-31,320.0,CALL,1,47
2026-08-31,320.0,PUT,1,784
2026-08-31,322.5,CALL,1,82
2026-08-31,322.5,PUT,1,397
2026-08-31,325.0,CALL,1,49
2026-08-31,325.0,PUT,1,408
2026-08-31,327.5,CALL,1,56
2026-08-31,327.5,PUT,1,450
2026-08-31,330.0,CALL,1,142
2026-08-31,330.0,PUT,1,1222
2026-08-31,332.5,CALL,1,26
2026-08-31,332.5,PUT,1,314
2026-08-31,335.0,CALL,1,230
2026-08-31,335.0,PUT,1,779
2026-08-31,337.5,CALL,1,139
2026-08-31,337.5,PUT,1,468
2026-08-31,340.0,CALL,1,2791
2026-08-31,340.0,PUT,1,2353
2026-08-31,342.5,CALL,1,450
2026-08-31,342.5,PUT,1,1048
2026-08-31,345.0,CALL,1,891
2026-08-31,345.0,PUT,1,2684
2026-08-31,347.5,CALL,1,513
2026-08-31,347.5,PUT,1,1189
2026-08-31,350.0,CALL,1,2677
2026-08-31,350.0,PUT,1,1451
