expiration,DTE,strike,option_type,openInterest
2026-08-14,1,50.0,CALL,7
2026-08-14,1,55.0,CALL,12
2026-08-14,1,59.0,CALL,24
2026-08-14,1,60.0,CALL,82
2026-08-14,1,61.0,CALL,12
2026-08-14,1,62.0,CALL,16
2026-08-14,1,63.0,CALL,16
2026-08-14,1,64.0,CALL,52
2026-08-14,1,65.0,CALL,97
2026-08-14,1,66.0,CALL,98
2026-08-14,1,67.0,CALL,685
2026-08-14,1,68.0,CALL,917
2026-08-14,1,69.0,CALL,456
2026-08-14,1,70.0,CALL,2850
2026-08-14,1,71.0,CALL,903
2026-08-14,1,72.0,CALL,691
2026-08-14,1,73.0,CALL,1014
2026-08-14,1,74.0,CALL,2143
2026-08-14,1,75.0,CALL,2162
2026-08-14,1,76.0,CALL,2261
2026-08-14,1,77.0,CALL,1639
2026-08-14,1,78.0,CALL,2709
2026-08-14,1,79.0,CALL,1468
2026-08-14,1,80.0,CALL,8247
2026-08-14,1,81.0,CALL,1191
2026-08-14,1,82.0,CALL,1120
2026-08-14,1,83.0,CALL,3299
2026-08-14,1,84.0,CALL,530
2026-08-14,1,85.0,CALL,1095
2026-08-14,1,90.0,CALL,1026
2026-08-14,1,95.0,CALL,185
2026-08-14,1,100.0,CALL,41
2026-08-14,1,105.0,CALL,22
2026-08-14,1,50.0,PUT,4
2026-08-14,1,55.0,PUT,493
2026-08-14,1,58.0,PUT,1
2026-08-14,1,59.0,PUT,44
2026-08-14,1,60.0,PUT,8217
2026-08-14,1,61.0,PUT,153
2026-08-14,1,62.0,PUT,257
2026-08-14,1,63.0,PUT,307
2026-08-14,1,64.0,PUT,648
2026-08-14,1,65.0,PUT,1182
2026-08-14,1,66.0,PUT,2698
2026-08-14,1,67.0,PUT,1274
2026-08-14,1,68.0,PUT,580
2026-08-14,1,69.0,PUT,856
2026-08-14,1,70.0,PUT,1173
2026-08-14,1,71.0,PUT,964
2026-08-14,1,72.0,PUT,1295
2026-08-14,1,73.0,PUT,1278
2026-08-14,1,74.0,PUT,899
2026-08-14,1,75.0,PUT,2074
2026-08-14,1,76.0,PUT,1718
2026-08-14,1,77.0,PUT,1468
2026-08-14,1,78.0,PUT,583
2026-08-14,1,79.0,PUT,297
2026-08-14,1,80.0,PUT,223
2026-08-14,1,81.0,PUT,13
2026-08-14,1,82.0,PUT,2
2026-08-14,1,83.0,PUT,0
2026-08-14,1,84.0,PUT,0
2026-08-14,1,85.0,PUT,1
2026-08-14,1,105.0,PUT,0
2026-08-21,8,40.0,CALL,31
2026-08-21,8,42.5,CALL,17
2026-08-21,8,45.0,CALL,9
2026-08-21,8,47.5,CALL,2
2026-08-21,8,50.0,CALL,219
