expiration,DTE,strike,option_type,openInterest
2026-08-21,0,75.0,CALL,3
2026-08-21,0,80.0,CALL,1
2026-08-21,0,85.0,CALL,0
2026-08-21,0,90.0,CALL,36
2026-08-21,0,95.0,CALL,2
2026-08-21,0,100.0,CALL,18
2026-08-21,0,105.0,CALL,2
2026-08-21,0,110.0,CALL,15
2026-08-21,0,115.0,CALL,60
2026-08-21,0,120.0,CALL,74
2026-08-21,0,125.0,CALL,51
2026-08-21,0,130.0,CALL,141
2026-08-21,0,133.0,CALL,1
2026-08-21,0,135.0,CALL,640
2026-08-21,0,136.0,CALL,3
2026-08-21,0,137.0,CALL,2
2026-08-21,0,138.0,CALL,8
2026-08-21,0,139.0,CALL,43
2026-08-21,0,140.0,CALL,957
2026-08-21,0,141.0,CALL,73
2026-08-21,0,142.0,CALL,140
2026-08-21,0,143.0,CALL,286
2026-08-21,0,144.0,CALL,446
2026-08-21,0,145.0,CALL,4953
2026-08-21,0,146.0,CALL,344
2026-08-21,0,147.0,CALL,433
2026-08-21,0,148.0,CALL,395
2026-08-21,0,149.0,CALL,275
2026-08-21,0,150.0,CALL,1333
2026-08-21,0,152.5,CALL,370
2026-08-21,0,155.0,CALL,8411
2026-08-21,0,157.5,CALL,367
2026-08-21,0,160.0,CALL,5048
2026-08-21,0,162.5,CALL,122
2026-08-21,0,165.0,CALL,15102
2026-08-21,0,167.5,CALL,391
2026-08-21,0,170.0,CALL,1859
2026-08-21,0,172.5,CALL,66
2026-08-21,0,175.0,CALL,1226
2026-08-21,0,177.5,CALL,37
2026-08-21,0,180.0,CALL,10447
2026-08-21,0,182.5,CALL,39
2026-08-21,0,185.0,CALL,768
2026-08-21,0,187.5,CALL,33
2026-08-21,0,190.0,CALL,1108
2026-08-21,0,192.5,CALL,13
2026-08-21,0,195.0,CALL,1210
2026-08-21,0,200.0,CALL,1683
2026-08-21,0,205.0,CALL,20
2026-08-21,0,210.0,CALL,1774
2026-08-21,0,215.0,CALL,24
2026-08-21,0,220.0,CALL,930
2026-08-21,0,230.0,CALL,307
2026-08-21,0,235.0,CALL,0
2026-08-21,0,240.0,CALL,1468
2026-08-21,0,250.0,CALL,886
2026-08-21,0,70.0,PUT,4
2026-08-21,0,75.0,PUT,3
2026-08-21,0,80.0,PUT,12
2026-08-21,0,85.0,PUT,168
2026-08-21,0,90.0,PUT,644
2026-08-21,0,95.0,PUT,41
2026-08-21,0,100.0,PUT,1137
2026-08-21,0,105.0,PUT,134
2026-08-21,0,110.0,PUT,8456
2026-08-21,0,115.0,PUT,814
2026-08-21,0,120.0,PUT,1312
2026-08-21,0,125.0,PUT,3180
2026-08-21,0,126.0,PUT,9
2026-08-21,0,128.0,PUT,19
2026-08-21,0,129.0,PUT,88
2026-08-21,0,130.0,PUT,3338
2026-08-21,0,131.0,PUT,152
2026-08-21,0,132.0,PUT,67
2026-08-21,0,133.0,PUT,88
2026-08-21,0,134.0,PUT,93
2026-08-21,0,135.0,PUT,2453
2026-08-21,0,136.0,PUT,295
2026-08-21,0,137.0,PUT,854
2026-08-21,0,138.0,PUT,943
2026-08-21,0,139.0,PUT,593
2026-08-21,0,140.0,PUT,2700
2026-08-21,0,141.0,PUT,421
2026-08-21,0,142.0,PUT,516
2026-08-21,0,143.0,PUT,656
2026-08-21,0,144.0,PUT,698
2026-08-21,0,145.0,PUT,1015
2026-08-21,0,146.0,PUT,153
2026-08-21,0,147.0,PUT,178
2026-08-21,0,148.0,PUT,68
2026-08-21,0,149.0,PUT,97
2026-08-21,0,150.0,PUT,526
2026-08-21,0,152.5,PUT,6
2026-08-21,0,155.0,PUT,430
2026-08-21,0,157.5,PUT,84
2026-08-21,0,160.0,PUT,164
2026-08-21,0,162.5,PUT,314
2026-08-21,0,165.0,PUT,40
2026-08-21,0,167.5,PUT,28
2026-08-21,0,170.0,PUT,37
2026-08-21,0,175.0,PUT,3
2026-08-21,0,177.5,PUT,0
2026-08-21,0,180.0,PUT,0
2026-08-21,0,185.0,PUT,3
2026-08-21,0,190.0,PUT,3
2026-08-21,0,195.0,PUT,0
2026-08-21,0,200.0,PUT,35
2026-08-21,0,210.0,PUT,0
2026-08-21,0,220.0,PUT,0
2026-08-21,0,230.0,PUT,0
2026-08-21,0,235.0,PUT,0
2026-08-21,0,240.0,PUT,0
2026-08-21,0,250.0,PUT,0
2026-08-28,7,85.0,CALL,1
2026-08-28,7,100.0,CALL,10
2026-08-28,7,105.0,CALL,2
2026-08-28,7,110.0,CALL,2
2026-08-28,7,120.0,CALL,1
2026-08-28,7,125.0,CALL,6
2026-08-28,7,130.0,CALL,21
2026-08-28,7,133.0,CALL,2
2026-08-28,7,135.0,CALL,45
2026-08-28,7,136.0,CALL,38
2026-08-28,7,138.0,CALL,27
2026-08-28,7,140.0,CALL,338
2026-08-28,7,141.0,CALL,46
2026-08-28,7,143.0,CALL,42
2026-08-28,7,144.0,CALL,57
2026-08-28,7,145.0,CALL,434
2026-08-28,7,146.0,CALL,93
2026-08-28,7,147.0,CALL,30
2026-08-28,7,148.0,CALL,109
2026-08-28,7,149.0,CALL,86
2026-08-28,7,150.0,CALL,282
2026-08-28,7,152.5,CALL,162
2026-08-28,7,155.0,CALL,279
2026-08-28,7,157.5,CALL,89
2026-08-28,7,160.0,CALL,420
2026-08-28,7,162.5,CALL,60
2026-08-28,7,165.0,CALL,475
2026-08-28,7,167.5,CALL,5
2026-08-28,7,170.0,CALL,360
2026-08-28,7,175.0,CALL,121
2026-08-28,7,180.0,CALL,738
2026-08-28,7,185.0,CALL,20
2026-08-28,7,190.0,CALL,321
2026-08-28,7,195.0,CALL,48
2026-08-28,7,200.0,CALL,52
2026-08-28,7,205.0,CALL,117
2026-08-28,7,210.0,CALL,1
2026-08-28,7,220.0,CALL,14
2026-08-28,7,225.0,CALL,30
2026-08-28,7,230.0,CALL,20
2026-08-28,7,90.0,PUT,0
2026-08-28,7,95.0,PUT,1
2026-08-28,7,100.0,PUT,1
2026-08-28,7,110.0,PUT,66
2026-08-28,7,115.0,PUT,2943
2026-08-28,7,120.0,PUT,836
2026-08-28,7,125.0,PUT,617
2026-08-28,7,126.0,PUT,35
2026-08-28,7,127.0,PUT,154
2026-08-28,7,128.0,PUT,21
2026-08-28,7,129.0,PUT,39
